Fraction of interaction surface(A)       Tot surface area(B)                      A*B                                     
   0.442                                 1483.626                                  655.232                                
   0.443                                 1484.680                                  657.974                                
   0.440                                 1479.491                                  651.133                                
   0.471                                 1480.023                                  697.018                                
   0.460                                 1483.488                                  681.673                                
   0.442                                 1480.096                                  654.725                                
   0.460                                 1477.267                                  679.543                                
   0.478                                 1478.015                                  705.989                                
   0.464                                 1484.605                                  688.317                                
   0.451                                 1482.120                                  668.475                                
   0.456                                 1484.499                                  677.460                                
   0.462                                 1489.272                                  687.960                                
   0.429                                 1491.449                                  639.815                                
   0.485                                 1485.863                                  720.326                                
   0.482                                 1481.410                                  713.754                                
   0.502                                 1484.706                                  745.834                                
   0.493                                 1484.361                                  731.734                                
   0.488                                 1481.343                                  723.295                                
   0.465                                 1482.616                                  690.063                                
   0.471                                 1482.282                                  698.208                                
   0.455                                 1483.696                                  674.960                                
   0.471                                 1492.660                                  702.300                                
   0.455                                 1492.874                                  679.332                                
   0.454                                 1485.839                                  674.195                                
   0.451                                 1488.212                                  671.871                                
   0.455                                 1483.509                                  674.796                                
   0.479                                 1481.866                                  710.061                                
   0.462                                 1489.392                                  688.419                                
   0.470                                 1479.357                                  694.915                                
   0.491                                 1475.839                                  724.890                                
   0.490                                 1479.023                                  724.739                                
   0.451                                 1477.284                                  666.166                                
   0.491                                 1480.952                                  726.997                                
   0.447                                 1479.739                                  660.800                                
   0.458                                 1477.812                                  677.258                                
   0.471                                 1473.643                                  693.402                                
   0.471                                 1479.533                                  697.171                                
   0.482                                 1480.339                                  714.076                                
   0.497                                 1482.612                                  737.388                                
   0.479                                 1481.628                                  710.364                                
   0.457                                 1485.505                                  679.150                                
   0.482                                 1480.199                                  713.123                                
   0.499                                 1478.064                                  736.859                                
   0.458                                 1480.160                                  678.298                                
   0.447                                 1482.599                                  662.077                                
   0.467                                 1481.223                                  691.063                                
   0.453                                 1477.457                                  669.676                                
   0.478                                 1480.281                                  707.923                                
   0.475                                 1480.945                                  703.079                                
   0.480                                 1478.326                                  710.031                                
   0.466                                 1477.827                                  688.553                                
   0.468                                 1478.518                                  691.453                                
   0.499                                 1479.750                                  738.571                                
   0.484                                 1481.315                                  716.316                                
   0.480                                 1494.977                                  717.850                                
   0.461                                 1496.399                                  690.243                                
   0.477                                 1491.445                                  710.896                                
   0.494                                 1495.443                                  739.433                                
   0.451                                 1490.313                                  671.555                                
   0.477                                 1492.978                                  712.538                                
   0.427                                 1491.196                                  636.720                                
   0.472                                 1489.736                                  703.511                                
   0.459                                 1494.872                                  685.949                                
   0.446                                 1491.708                                  665.210                                
   0.482                                 1490.487                                  719.140                                
   0.451                                 1487.548                                  671.179                                
   0.480                                 1485.211                                  713.509                                
   0.468                                 1489.300                                  697.675                                
   0.436                                 1482.185                                  645.636                                
   0.450                                 1484.497                                  667.458                                
   0.470                                 1482.946                                  697.653                                
   0.480                                 1481.656                                  711.733                                
   0.485                                 1486.331                                  720.962                                
   0.492                                 1485.948                                  731.664                                
   0.484                                 1484.621                                  718.800                                
   0.517                                 1482.010                                  766.227                                
   0.472                                 1482.902                                  700.138                                
   0.460                                 1485.797                                  683.240                                
   0.466                                 1483.498                                  691.254                                
   0.453                                 1485.321                                  673.009                                
   0.440                                 1488.545                                  654.612                                
   0.434                                 1483.037                                  643.722                                
   0.452                                 1484.501                                  670.504                                
   0.486                                 1482.287                                  720.278                                
   0.474                                 1484.567                                  704.040                                
   0.451                                 1483.033                                  669.322                                
   0.460                                 1483.749                                  681.864                                
   0.459                                 1478.524                                  678.560                                
   0.439                                 1481.887                                  650.171                                
   0.445                                 1481.273                                  658.875                                
   0.444                                 1485.357                                  658.947                                
   0.476                                 1480.541                                  704.234                                
   0.436                                 1481.182                                  645.844                                
   0.450                                 1479.316                                  665.301                                
   0.440                                 1478.220                                  650.799                                
   0.451                                 1478.429                                  666.163                                
   0.475                                 1473.595                                  700.348                                
   0.456                                 1474.424                                  672.087                                
   0.485                                 1478.535                                  716.628                                
   0.480                                 1476.512                                  709.126                                
   0.494                                 1475.839                                  728.365                                
