Frame	ROG of Dendrons [P3]
1	1.1664288824572022
2	1.1678642852838754
3	1.1662772846101865
4	1.169233668479361
5	1.1720323729412088
6	1.176125706733611
7	1.1617360881596763
8	1.1671548608803541
9	1.1789384918308188
10	1.181972069601813
11	1.1689623382961891
12	1.1705278532095729
13	1.1752780180855662
14	1.1727915806101976
15	1.1749219032968594
16	1.166094863601794
17	1.1752297889134629
18	1.1579343963074717
19	1.1732334438548968
20	1.1833835291064156
21	1.1820523829659133
22	1.1811139304281846
23	1.1689354513839894
24	1.1609475043692254
25	1.1622047202935502
26	1.174043386761426
27	1.168914624334257
28	1.1593330601271925
29	1.1810491637773035
30	1.1616868205044344
31	1.1541223199718795
32	1.157425345101953
33	1.1732835374265789
34	1.166380130719313
35	1.1738351634025312
36	1.1856332649237518
37	1.1561534058423322
38	1.1678790477716847
39	1.1764720761315695
40	1.163023113368538
41	1.1750857870736555
42	1.1751405165015563
43	1.1681518501797823
44	1.1653121079595492
45	1.168249141273971
46	1.168247339855014
47	1.1675519144224566
48	1.1700031227405903
49	1.173969581107817
50	1.1634505305076939
51	1.1742747440077133
52	1.1816430655977443
53	1.1800315235450989
54	1.1702818887942459
55	1.1592469355127237
56	1.1668749891049068
57	1.1659793937728518
58	1.1738484443133717
59	1.147731168000235
60	1.1536296041951188
61	1.152594913333277
62	1.1590616011784407
63	1.1740013980182782
64	1.160297271497847
65	1.164909063056939
66	1.1915590473904223
67	1.1784978562194401
68	1.1799787403493265
69	1.1783609404853284
70	1.1678660214114092
71	1.1679789516172745
72	1.1642567144266007
73	1.174829833196142
74	1.178486441943633
75	1.1732545053676742
76	1.174656442501578
77	1.1669396727036936
78	1.1606058209927723
79	1.1615336029079912
80	1.1602228269636867
81	1.1524117697028557
82	1.1797362804870537
83	1.1611620800662876
84	1.18209269016522
85	1.1832725267955544
86	1.161984422630902
87	1.1616853362736739
88	1.1542473326617435
89	1.1613920179910864
90	1.1708829223608102
91	1.1594045787404461
92	1.1766254589137697
93	1.165808615363837
94	1.1737876136964647
95	1.1774246175617806
96	1.1705136341473685
97	1.1587960172631837
98	1.1649441044937168
99	1.1635193697442894
100	1.1697831770683653
101	1.1828742098915979
