Fraction of interaction surface(A)       Tot surface area(B)                      A*B                                     
   0.638                                 1483.626                                  946.301                                
   0.650                                 1484.680                                  964.999                                
   0.641                                 1479.491                                  948.247                                
   0.667                                 1480.023                                  987.551                                
   0.649                                 1483.488                                  962.874                                
   0.641                                 1480.096                                  949.438                                
   0.644                                 1477.267                                  951.968                                
   0.644                                 1478.015                                  952.325                                
   0.658                                 1484.605                                  976.966                                
   0.645                                 1482.120                                  955.772                                
   0.652                                 1484.499                                  967.490                                
   0.650                                 1489.272                                  967.417                                
   0.641                                 1491.449                                  955.364                                
   0.664                                 1485.863                                  987.242                                
   0.665                                 1481.410                                  984.564                                
   0.686                                 1484.706                                 1018.234                                
   0.672                                 1484.361                                  997.265                                
   0.663                                 1481.343                                  982.204                                
   0.648                                 1482.616                                  960.183                                
   0.669                                 1482.282                                  992.235                                
   0.657                                 1483.696                                  975.521                                
   0.654                                 1492.660                                  976.507                                
   0.638                                 1492.874                                  952.982                                
   0.647                                 1485.839                                  961.707                                
   0.646                                 1488.212                                  962.116                                
   0.636                                 1483.509                                  943.932                                
   0.657                                 1481.866                                  973.561                                
   0.664                                 1489.392                                  988.566                                
   0.661                                 1479.357                                  978.270                                
   0.684                                 1475.839                                 1009.808                                
   0.681                                 1479.023                                 1006.727                                
   0.655                                 1477.284                                  966.918                                
   0.672                                 1480.952                                  994.838                                
   0.661                                 1479.739                                  977.949                                
   0.667                                 1477.812                                  985.063                                
   0.674                                 1473.643                                  992.560                                
   0.662                                 1479.533                                  980.126                                
   0.666                                 1480.339                                  985.443                                
   0.688                                 1482.612                                 1020.329                                
   0.672                                 1481.628                                  996.162                                
   0.668                                 1485.505                                  992.370                                
   0.675                                 1480.199                                  998.982                                
   0.676                                 1478.064                                  999.432                                
   0.644                                 1480.160                                  953.707                                
   0.639                                 1482.599                                  948.062                                
   0.649                                 1481.223                                  961.839                                
   0.652                                 1477.457                                  963.257                                
   0.670                                 1480.281                                  991.789                                
   0.668                                 1480.945                                  989.616                                
   0.669                                 1478.326                                  989.609                                
   0.654                                 1477.827                                  965.971                                
   0.661                                 1478.518                                  976.987                                
   0.690                                 1479.750                                 1020.697                                
   0.667                                 1481.315                                  988.412                                
   0.655                                 1494.977                                  979.362                                
   0.658                                 1496.399                                  984.381                                
   0.669                                 1491.445                                  998.214                                
   0.673                                 1495.443                                 1006.414                                
   0.651                                 1490.313                                  970.750                                
   0.654                                 1492.978                                  976.312                                
   0.621                                 1491.196                                  925.900                                
   0.637                                 1489.736                                  949.043                                
   0.644                                 1494.872                                  963.294                                
   0.634                                 1491.708                                  945.940                                
   0.652                                 1490.487                                  971.470                                
   0.635                                 1487.548                                  945.041                                
   0.642                                 1485.211                                  952.793                                
   0.648                                 1489.300                                  964.740                                
   0.636                                 1482.185                                  943.288                                
   0.652                                 1484.497                                  967.923                                
   0.652                                 1482.946                                  966.214                                
   0.649                                 1481.656                                  961.861                                
   0.649                                 1486.331                                  964.766                                
   0.668                                 1485.948                                  992.227                                
   0.668                                 1484.621                                  991.779                                
   0.690                                 1482.010                                 1021.926                                
   0.670                                 1482.902                                  993.240                                
   0.643                                 1485.797                                  955.404                                
   0.648                                 1483.498                                  960.704                                
   0.640                                 1485.321                                  950.309                                
   0.630                                 1488.545                                  937.522                                
   0.637                                 1483.037                                  944.502                                
   0.632                                 1484.501                                  938.792                                
   0.659                                 1482.287                                  976.310                                
   0.661                                 1484.567                                  981.744                                
   0.645                                 1483.033                                  956.361                                
   0.649                                 1483.749                                  963.654                                
   0.657                                 1478.524                                  971.664                                
   0.650                                 1481.887                                  963.748                                
   0.664                                 1481.273                                  983.311                                
   0.639                                 1485.357                                  949.390                                
   0.662                                 1480.541                                  980.370                                
   0.637                                 1481.182                                  943.993                                
   0.658                                 1479.316                                  973.600                                
   0.638                                 1478.220                                  943.137                                
   0.649                                 1478.429                                  958.805                                
   0.653                                 1473.595                                  962.870                                
   0.666                                 1474.424                                  981.647                                
   0.673                                 1478.535                                  994.398                                
   0.667                                 1476.512                                  984.776                                
   0.674                                 1475.839                                  994.606                                
