Mean Radius	Outer_Ro	Outer_No	Inside_Ro	Inside_No	Expelled
   9.374	   10.868	     1705	   7.014	    1079	      94
   9.374	   10.872	     1707	   7.004	    1079	      92
   9.359	   10.853	     1703	   7.000	    1079	      96
   9.368	   10.855	     1704	   7.020	    1079	      95
   9.376	   10.868	     1704	   7.019	    1079	      95
   9.365	   10.856	     1700	   7.016	    1079	      99
   9.360	   10.845	     1700	   7.020	    1079	      99
   9.360	   10.848	     1701	   7.013	    1079	      98
   9.375	   10.872	     1705	   7.008	    1079	      94
   9.367	   10.863	     1705	   7.004	    1079	      94
   9.380	   10.872	     1707	   7.020	    1079	      92
   9.389	   10.889	     1708	   7.015	    1079	      91
   9.394	   10.897	     1711	   7.011	    1079	      88
   9.378	   10.877	     1709	   7.005	    1079	      90
   9.368	   10.860	     1704	   7.011	    1079	      95
   9.374	   10.872	     1706	   7.005	    1079	      93
   9.377	   10.871	     1705	   7.016	    1079	      94
   9.369	   10.860	     1705	   7.012	    1079	      94
   9.369	   10.865	     1707	   7.003	    1079	      92
   9.375	   10.864	     1709	   7.018	    1079	      90
   9.373	   10.869	     1708	   7.006	    1079	      91
   9.400	   10.901	     1712	   7.017	    1079	      87
   9.400	   10.902	     1713	   7.015	    1079	      86
   9.381	   10.877	     1708	   7.013	    1079	      91
   9.382	   10.885	     1710	   7.000	    1079	      89
   9.374	   10.868	     1706	   7.012	    1079	      93
   9.370	   10.862	     1704	   7.015	    1079	      95
   9.391	   10.890	     1707	   7.021	    1079	      92
   9.359	   10.853	     1702	   7.003	    1079	      97
   9.353	   10.840	     1699	   7.012	    1079	     100
   9.365	   10.852	     1702	   7.021	    1079	      97
   9.357	   10.845	     1702	   7.011	    1079	      97
   9.370	   10.859	     1703	   7.020	    1079	      96
   9.363	   10.854	     1703	   7.011	    1079	      96
   9.356	   10.847	     1702	   7.004	    1079	      97
   9.342	   10.832	     1697	   6.998	    1079	     102
   9.363	   10.853	     1702	   7.013	    1079	      97
   9.365	   10.856	     1702	   7.014	    1079	      97
   9.368	   10.865	     1703	   7.007	    1079	      96
   9.367	   10.861	     1703	   7.009	    1079	      96
   9.376	   10.875	     1705	   7.007	    1079	      94
   9.366	   10.856	     1701	   7.016	    1079	      98
   9.359	   10.848	     1700	   7.014	    1079	      99
   9.366	   10.856	     1701	   7.019	    1079	      98
   9.369	   10.865	     1703	   7.009	    1079	      96
   9.365	   10.860	     1704	   7.006	    1079	      95
   9.359	   10.846	     1701	   7.015	    1079	      98
   9.363	   10.856	     1700	   7.012	    1079	      99
   9.368	   10.859	     1703	   7.015	    1079	      96
   9.360	   10.849	     1700	   7.015	    1079	      99
   9.354	   10.847	     1702	   7.000	    1079	      97
   9.358	   10.850	     1701	   7.006	    1079	      98
   9.360	   10.854	     1702	   7.004	    1079	      97
   9.365	   10.860	     1704	   7.004	    1079	      95
   9.402	   10.910	     1715	   7.005	    1079	      84
   9.404	   10.915	     1717	   6.999	    1079	      82
   9.393	   10.897	     1713	   7.006	    1079	      86
   9.402	   10.912	     1714	   7.005	    1079	      85
   9.387	   10.893	     1711	   7.000	    1079	      88
   9.395	   10.903	     1715	   6.998	    1079	      84
   9.391	   10.896	     1712	   7.003	    1079	      87
   9.391	   10.891	     1711	   7.013	    1079	      88
   9.400	   10.910	     1714	   7.001	    1079	      85
   9.397	   10.898	     1711	   7.016	    1079	      88
   9.392	   10.894	     1713	   7.008	    1079	      86
   9.387	   10.883	     1711	   7.015	    1079	      88
   9.377	   10.874	     1710	   7.005	    1079	      89
   9.386	   10.889	     1712	   7.002	    1079	      87
   9.372	   10.863	     1708	   7.012	    1079	      91
   9.376	   10.872	     1707	   7.010	    1079	      92
   9.371	   10.866	     1709	   7.003	    1079	      90
   9.367	   10.861	     1706	   7.004	    1079	      93
   9.382	   10.878	     1707	   7.014	    1079	      92
   9.380	   10.877	     1708	   7.010	    1079	      91
   9.377	   10.872	     1705	   7.014	    1079	      94
   9.371	   10.863	     1704	   7.015	    1079	      95
   9.369	   10.866	     1705	   7.004	    1079	      94
   9.376	   10.876	     1706	   7.005	    1079	      93
   9.372	   10.868	     1704	   7.010	    1079	      95
   9.375	   10.875	     1706	   7.003	    1079	      93
   9.385	   10.886	     1710	   7.007	    1079	      89
   9.372	   10.866	     1706	   7.010	    1079	      93
   9.377	   10.872	     1707	   7.012	    1079	      92
   9.374	   10.864	     1705	   7.020	    1079	      94
   9.378	   10.872	     1708	   7.014	    1079	      91
   9.372	   10.866	     1705	   7.010	    1079	      94
   9.377	   10.869	     1706	   7.018	    1079	      93
   9.360	   10.850	     1705	   7.005	    1079	      94
   9.371	   10.862	     1706	   7.014	    1079	      93
   9.369	   10.860	     1703	   7.017	    1079	      96
   9.383	   10.875	     1703	   7.028	    1079	      96
   9.369	   10.857	     1705	   7.016	    1079	      94
   9.369	   10.859	     1704	   7.015	    1079	      95
   9.364	   10.853	     1701	   7.016	    1079	      98
   9.359	   10.849	     1699	   7.014	    1079	     100
   9.361	   10.849	     1700	   7.016	    1079	      99
   9.348	   10.832	     1698	   7.014	    1079	     101
   9.348	   10.835	     1698	   7.009	    1079	     101
   9.361	   10.850	     1698	   7.017	    1079	     101
   9.356	   10.842	     1698	   7.016	    1079	     101
   9.351	   10.840	     1699	   7.007	    1079	     100
