Frame	ROG of Dendrons [TA]
1	1.599591749272218
2	1.5823091292319393
3	1.5951268766653321
4	1.5951463176601708
5	1.5985001886213464
6	1.6141872039614908
7	1.5819425352173586
8	1.604160187436403
9	1.6090235660337715
10	1.6283539843889323
11	1.6035769622537115
12	1.5981032487239863
13	1.6090812453778371
14	1.610286347221045
15	1.6144032840028077
16	1.6056338802910803
17	1.6075749853386223
18	1.5952517141058984
19	1.613920081757499
20	1.6168913492249788
21	1.628866675624708
22	1.615644808060917
23	1.6061915801412359
24	1.5850100117328316
25	1.5912059149352402
26	1.6127777957939486
27	1.6048683607695062
28	1.5929164878129285
29	1.6255453842421044
30	1.5962910097069725
31	1.5980015489256028
32	1.5709098071422307
33	1.6154775903208674
34	1.591767938154942
35	1.6175484863908212
36	1.6164160484608785
37	1.5835110041277984
38	1.6021517997360817
39	1.6050906763570836
40	1.5944917930378788
41	1.6027002626692959
42	1.6122852693633312
43	1.606609214021424
44	1.6004841341076226
45	1.6065236616232141
46	1.5906434937764578
47	1.595214637144427
48	1.5944731644138563
49	1.6123470866139034
50	1.5914864685891055
51	1.6185003981635169
52	1.623975753577976
53	1.6124182429006086
54	1.610031666124962
55	1.5990152391980288
56	1.5973103134179623
57	1.5982420368134622
58	1.616158491272774
59	1.5690598076971058
60	1.5820657419651523
61	1.5743044141960951
62	1.5873230480759755
63	1.606254073268787
64	1.5881791366807516
65	1.60572380699131
66	1.6330054230976447
67	1.614632771585848
68	1.620296082979356
69	1.6095063225019086
70	1.604441295080882
71	1.5921249473352366
72	1.5996405776402394
73	1.6142838091446234
74	1.626590176684427
75	1.6073116544561175
76	1.5990679704003434
77	1.5864707043640396
78	1.5805131422898937
79	1.5870061723363704
80	1.572260558675621
81	1.5583612830071583
82	1.6149319991771858
83	1.5862617907607104
84	1.6220794103959912
85	1.6168427284945608
86	1.5850808031576726
87	1.5870361793925467
88	1.5789936264625342
89	1.5893604141500246
90	1.602261125682226
91	1.5821793641916264
92	1.617991259265449
93	1.5908653871215679
94	1.595556692881454
95	1.6079419916256403
96	1.61130150009946
97	1.5889405859637014
98	1.5917564759413245
99	1.5963270589990677
100	1.5997059216851905
101	1.6327352971012716
