Frame	TA-TA
1	0.21128318584070796
2	0.19188596491228072
3	0.2013274336283186
4	0.22123893805309736
5	0.21271929824561403
6	0.2050438596491228
7	0.22991071428571427
8	0.19579646017699115
9	0.19911504424778761
10	0.18969298245614036
11	0.18530701754385964
12	0.2138157894736842
13	0.20285087719298245
14	0.20175438596491227
15	0.20089285714285715
16	0.18030973451327434
17	0.22587719298245615
18	0.19517543859649122
19	0.21052631578947367
20	0.19298245614035087
21	0.19517543859649122
22	0.18311403508771928
23	0.20065789473684212
24	0.20833333333333334
25	0.19690265486725664
26	0.20175438596491227
27	0.19469026548672566
28	0.20065789473684212
29	0.19736842105263158
30	0.16885964912280702
31	0.2050438596491228
32	0.17763157894736842
33	0.20285087719298245
34	0.2179203539823009
35	0.20394736842105263
36	0.20394736842105263
37	0.17653508771929824
38	0.19736842105263158
39	0.1787280701754386
40	0.20065789473684212
41	0.19736842105263158
42	0.19956140350877194
43	0.19188596491228072
44	0.21460176991150443
45	0.21428571428571427
46	0.20723684210526316
47	0.2141304347826087
48	0.1875
49	0.17543859649122806
50	0.20394736842105263
51	0.20434782608695654
52	0.1967391304347826
53	0.19298245614035087
54	0.19078947368421054
55	0.20575221238938052
56	0.19407894736842105
57	0.20175438596491227
58	0.20326086956521738
59	0.19782608695652174
60	0.21956521739130436
61	0.20065789473684212
62	0.20175438596491227
63	0.20108695652173914
64	0.21739130434782608
65	0.21956521739130436
66	0.20978260869565218
67	0.21128318584070796
68	0.2138157894736842
69	0.21128318584070796
70	0.18694690265486727
71	0.20434782608695654
72	0.21630434782608696
73	0.22039473684210525
74	0.20543478260869566
75	0.21739130434782608
76	0.2
77	0.21630434782608696
78	0.2236842105263158
79	0.2138157894736842
80	0.19977678571428573
81	0.19407894736842105
82	0.20243362831858408
83	0.20833333333333334
84	0.21162280701754385
85	0.21820175438596492
86	0.20978260869565218
87	0.2149122807017544
88	0.2050438596491228
89	0.19846491228070176
90	0.2013274336283186
91	0.19031531531531531
92	0.19911504424778761
93	0.17299107142857142
94	0.19358407079646017
95	0.17920353982300885
96	0.19866071428571427
97	0.1796875
98	0.19358407079646017
99	0.19690265486725664
100	0.18030973451327434
101	0.1796875
