Frame	Thickness of Dendron Layer
1	1.4350094939524016
2	1.438691927107092
3	1.3731670797998436
4	1.3144927072541108
5	1.38207549641254
6	1.4504268144704788
7	1.3196283035437002
8	1.3213305884877542
9	1.2907810201954941
10	1.3557730079283097
11	1.3443755170690181
12	1.2901767254790943
13	1.3503488019708492
14	1.3141620255993534
15	1.3233951067677445
16	1.2707572101841222
17	1.3215977011763567
18	1.3701210132701487
19	1.390307123381815
20	1.3864731949298665
21	1.3718157152923407
22	1.3610773049955665
23	1.375971787809755
24	1.4001991759001982
25	1.3822139133982159
26	1.4075644256936553
27	1.318808356710635
28	1.36749764483816
29	1.4071828914905087
30	1.4014626436150852
31	1.3567214354286161
32	1.4142398864718455
33	1.3324980801233473
34	1.38615680962614
35	1.3864195661039638
36	1.4290790282935735
37	1.3758068112936659
38	1.3992199003113797
39	1.3713051858462144
40	1.3621221594546622
41	1.3591816383516253
42	1.355824725308958
43	1.3782415845843552
44	1.3785146539106705
45	1.3744926091761993
46	1.3813249377011996
47	1.4348634029227227
48	1.3799873502589257
49	1.426808961764614
50	1.3775711725718711
51	1.4402597111653055
52	1.419903080598793
53	1.3451497649024358
54	1.3686895586103542
55	1.335737137496741
56	1.3360786988965856
57	1.3008717324913608
58	1.3663218751112147
59	1.4229692222384251
60	1.4013670351968752
61	1.3806571827009542
62	1.407068799631988
63	1.4380898603064907
64	1.4217567302872354
65	1.3393934305005217
66	1.39050986346043
67	1.304105085114644
68	1.346662456056464
69	1.4276807426083202
70	1.4273685484370553
71	1.4237827289996918
72	1.4335816244924118
73	1.294958919468046
74	1.3503028136225765
75	1.35412510409172
76	1.3332989426911315
77	1.3691369997046952
78	1.3699470963729343
79	1.374351435510384
80	1.3438446493382656
81	1.3396673277824416
82	1.3983446161119968
83	1.366291268719646
84	1.4039116788799344
85	1.3681678455862674
86	1.446528668868293
87	1.3793360031501063
88	1.3969903939877177
89	1.371021945115647
90	1.3396751480541784
91	1.2906331408341103
92	1.277407023526365
93	1.3319080639816452
94	1.3605479367010176
95	1.4392915052292352
96	1.336731955453443
97	1.421281690214986
98	1.3856681234619455
99	1.330910289617064
100	1.3435257438492627
101	1.3075212645836007
