Frame	ROG of Dendrons [ALL BEADS]
1	1.2924640757445345
2	1.2887330773078265
3	1.2924439093097848
4	1.2928656207403335
5	1.296274924891677
6	1.3034443746175346
7	1.2852038944051893
8	1.2939506563163559
9	1.3035323278085114
10	1.3094205923735611
11	1.296582830814296
12	1.2941495252399269
13	1.3018622193838163
14	1.2991374010468473
15	1.3010540095556073
16	1.2934350045072074
17	1.2991194506959944
18	1.285292783022443
19	1.3011271049675666
20	1.3092861937960751
21	1.30976986711877
22	1.305751040511367
23	1.2959461679839896
24	1.2863929647329109
25	1.289210569605671
26	1.3000502000440686
27	1.2960661206960657
28	1.286525264040826
29	1.3084214755657573
30	1.287611391089303
31	1.2837260174343696
32	1.2791907710338088
33	1.2988805191137478
34	1.2907467571227242
35	1.3009154532228187
36	1.3096246420027706
37	1.2819288484684326
38	1.292610856774688
39	1.3009916195453937
40	1.288373339498941
41	1.3004213883323452
42	1.3021981382564982
43	1.2953156823649945
44	1.292484350135718
45	1.2946524981583927
46	1.2919262314410416
47	1.2920481006507538
48	1.294084375877184
49	1.3008606062724841
50	1.2883315400669217
51	1.302285846599424
52	1.3074153601753238
53	1.3046932050385045
54	1.297428776475341
55	1.2861133136817235
56	1.2918887758172153
57	1.2900986139598456
58	1.3000257453554858
59	1.2732198661714278
60	1.280279242230824
61	1.279091960246693
62	1.2837713850832084
63	1.3013089123599315
64	1.286103048099352
65	1.2929230687198034
66	1.3167890488088927
67	1.3028822754966647
68	1.3048892465446853
69	1.3025297372198208
70	1.2963926471500562
71	1.2930011526890777
72	1.2900559949938308
73	1.3006843475378482
74	1.3060413408608722
75	1.2979691007249532
76	1.296862209923694
77	1.29122572509329
78	1.2835838808030384
79	1.2862782025857387
80	1.2810763508746312
81	1.274444253207587
82	1.3047769885775875
83	1.28735606319464
84	1.3063732621516275
85	1.309242667471893
86	1.2865845172945178
87	1.2872822684510064
88	1.280697782784764
89	1.2880852853772045
90	1.298973823627261
91	1.2839780872103157
92	1.3039507858387052
93	1.290703896150776
94	1.2984882700622218
95	1.301928879898078
96	1.2972543613811034
97	1.2852762181825248
98	1.2900176485080048
99	1.2885912109444222
100	1.2954765086400364
101	1.3102539783241822
