Frame	AND
1	3.8781612128557796
2	3.885307543142832
3	3.8898661256615346
4	3.942763022035763
5	3.8980653439988604
6	3.965752806483779
7	4.08265449678015
8	4.020643995236949
9	3.8583353190539533
10	3.8380053975436175
11	3.9453528013583306
12	4.044838361631952
13	3.8765269581649195
14	3.9965597986809445
15	4.0076085263207855
16	4.042978851278706
17	3.9056822419131665
18	3.863156302368659
19	3.950380860149574
20	3.852707627039935
21	3.887701731907097
22	3.930380507122452
23	3.955104958328099
24	4.067805716740195
25	3.9810639259332317
26	3.9201904061283694
27	3.9436422291648725
28	3.940126560952822
29	3.9620958166102316
30	3.9246840467862474
31	3.927477694425657
32	3.9822124552439857
33	3.833629179983769
34	3.9112802395766395
35	3.881426443572376
36	3.927790547352394
37	3.888665903484723
38	3.9153149405665233
39	3.8408230216033656
40	3.7920924077822775
41	3.8800554789063715
42	3.8167329715165237
43	3.8355288833068992
44	3.803709509670642
45	3.8347978067383277
46	3.9174003942929643
47	3.8727150591977604
48	3.8657263304822638
49	3.831686508052097
50	3.899523625050287
51	3.9354297751326643
52	3.849938799620644
53	3.852820984056501
54	3.868337257396847
55	3.9226763043571635
56	3.896909172386203
57	3.896226553960597
58	3.9488603198517165
59	3.9366548893411886
60	3.9074755245518915
61	3.9165723583046144
62	3.910639577356783
63	3.938917109839133
64	3.8987537187219132
65	3.92074564907427
66	3.9374245989751597
67	3.911827790774722
68	3.9948155984908262
69	3.920910590016561
70	3.976313263879067
71	3.965205176992321
72	3.9429826857033343
73	3.888821039507742
74	3.8409976734219944
75	3.7957053725471246
76	3.8472613290833766
77	3.8014767906359297
78	3.8487865696731394
79	3.8516699550013764
80	3.975162486174607
81	4.037967324651674
82	4.146593209503874
83	4.096097975379584
84	4.04788004890908
85	3.9841218636285474
86	4.138033808952599
87	4.097772009479279
88	3.979105575970904
89	4.159954328424495
90	4.021628545943698
91	4.0610954869697204
92	3.9664369547363676
93	4.047889830521336
94	4.1641170074029015
95	4.272889255476647
96	4.014541136242273
97	4.0884651377904495
98	4.00126253400068
99	3.953740013586724
100	3.9427294811548346
101	3.919994776791976
