Frame	Rad[NC3-COM]
1	11.00871888349404
2	11.02730730315021
3	11.021772073814283
4	11.041828464620199
5	11.072282625307402
6	11.05965348724223
7	11.082387801132398
8	11.075299387772152
9	11.059992220011477
10	11.050930301423922
11	11.030315692453632
12	11.058849044054792
13	11.042254292296391
14	11.011882341661746
15	11.020793787180153
16	11.036014371692435
17	11.028651401905991
18	11.031013427029004
19	11.024812190496734
20	11.018919315753466
21	11.03084888922085
22	11.030541130070329
23	11.04368785010075
24	11.064618191483339
25	11.029043566067823
26	11.053488221614703
27	11.031567975522943
28	11.016701898505271
29	11.010043466084339
30	10.992090330786372
31	11.02462913442387
32	11.03289024854391
33	11.008470718260511
34	10.991571357618078
35	10.985675193836192
36	10.996209213000652
37	10.976211866897284
38	10.973763482845282
39	10.95437810414622
40	10.988984930448199
41	10.981225092792522
42	10.985331238944042
43	10.974328946858607
44	10.978907719322732
45	10.99769717058152
46	11.03665018996016
47	11.013021824719038
48	10.996280246633575
49	10.986266377323522
50	10.959282687434037
51	10.969906154929816
52	10.987616265615555
53	11.006577819422306
54	10.979380749435782
55	10.963346997496366
56	10.947387413783868
57	10.957605673448496
58	10.941729891205641
59	10.931555631159107
60	10.944178397485414
61	10.945597057164967
62	10.95323618051392
63	10.961297486783089
64	10.958885324339633
65	10.958636690628136
66	10.976760794132096
67	10.972459857972721
68	10.98847615028195
69	11.01848595614123
70	11.004492182671152
71	10.9967734839375
72	11.002651647170119
73	10.996544003758657
74	10.970197885768608
75	10.950566224305552
76	10.97013047712471
77	10.976009992004279
78	11.005683193985805
79	11.02859282715821
80	11.044554369130504
81	11.032107526543392
82	11.065069324678282
83	11.072800884407387
84	11.058823760602348
85	11.059591039108037
86	11.079942856868062
87	11.077160539687418
88	11.06528991473945
89	11.088826296489174
90	11.084537550299459
91	11.075473547077793
92	11.067244346735464
93	11.051714693742998
94	11.101926440696095
95	11.081424270945382
96	11.082872957506833
97	11.088790082357347
98	11.109324393418744
99	11.103140418641777
100	11.088821319978601
101	11.0701494637402
