Frame	LC
1	1.4087092620361374
2	1.418329231531324
3	1.422349096309918
4	1.4140129106413015
5	1.394190368104038
6	1.4031616364611659
7	1.3906734237951965
8	1.3937761778823718
9	1.386355442544677
10	1.3874727166074012
11	1.4246360211720972
12	1.4012174212565025
13	1.4010241451149368
14	1.3957762159498837
15	1.3986594578730165
16	1.3967214708433824
17	1.3939556480609239
18	1.398881387912716
19	1.399710179782855
20	1.4023845947663882
21	1.3881973920266544
22	1.393262752997565
23	1.3886639743308442
24	1.3903991227699186
25	1.4003880209419035
26	1.3932707258034858
27	1.3928536993412128
28	1.4018247533480617
29	1.4041014596608592
30	1.3924705784589482
31	1.398914022389144
32	1.3923119775783346
33	1.3971780419411304
34	1.3912028980061422
35	1.3985254867797428
36	1.3920110401602073
37	1.3994977589047992
38	1.400950129009397
39	1.400160218134979
40	1.402385183470239
41	1.3928008688705364
42	1.3960770013953052
43	1.3965432883753375
44	1.3994930692121599
45	1.400237369185598
46	1.3986708458468904
47	1.3984344657834475
48	1.401332535738391
49	1.4013394593664756
50	1.3989492398029058
51	1.394996475502525
52	1.4076962013540166
53	1.3983428383309735
54	1.4026597550950421
55	1.398134100724916
56	1.388637024217629
57	1.388947716236465
58	1.395289648825894
59	1.3949363840254678
60	1.3936852802720254
61	1.3915086420592866
62	1.395360789015091
63	1.3948687768588262
64	1.3945394039256394
65	1.3980158973789072
66	1.398679108546569
67	1.3976580463650814
68	1.3971952824908827
69	1.3993164214363898
70	1.3888951049800378
71	1.3900834666274682
72	1.3927949416117646
73	1.4022493742773043
74	1.3992435693002712
75	1.3993753900597599
76	1.3929986023244796
77	1.3895115732633634
78	1.3947458604557865
79	1.3968104910899934
80	1.388808256487669
81	1.3903071880104243
82	1.3888518558756102
83	1.3873586715596922
84	1.3975998232474385
85	1.398568777960621
86	1.3902390494246915
87	1.4023264959303101
88	1.3884530910395254
89	1.3897597063411478
90	1.3938303920696788
91	1.384785746518942
92	1.394688944890228
93	1.3961966881866061
94	1.392340969912553
95	1.3919141961409596
96	1.3920193460430337
97	1.3929272854749402
98	1.398045270856732
99	1.4037364562219772
100	1.405938606845436
101	1.3908436931098982
