Frame	Outer_hydrophobic_vol
1	1709.1847938334117
2	1724.8621957839514
3	1730.347458037311
4	1726.5250012169606
5	1716.5759484004377
6	1725.7427188722584
7	1717.08165505887
8	1719.627514056162
9	1705.688556405802
10	1702.6367096910167
11	1735.126927813515
12	1717.5820152751749
13	1714.317857955281
14	1701.2528017838042
15	1705.1263080826914
16	1705.9851283004464
17	1701.1404170491166
18	1704.0711302306004
19	1705.63215876919
20	1706.3136082588587
21	1694.4207630131068
22	1703.725840027024
23	1700.625706568088
24	1712.9284549054873
25	1709.5293649728114
26	1707.5515649274587
27	1700.297079626689
28	1704.3349530337239
29	1706.3177419018646
30	1685.343618718663
31	1705.8853752962907
32	1699.5210998158573
33	1697.2467918370378
34	1684.621570159881
35	1691.0847850108505
36	1684.9724353371957
37	1689.260930049505
38	1688.7752657575215
39	1681.8761427818058
40	1695.7345096510064
41	1680.8193262445902
42	1689.6631374554192
43	1683.5545013314043
44	1688.163737445234
45	1699.1580284796198
46	1709.718247407733
47	1700.3280802868817
48	1700.549326080352
49	1694.2406964464212
50	1683.4301342490805
51	1681.8157433357983
52	1699.1570518222238
53	1699.4672449886534
54	1690.7738371913074
55	1681.1428622687206
56	1664.6066017273902
57	1668.82066829184
58	1667.5403962196197
59	1667.973204568455
60	1671.1686358945356
61	1665.4856912884006
62	1677.4807636965477
63	1675.3342663092217
64	1676.671075509225
65	1678.5904176320932
66	1687.3474024040752
67	1685.7421306605545
68	1692.8626550755528
69	1706.2411744158062
70	1687.2893280081294
71	1686.9014913577446
72	1690.5978464416032
73	1698.2190950245051
74	1686.9732898456446
75	1677.7295826500203
76	1678.465903506836
77	1679.8743054493066
78	1694.033224697094
79	1702.999414727276
80	1700.772366983192
81	1700.629438469595
82	1710.5943143960135
83	1712.8365775698492
84	1717.443454074738
85	1717.2150237373198
86	1715.3323131854283
87	1726.9159107217192
88	1710.6775231311187
89	1718.4466317954575
90	1722.4102602426562
91	1709.319714604011
92	1718.296133865027
93	1715.165028725885
94	1723.255585338051
95	1717.0777568747285
96	1717.383200744983
97	1725.3795282110113
98	1733.2510038520577
99	1740.7049184867983
100	1735.9099183395597
101	1714.2166798800315
