Frame	ROG of Dendrons [TA]
1	1.6053790775731038
2	1.640674782821446
3	1.5943812549195404
4	1.5910280524353297
5	1.6033114838468618
6	1.6187535744931334
7	1.6066228447255588
8	1.6296489512493124
9	1.5953823439844939
10	1.6126555024905436
11	1.631740485070003
12	1.6134803375700424
13	1.5772733822649092
14	1.6100920539992891
15	1.5892622383524468
16	1.5972045686987608
17	1.590378950921784
18	1.6076786062693782
19	1.6028248895215413
20	1.6114252351755043
21	1.6404509285596294
22	1.611426381396088
23	1.5979520210519782
24	1.570743097276947
25	1.6138025119649653
26	1.5951947032362235
27	1.5807264319238465
28	1.5775207731939176
29	1.6065108818097846
30	1.6296882001370339
31	1.6085767728593703
32	1.5678883298086719
33	1.6194484148027657
34	1.5810628356283227
35	1.5957613193340887
36	1.6099280594226293
37	1.589784420448702
38	1.5799163727310288
39	1.6068706991952255
40	1.5719859816050084
41	1.6275029209024425
42	1.6331963123091082
43	1.6120917110839375
44	1.5978746435042483
45	1.5915211940411396
46	1.618845067248772
47	1.5879169860969315
48	1.5978532807325203
49	1.600264932545669
50	1.6113598916564829
51	1.5975779808948243
52	1.625238829129296
53	1.607033532589283
54	1.6222972784130187
55	1.601670394613895
56	1.6174002502058349
57	1.6174552526266897
58	1.6216575187227513
59	1.6060096602895655
60	1.6446975181584307
61	1.6008108341940932
62	1.5990708767734683
63	1.6007026948333212
64	1.5957999941998822
65	1.6180140831539402
66	1.6104172275071853
67	1.6088302805780714
68	1.6121890034791
69	1.6088448956551062
70	1.6098311379996157
71	1.6465296856102805
72	1.6185637151813808
73	1.6045854044100123
74	1.6086069730760248
75	1.629631482689531
76	1.6395342113180094
77	1.6267283130789436
78	1.6190465462028927
79	1.5980802665948177
80	1.611678440279726
81	1.594653126379001
82	1.5739073761389757
83	1.5848652169013981
84	1.621943745449982
85	1.619090254849954
86	1.5956266873676717
87	1.5927987651335846
88	1.589195346149904
89	1.639864958004124
90	1.5907297315854203
91	1.600161506347264
92	1.5799899554252244
93	1.5893474761587325
94	1.5763103324855419
95	1.5828023093242638
96	1.602322726580041
97	1.6010884015433704
98	1.6009535065653704
99	1.5632894943649869
100	1.5840196595979426
101	1.6373345158716812
