Frame	Rad[Qd-COM]
1	12.309369206292969
2	12.244651393270017
3	12.268016406612569
4	12.270085251954491
5	12.162281592824646
6	12.206633781787884
7	12.169022283881933
8	12.15600310223887
9	12.228621194042871
10	12.183457497339203
11	12.174693838538968
12	12.227814830540025
13	12.231177568682075
14	12.262935101052047
15	12.267860575750463
16	12.270785826809268
17	12.253634037979603
18	12.248756151751504
19	12.241233309848873
20	12.216183757179087
21	12.18809775106844
22	12.175531964768398
23	12.148408110437531
24	12.181266919398631
25	12.213785580446029
26	12.188067305297212
27	12.233267463226356
28	12.266294633505922
29	12.288155278921076
30	12.280463303641438
31	12.253660621599812
32	12.248797288222859
33	12.28118391465093
34	12.340605100321895
35	12.250505273835513
36	12.266941170845888
37	12.286888491397368
38	12.279806584980406
39	12.263026507510565
40	12.293864697943741
41	12.23832621287354
42	12.199402557029023
43	12.218322292416005
44	12.301205298673347
45	12.249881702361922
46	12.301459730579596
47	12.274902763044684
48	12.270907846496822
49	12.258077570046217
50	12.267110924781226
51	12.271074524851567
52	12.218487910152712
53	12.201706039887503
54	12.265105825639825
55	12.21318470461401
56	12.347968275532537
57	12.298000038814926
58	12.335726247897743
59	12.25410738080593
60	12.27911976216639
61	12.265048093310535
62	12.252649034350497
63	12.24283376036607
64	12.251724595369934
65	12.283577446939464
66	12.275190467413639
67	12.290524047027581
68	12.236469388783066
69	12.243365796345717
70	12.28401430394138
71	12.345461577171688
72	12.28528177375663
73	12.22817070531267
74	12.20936184094164
75	12.18524623761171
76	12.218446968826635
77	12.211386585041168
78	12.23386200939449
79	12.283065229411239
80	12.316712395237634
81	12.267205503294765
82	12.26432264772219
83	12.359288137721746
84	12.218945855245316
85	12.437895608936799
86	12.275669983188086
87	12.351310441505149
88	12.255202055512488
89	12.322518654325114
90	12.222613970205595
91	12.214576785359256
92	12.235128696696707
93	12.228699973693583
94	12.2206005028773
95	12.258627100354865
96	12.278243933867035
97	12.230945641055087
98	12.239466150264505
99	12.234909041456982
100	12.210746515605807
101	12.256486660649111
