Frame	Rad[PO4-COM]
1	10.802535697780005
2	10.812556297232124
3	10.809860187694225
4	10.814171248936752
5	10.793417696730922
6	10.815939676451984
7	10.814553886241455
8	10.794695800566695
9	10.802892328018649
10	10.80007482041697
11	10.800717024914626
12	10.821911078039202
13	10.82429410166062
14	10.812129624189373
15	10.819934139347406
16	10.820752353035182
17	10.829217586515712
18	10.816329471870558
19	10.816394576416537
20	10.810584242698399
21	10.81922707614692
22	10.805330396342503
23	10.812893504921195
24	10.81175504400245
25	10.812529159764672
26	10.812391026686353
27	10.81260159198195
28	10.811932904982363
29	10.810830080221452
30	10.81198273766656
31	10.810575541200462
32	10.8063126872913
33	10.815592639208887
34	10.801482251026627
35	10.801786494082384
36	10.817741887940157
37	10.817183860099991
38	10.81650514289793
39	10.817193917607169
40	10.836269297935246
41	10.817508834072301
42	10.825128348736715
43	10.81845844086941
44	10.823252565295896
45	10.820689011527907
46	10.81835182950535
47	10.828000872208483
48	10.822435037785102
49	10.817351228319279
50	10.815788576299935
51	10.806996008230808
52	10.808906612227139
53	10.808782972205256
54	10.810370484621455
55	10.803623630675544
56	10.848446788748278
57	10.83559338429442
58	10.821852341427933
59	10.830450320944344
60	10.847335911227079
61	10.816560777080726
62	10.801789555664332
63	10.833483604022994
64	10.82855398459594
65	10.835893603130776
66	10.84239895292544
67	10.852725314101852
68	10.800238699278541
69	10.82262134606813
70	10.8202803777221
71	10.845124098302914
72	10.853640554844107
73	10.84327953833182
74	10.828084566991626
75	10.83864677132715
76	10.837196338484883
77	10.823644206332222
78	10.816483626892861
79	10.804376750133239
80	10.80461934702335
81	10.81652602515012
82	10.837608546387381
83	10.860640257850237
84	10.864243867926985
85	10.859616835936235
86	10.868087704932499
87	10.859431577685474
88	10.863675624786838
89	10.83291271648492
90	10.814435508781283
91	10.829458350597344
92	10.81908239968227
93	10.820821655272551
94	10.84213609614755
95	10.828800671606652
96	10.83847492457603
97	10.849577574774685
98	10.84707257348125
99	10.859836950124103
100	10.855485820919272
101	10.843693207079045
