Frame	Rad[P3-COM]
1	11.951053753773055
2	11.910730044743982
3	11.933463558011049
4	11.906649269758278
5	11.832301171158253
6	11.879222272548988
7	11.83679018099199
8	11.824552422167256
9	11.886082031613755
10	11.84061999576348
11	11.827763258734844
12	11.903183911529124
13	11.888589512867217
14	11.922769222604897
15	11.909826413139026
16	11.903463766964936
17	11.899110557871936
18	11.876166040066964
19	11.887037897836548
20	11.872315647534064
21	11.868187612331118
22	11.840694009261828
23	11.821192089085892
24	11.854686226790477
25	11.874064864804913
26	11.827554706397068
27	11.890097013361304
28	11.912601691640406
29	11.935908427242769
30	11.95822517856777
31	11.906905179255316
32	11.904539205498262
33	11.947938362103425
34	11.972012563935222
35	11.921205544503843
36	11.907245763929328
37	11.925072264274187
38	11.943551844735408
39	11.912200058742043
40	11.940897609942327
41	11.914311694108338
42	11.856476977380199
43	11.860291836690205
44	11.932592479763516
45	11.898278858066895
46	11.926437153124246
47	11.917044342220418
48	11.926661773912896
49	11.921918678155226
50	11.927309713109576
51	11.932066959809752
52	11.88359853236635
53	11.871376046048416
54	11.907490934470944
55	11.872664803193842
56	12.019587887758808
57	11.978118274911417
58	11.999300629721398
59	11.903821163744006
60	11.9461639277239
61	11.915544254661572
62	11.899443805932112
63	11.907487699475402
64	11.910415212552628
65	11.924337954451138
66	11.941832333685998
67	11.923404257571141
68	11.898084203073061
69	11.913178281626784
70	11.945232039064315
71	12.008911814033189
72	11.93123581576846
73	11.887652549792698
74	11.890561328399754
75	11.84035842823686
76	11.864478897550038
77	11.867332137912888
78	11.906570509548477
79	11.955861147136881
80	11.962018881554691
81	11.932400149029515
82	11.931216237388771
83	12.000943390371429
84	11.88690987934939
85	12.091173832385593
86	11.942252659755358
87	11.974035120805976
88	11.939609503255705
89	11.995286064344686
90	11.869124657236846
91	11.905929855911392
92	11.89613541083564
93	11.895690986349429
94	11.860998525942309
95	11.887880260307144
96	11.945219308765857
97	11.875961957320872
98	11.901125202523266
99	11.898950892029488
100	11.898851739139044
101	11.914277047447065
