Frame	Rad[N0-COM]
1	11.900494895922876
2	11.86056398377268
3	11.883089114442928
4	11.848621342614413
5	11.781124776390735
6	11.83277366043607
7	11.788979241602275
8	11.774074763673498
9	11.829960200691975
10	11.785136436969019
11	11.773329203021538
12	11.850977980804318
13	11.83823991741565
14	11.872294169930678
15	11.851838726277165
16	11.842154888841469
17	11.841338045845266
18	11.811390830423854
19	11.83029067542448
20	11.82496238704205
21	11.817555280758363
22	11.786033887910667
23	11.772535295367629
24	11.809047620211233
25	11.81942127240492
26	11.769171245252359
27	11.835469207237432
28	11.855138395885747
29	11.878688850111219
30	11.908337587146386
31	11.85294368579894
32	11.851168929874945
33	11.899570434601081
34	11.913192256730419
35	11.872564273310397
36	11.850153673081243
37	11.8741064140385
38	11.891459915254366
39	11.856089799878465
40	11.885399507209693
41	11.86313106563547
42	11.801932204015722
43	11.803897384224927
44	11.872219961545152
45	11.842440826264994
46	11.869854746475527
47	11.858760113853739
48	11.873193282738315
49	11.86756961586578
50	11.872273052134831
51	11.880351960983152
52	11.833190262995252
53	11.814966414223408
54	11.848839339272834
55	11.822099346771711
56	11.968796243330118
57	11.929146998655835
58	11.945940962995092
59	11.847059476110674
60	11.896417730030956
61	11.862680363345373
62	11.845680632292254
63	11.860387358933691
64	11.854889995186687
65	11.869632530543706
66	11.88875541255454
67	11.868161210671467
68	11.84674746645035
69	11.86027680618284
70	11.895422524510513
71	11.961251418197149
72	11.873853791872031
73	11.838849261843231
74	11.840938056180484
75	11.788451824050986
76	11.808950307670537
77	11.810809698754769
78	11.854567752589157
79	11.905915340403032
80	11.906489032108308
81	11.882383321361088
82	11.881529239168112
83	11.942384588699616
84	11.837681460369438
85	12.034900932379522
86	11.887868403711458
87	11.909638472923923
88	11.892038184833172
89	11.94751714861205
90	11.812621787481781
91	11.859203229751975
92	11.84675926915491
93	11.8430931632553
94	11.805709293833763
95	11.824897685621355
96	11.892448995977972
97	11.819864215693022
98	11.845498435294857
99	11.844749522294967
100	11.853666309701914
101	11.860948635608747
