Mean Radius	Outer_Ro	Outer_No	Inside_Ro	Inside_No	Expelled
   9.352	   10.831	     1716	   7.013	    1085	     110
   9.363	   10.843	     1717	   7.023	    1086	     108
   9.363	   10.837	     1717	   7.034	    1087	     107
   9.365	   10.842	     1721	   7.017	    1082	     108
   9.350	   10.825	     1714	   7.023	    1086	     111
   9.365	   10.847	     1718	   7.018	    1085	     108
   9.364	   10.839	     1718	   7.024	    1083	     110
   9.348	   10.818	     1718	   7.012	    1081	     112
   9.354	   10.828	     1715	   7.023	    1085	     111
   9.356	   10.826	     1719	   7.018	    1081	     111
   9.350	   10.827	     1716	   7.012	    1084	     111
   9.373	   10.845	     1723	   7.026	    1081	     107
   9.371	   10.851	     1717	   7.033	    1087	     107
   9.362	   10.837	     1719	   7.022	    1083	     109
   9.373	   10.845	     1721	   7.032	    1082	     108
   9.367	   10.848	     1722	   7.008	    1081	     108
   9.375	   10.856	     1721	   7.023	    1083	     107
   9.364	   10.841	     1721	   7.016	    1082	     108
   9.369	   10.845	     1719	   7.031	    1085	     107
   9.366	   10.837	     1723	   7.021	    1081	     107
   9.366	   10.857	     1699	   7.072	    1105	     107
   9.361	   10.833	     1720	   7.025	    1084	     107
   9.362	   10.843	     1714	   7.033	    1090	     107
   9.362	   10.841	     1718	   7.022	    1086	     107
   9.364	   10.841	     1719	   7.025	    1085	     107
   9.363	   10.838	     1720	   7.021	    1084	     107
   9.361	   10.836	     1722	   7.013	    1082	     107
   9.360	   10.835	     1723	   7.009	    1081	     107
   9.363	   10.842	     1719	   7.020	    1085	     107
   9.360	   10.840	     1716	   7.025	    1088	     107
   9.363	   10.842	     1714	   7.038	    1090	     107
   9.350	   10.826	     1724	   6.997	    1081	     106
   9.362	   10.839	     1722	   7.013	    1083	     106
   9.356	   10.834	     1716	   7.024	    1088	     107
   9.353	   10.825	     1722	   7.010	    1082	     107
   9.367	   10.845	     1719	   7.027	    1086	     106
   9.364	   10.844	     1720	   7.018	    1085	     106
   9.366	   10.847	     1717	   7.029	    1088	     106
   9.366	   10.843	     1721	   7.019	    1083	     107
   9.370	   10.886	     1684	   7.094	    1121	     106
   9.361	   10.857	     1699	   7.063	    1106	     106
   9.370	   10.857	     1710	   7.048	    1095	     106
   9.370	   10.837	     1724	   7.031	    1081	     106
   9.365	   10.842	     1724	   7.010	    1081	     106
   9.361	   10.839	     1723	   7.005	    1081	     107
   9.366	   10.843	     1723	   7.014	    1082	     106
   9.373	   10.851	     1721	   7.027	    1084	     106
   9.363	   10.842	     1724	   7.003	    1081	     106
   9.366	   10.841	     1723	   7.018	    1082	     106
   9.360	   10.837	     1723	   7.005	    1081	     107
   9.351	   10.827	     1721	   7.005	    1083	     107
   9.349	   10.824	     1723	   6.999	    1081	     107
   9.345	   10.823	     1723	   6.989	    1081	     107
   9.351	   10.826	     1723	   7.000	    1081	     107
   9.338	   10.815	     1723	   6.983	    1081	     107
   9.379	   10.864	     1728	   7.007	    1082	     101
   9.363	   10.843	     1728	   6.997	    1081	     102
   9.355	   10.835	     1727	   6.991	    1081	     103
   9.367	   10.847	     1728	   7.002	    1081	     102
   9.387	   10.869	     1731	   7.013	    1081	      99
   9.355	   10.836	     1725	   6.992	    1081	     105
   9.346	   10.819	     1723	   6.999	    1081	     107
   9.376	   10.855	     1728	   7.012	    1081	     102
   9.366	   10.845	     1725	   7.008	    1082	     104
   9.369	   10.853	     1724	   7.008	    1084	     103
   9.376	   10.867	     1723	   7.012	    1087	     101
   9.383	   10.874	     1728	   7.001	    1082	     101
   9.350	   10.826	     1723	   6.999	    1081	     107
   9.360	   10.844	     1722	   6.998	    1082	     107
   9.363	   10.844	     1720	   7.019	    1086	     105
   9.379	   10.879	     1706	   7.059	    1103	     102
   9.388	   10.882	     1713	   7.056	    1098	     100
   9.382	   10.865	     1729	   7.013	    1082	     100
   9.371	   10.854	     1727	   7.001	    1081	     103
   9.377	   10.863	     1727	   7.002	    1081	     103
   9.372	   10.866	     1718	   7.015	    1089	     104
   9.368	   10.849	     1724	   7.008	    1082	     105
   9.365	   10.846	     1718	   7.024	    1087	     106
   9.354	   10.839	     1707	   7.039	    1095	     109
   9.354	   10.836	     1714	   7.016	    1087	     110
   9.362	   10.842	     1721	   7.010	    1083	     107
   9.375	   10.861	     1719	   7.028	    1088	     104
   9.390	   10.881	     1723	   7.035	    1090	      98
   9.394	   10.885	     1725	   7.025	    1086	     100
   9.387	   10.887	     1713	   7.044	    1096	     102
   9.390	   10.895	     1712	   7.047	    1100	      99
   9.381	   10.896	     1693	   7.080	    1115	     103
   9.389	   10.886	     1721	   7.026	    1090	     100
   9.373	   10.852	     1726	   7.010	    1081	     104
   9.359	   10.839	     1720	   7.008	    1083	     108
   9.368	   10.855	     1719	   7.018	    1087	     105
   9.359	   10.842	     1723	   6.996	    1081	     107
   9.363	   10.844	     1717	   7.021	    1086	     108
   9.377	   10.868	     1722	   7.013	    1086	     103
   9.369	   10.851	     1725	   7.006	    1082	     104
   9.377	   10.862	     1722	   7.021	    1086	     103
   9.382	   10.869	     1728	   7.005	    1081	     102
   9.381	   10.870	     1714	   7.045	    1093	     104
   9.384	   10.884	     1717	   7.030	    1094	     100
   9.390	   10.878	     1728	   7.015	    1083	     100
   9.378	   10.866	     1725	   7.007	    1083	     103
