Fraction of interaction surface(A)       Tot surface area(B)                      A*B                                     
   0.323                                 1473.356                                  476.523                                
   0.352                                 1476.640                                  519.447                                
   0.346                                 1475.029                                  510.719                                
   0.349                                 1476.323                                  515.126                                
   0.359                                 1471.804                                  528.098                                
   0.331                                 1477.895                                  489.908                                
   0.359                                 1475.465                                  529.467                                
   0.351                                 1469.758                                  516.297                                
   0.320                                 1472.672                                  470.568                                
   0.355                                 1472.102                                  522.815                                
   0.360                                 1472.384                                  529.406                                
   0.367                                 1477.331                                  542.317                                
   0.350                                 1478.789                                  517.619                                
   0.362                                 1475.009                                  534.573                                
   0.350                                 1477.268                                  517.172                                
   0.324                                 1478.149                                  478.982                                
   0.345                                 1480.170                                  510.448                                
   0.361                                 1476.191                                  533.522                                
   0.369                                 1477.132                                  544.365                                
   0.370                                 1475.002                                  545.742                                
   0.374                                 1480.637                                  553.823                                
   0.362                                 1473.940                                  534.303                                
   0.374                                 1476.701                                  552.255                                
   0.373                                 1476.214                                  550.358                                
   0.372                                 1476.112                                  549.141                                
   0.355                                 1475.441                                  524.125                                
   0.333                                 1474.881                                  490.771                                
   0.306                                 1474.376                                  451.383                                
   0.326                                 1476.369                                  480.958                                
   0.336                                 1475.893                                  496.265                                
   0.364                                 1476.521                                  537.113                                
   0.391                                 1472.027                                  575.918                                
   0.355                                 1475.610                                  523.148                                
   0.303                                 1474.128                                  447.135                                
   0.339                                 1471.818                                  499.581                                
   0.366                                 1477.105                                  540.918                                
   0.356                                 1476.944                                  526.376                                
   0.335                                 1477.866                                  494.487                                
   0.329                                 1476.698                                  486.083                                
   0.329                                 1488.342                                  489.633                                
   0.353                                 1480.529                                  522.847                                
   0.366                                 1480.566                                  542.008                                
   0.348                                 1475.128                                  513.813                                
   0.337                                 1476.418                                  497.135                                
   0.368                                 1475.512                                  542.506                                
   0.354                                 1476.614                                  522.343                                
   0.340                                 1478.889                                  502.702                                
   0.359                                 1476.406                                  529.673                                
   0.342                                 1476.183                                  505.055                                
   0.353                                 1475.081                                  520.944                                
   0.341                                 1472.309                                  501.749                                
   0.374                                 1471.559                                  550.874                                
   0.380                                 1471.312                                  558.894                                
   0.352                                 1472.043                                  518.163                                
   0.381                                 1469.020                                  559.302                                
   0.352                                 1482.388                                  521.581                                
   0.377                                 1476.557                                  556.700                                
   0.352                                 1474.425                                  518.653                                
   0.375                                 1477.735                                  554.578                                
   0.344                                 1483.834                                  510.899                                
   0.361                                 1474.736                                  531.760                                
   0.361                                 1470.052                                  531.113                                
   0.354                                 1479.944                                  523.719                                
   0.354                                 1477.344                                  522.851                                
   0.362                                 1479.436                                  535.480                                
   0.339                                 1483.109                                  503.121                                
   0.356                                 1485.211                                  528.591                                
   0.375                                 1471.959                                  551.451                                
   0.356                                 1476.827                                  525.294                                
   0.337                                 1476.828                                  497.141                                
   0.353                                 1486.625                                  524.153                                
   0.319                                 1487.453                                  474.109                                
   0.353                                 1482.808                                  523.571                                
   0.385                                 1479.762                                  569.370                                
   0.393                                 1482.178                                  581.886                                
   0.368                                 1482.896                                  545.944                                
   0.390                                 1478.382                                  575.831                                
   0.366                                 1477.626                                  541.423                                
   0.347                                 1475.595                                  511.315                                
   0.341                                 1474.802                                  502.500                                
   0.356                                 1476.303                                  524.984                                
   0.351                                 1481.470                                  520.109                                
   0.341                                 1486.927                                  506.573                                
   0.371                                 1488.097                                  552.537                                
   0.353                                 1488.622                                  525.319                                
   0.361                                 1490.963                                  538.645                                
   0.323                                 1491.169                                  481.789                                
   0.326                                 1488.436                                  484.758                                
   0.368                                 1479.213                                  544.206                                
   0.334                                 1475.677                                  493.322                                
   0.359                                 1479.857                                  531.595                                
   0.338                                 1476.296                                  499.096                                
   0.361                                 1477.060                                  533.789                                
   0.355                                 1483.417                                  525.915                                
   0.337                                 1478.945                                  498.126                                
   0.350                                 1481.919                                  518.500                                
   0.348                                 1483.855                                  516.515                                
   0.368                                 1484.064                                  545.485                                
   0.339                                 1487.947                                  504.359                                
   0.371                                 1486.303                                  551.773                                
   0.369                                 1482.986                                  547.630                                
