Frame	Thickness of Dendron Layer
1	1.5068335085129636
2	1.4320950960378926
3	1.4581562189183437
4	1.4559140030177389
5	1.3688638960937247
6	1.3906941053358999
7	1.3544683976404777
8	1.3613073016721753
9	1.4257288660242224
10	1.383382676922233
11	1.373976813624342
12	1.405903752500823
13	1.406883467021455
14	1.4508054768626746
15	1.4479264364030566
16	1.450033473774086
17	1.424416451463891
18	1.4324266798809457
19	1.4248387334323365
20	1.4055995144806879
21	1.3688706749215207
22	1.3702015684258946
23	1.3355146055163356
24	1.3695118753961815
25	1.4012564206813565
26	1.3756762786108592
27	1.420665871244406
28	1.4543617285235584
29	1.4773251986996243
30	1.468480565974879
31	1.4430850803993494
32	1.442484600931559
33	1.4655912754420424
34	1.5391228492952678
35	1.4487187797531291
36	1.449199282905731
37	1.4697046312973772
38	1.4633014420824768
39	1.4458325899033966
40	1.4575954000084952
41	1.4208173788012388
42	1.3742742082923076
43	1.3998638515465949
44	1.4779527333774514
45	1.4291926908340145
46	1.4831079010742467
47	1.4469018908362017
48	1.4484728087117205
49	1.440726341726938
50	1.4513223484812912
51	1.4640785166207593
52	1.4095812979255733
53	1.392923067682247
54	1.4547353410183703
55	1.409561073938466
56	1.4995214867842588
57	1.4624066545205068
58	1.5138739064698097
59	1.4236570598615863
60	1.4317838509393113
61	1.4484873162298086
62	1.4508594786861657
63	1.4093501563430753
64	1.4231706107739939
65	1.4476838438086883
66	1.4327915144881995
67	1.4377987329257298
68	1.4362306895045247
69	1.4207444502775868
70	1.4637339262192803
71	1.500337478868774
72	1.4316412189125227
73	1.3848911669808484
74	1.3812772739500137
75	1.3465994662845588
76	1.3812506303417518
77	1.3877423787089462
78	1.4173783825016297
79	1.4786884792780004
80	1.5120930482142843
81	1.4506794781446448
82	1.4267141013348095
83	1.498647879871509
84	1.3547019873183306
85	1.578278773000564
86	1.4075822782555871
87	1.4918788638196752
88	1.3915264307256496
89	1.489605937840194
90	1.4081784614243116
91	1.385118434761912
92	1.4160462970144376
93	1.407878318421032
94	1.3784644067297496
95	1.4298264287482123
96	1.4397690092910054
97	1.3813680662804018
98	1.3923935767832543
99	1.3750720913328784
100	1.3552606946865353
101	1.4127934535700657
