Frame	ROG of Dendrons [P3]
1	1.1761279378039857
2	1.1869456222002956
3	1.168475483500978
4	1.1764191330005498
5	1.1645637356653182
6	1.1839881666681715
7	1.1796937254717075
8	1.1862422810640976
9	1.169590399318446
10	1.1711294940763277
11	1.190445642927923
12	1.1713889861031825
13	1.161159452033865
14	1.1692954196996754
15	1.1698079082770374
16	1.169961782474628
17	1.171615968937951
18	1.1813400906219647
19	1.1803631472626066
20	1.1762924110275346
21	1.1828593567060552
22	1.184447382201221
23	1.1692601880174984
24	1.1516036010572346
25	1.181969543536221
26	1.1749873304226595
27	1.152562439263764
28	1.1582630967901888
29	1.17391194280316
30	1.1785261378402059
31	1.1703861232550556
32	1.1526863135781675
33	1.1641629485859486
34	1.1622048390451971
35	1.1736385246576355
36	1.1770377356611363
37	1.1674104700717227
38	1.159124414952218
39	1.1704147789128776
40	1.1617619951129197
41	1.1831718983681623
42	1.1798963198848458
43	1.1767630752993221
44	1.1647469073751733
45	1.1739461660604897
46	1.1839433069988299
47	1.1694184649389006
48	1.172949737310917
49	1.1785871554904879
50	1.1765504111218712
51	1.1571435337870433
52	1.1806703314236757
53	1.1765457752223727
54	1.187946172746708
55	1.1708795781027563
56	1.1851276875382075
57	1.1725337713219068
58	1.1883783858912544
59	1.1759398725115047
60	1.1994539711367946
61	1.171532497976816
62	1.1678278000173077
63	1.1682180276915157
64	1.1645815334757308
65	1.1748721552067256
66	1.1735787997930258
67	1.1781442506389326
68	1.1743916957865652
69	1.1764466949022387
70	1.1832734514591225
71	1.191393619288819
72	1.1734556609407754
73	1.168820091362152
74	1.1706636013084686
75	1.1915530210151257
76	1.1939025672894967
77	1.1879540076072272
78	1.1796000860541973
79	1.1690872243859138
80	1.1817798537183088
81	1.1605019551158215
82	1.1452293638082476
83	1.1563352463801582
84	1.1838804513711514
85	1.185210583326819
86	1.1721948859872566
87	1.1630571903717342
88	1.1637536212713808
89	1.1893484834278396
90	1.1737314765340314
91	1.165074207543868
92	1.1611442170924724
93	1.1635427431578538
94	1.1599464512705868
95	1.1562771074179703
96	1.1765214667413122
97	1.1732171777870053
98	1.1640662810071132
99	1.1614092874998756
100	1.163290801889311
101	1.188810179967416
