Mean Radius	Outer_Ro	Outer_No	Inside_Ro	Inside_No	Expelled
   9.374	   10.474	      113	   7.390	      36	      12
   9.374	   10.461	      114	   7.411	      35	      12
   9.359	   10.353	      113	   7.319	      35	      13
   9.368	   10.387	      113	   7.311	      35	      13
   9.376	   10.443	      114	   7.313	      35	      12
   9.365	   10.449	      114	   7.350	      35	      12
   9.360	   10.347	      112	   7.431	      36	      13
   9.360	   10.369	      113	   7.384	      35	      13
   9.375	   10.341	      113	   7.351	      35	      13
   9.367	   10.417	      114	   7.345	      35	      12
   9.380	   10.399	      114	   7.342	      35	      12
   9.389	   10.417	      114	   7.390	      35	      12
   9.394	   10.422	      114	   7.363	      35	      12
   9.378	   10.396	      114	   7.418	      35	      12
   9.368	   10.428	      112	   7.508	      37	      12
   9.374	   10.324	      113	   7.419	      35	      13
   9.377	   10.448	      114	   7.423	      35	      12
   9.369	   10.398	      114	   7.395	      35	      12
   9.369	   10.441	      114	   7.397	      35	      12
   9.375	   10.403	      114	   7.379	      35	      12
   9.373	   10.439	      114	   7.376	      35	      12
   9.400	   10.450	      114	   7.363	      35	      12
   9.400	   10.457	      114	   7.381	      35	      12
   9.381	   10.451	      114	   7.409	      35	      12
   9.382	   10.432	      113	   7.422	      36	      12
   9.374	   10.448	      114	   7.350	      35	      12
   9.370	   10.338	      113	   7.413	      35	      13
   9.391	   10.447	      114	   7.438	      35	      12
   9.359	   10.478	      114	   7.413	      35	      12
   9.353	   10.454	      114	   7.348	      35	      12
   9.365	   10.406	      114	   7.324	      35	      12
   9.357	   10.463	      114	   7.376	      35	      12
   9.370	   10.442	      114	   7.377	      35	      12
   9.363	   10.440	      113	   7.398	      36	      12
   9.356	   10.434	      114	   7.359	      35	      12
   9.342	   10.430	      114	   7.367	      35	      12
   9.363	   10.396	      114	   7.443	      35	      12
   9.365	   10.458	      114	   7.370	      35	      12
   9.368	   10.400	      114	   7.398	      35	      12
   9.367	   10.409	      114	   7.375	      35	      12
   9.376	   10.396	      114	   7.426	      35	      12
   9.366	   10.405	      114	   7.445	      35	      12
   9.359	   10.426	      114	   7.420	      35	      12
   9.366	   10.447	      113	   7.555	      36	      12
   9.369	   10.448	      112	   7.514	      37	      12
   9.365	   10.430	      114	   7.405	      35	      12
   9.359	   10.482	      115	   7.429	      35	      11
   9.363	   10.406	      114	   7.418	      35	      12
   9.368	   10.450	      114	   7.445	      35	      12
   9.360	   10.412	      114	   7.410	      35	      12
   9.354	   10.514	      115	   7.389	      35	      11
   9.358	   10.507	      115	   7.410	      35	      11
   9.360	   10.397	      114	   7.394	      35	      12
   9.365	   10.412	      114	   7.396	      35	      12
   9.402	   10.454	      113	   7.456	      36	      12
   9.404	   10.415	      114	   7.390	      35	      12
   9.393	   10.399	      114	   7.392	      35	      12
   9.402	   10.496	      115	   7.378	      35	      11
   9.387	   10.495	      115	   7.386	      35	      11
   9.395	   10.526	      115	   7.399	      35	      11
   9.391	   10.398	      114	   7.381	      35	      12
   9.391	   10.507	      114	   7.434	      36	      11
   9.400	   10.502	      115	   7.416	      35	      11
   9.397	   10.500	      115	   7.430	      35	      11
   9.392	   10.445	      115	   7.361	      35	      11
   9.387	   10.495	      115	   7.372	      35	      11
   9.377	   10.384	      113	   7.393	      36	      12
   9.386	   10.474	      114	   7.418	      36	      11
   9.372	   10.503	      113	   7.488	      37	      11
   9.376	   10.498	      113	   7.535	      37	      11
   9.371	   10.521	      115	   7.415	      35	      11
   9.367	   10.541	      115	   7.442	      35	      11
   9.382	   10.440	      114	   7.442	      35	      12
   9.380	   10.506	      115	   7.398	      35	      11
   9.377	   10.501	      115	   7.520	      35	      11
   9.371	   10.481	      115	   7.401	      35	      11
   9.369	   10.446	      115	   7.434	      35	      11
   9.376	   10.446	      114	   7.432	      35	      12
   9.372	   10.412	      114	   7.327	      35	      12
   9.375	   10.422	      112	   7.529	      37	      12
   9.385	   10.378	      114	   7.379	      35	      12
   9.372	   10.451	      113	   7.451	      36	      12
   9.377	   10.415	      114	   7.421	      35	      12
   9.374	   10.507	      114	   7.502	      36	      11
   9.378	   10.468	      114	   7.482	      36	      11
   9.372	   10.508	      115	   7.320	      35	      11
   9.377	   10.411	      114	   7.373	      35	      12
   9.360	   10.430	      114	   7.405	      35	      12
   9.371	   10.387	      114	   7.382	      35	      12
   9.369	   10.325	      113	   7.341	      35	      13
   9.383	   10.340	      111	   7.477	      37	      13
   9.369	   10.346	      113	   7.401	      35	      13
   9.369	   10.360	      112	   7.503	      36	      13
   9.364	   10.370	      113	   7.411	      35	      13
   9.359	   10.475	      113	   7.417	      36	      12
   9.361	   10.360	      112	   7.460	      36	      13
   9.348	   10.450	      112	   7.520	      37	      12
   9.348	   10.372	      113	   7.413	      35	      13
   9.361	   10.402	      113	   7.386	      35	      13
   9.356	   10.353	      113	   7.463	      35	      13
   9.351	   10.389	      112	   7.516	      36	      13
