Frame	AND
1	4.113238111276435
2	4.0415466026797375
3	3.9488136295837437
4	4.037738285214912
5	3.927517448720491
6	3.9522013509472846
7	3.970710480085086
8	3.9709345547517647
9	4.055443066853221
10	3.918109714030983
11	3.9011952261047713
12	3.959519173078443
13	3.9482979784808143
14	3.9891241986667483
15	4.023342150272665
16	4.084431937412593
17	3.997169949878974
18	4.201080653669337
19	4.0909533902075275
20	3.9015617914548644
21	3.9223821436242687
22	4.008132682418046
23	3.8532323253944236
24	3.828372287632539
25	3.89590812157692
26	3.8129452714918166
27	3.884820373868356
28	3.923561973200851
29	3.956254534996565
30	3.902483499202176
31	3.9308879608174965
32	3.8930821964149986
33	3.967746414952911
34	4.017142406661823
35	4.024440110183259
36	3.8306945011785594
37	3.9794010884733906
38	3.845736699681166
39	3.939542448161248
40	3.7387042604816267
41	3.849452938807765
42	3.820940351073499
43	3.7135320578617437
44	3.78794873876678
45	3.8028927141296935
46	3.781355208945275
47	3.8879816972849737
48	3.713311525703662
49	3.8220401215833184
50	3.890449959509518
51	3.8521350405103645
52	3.8676904939420975
53	3.902386731387875
54	3.851912733459885
55	3.8378013748199993
56	3.941638811596119
57	3.952816877616882
58	4.01103145598386
59	3.8870629055042767
60	3.9156383358867037
61	3.9139573085458137
62	3.936005163968177
63	4.00003618066429
64	3.982408374051885
65	3.9115460550439236
66	3.9847607793599886
67	3.974314792780524
68	3.8393793500641884
69	3.904490843652873
70	3.9607755377896288
71	4.033121670173699
72	4.0604331943784855
73	3.952326427960103
74	3.84200589724016
75	3.893939546697067
76	3.972789760944951
77	3.918599535162725
78	3.8860008090918736
79	3.821287946010641
80	3.864115675820026
81	3.821364680697777
82	3.813967703049093
83	3.985059989395496
84	3.8567315285883854
85	3.9154093083638752
86	3.889118932049288
87	3.8304292742757413
88	3.7517945569765767
89	3.954498837663313
90	3.85755338440662
91	3.938434229404028
92	3.8920708406845694
93	3.9200461719583863
94	3.8923156699713277
95	3.909088507714294
96	3.9699573020404593
97	3.883511591221657
98	3.988321335405159
99	3.9625781497534356
100	3.915840221712845
101	3.9310017947215363
