Frame	AND
1	3.5283999799897137
2	3.4665409371888427
3	3.4498729453040675
4	3.4566934296066183
5	3.492672435255689
6	3.5537288210850124
7	3.393172139962493
8	3.4795179849870808
9	3.5387275702335983
10	3.33052636806819
11	3.3986249065069423
12	3.4816885551894674
13	3.4924314100380016
14	3.418988931380595
15	3.49890805331517
16	3.3973542472728826
17	3.401862679665101
18	3.444427059655044
19	3.3870982666211606
20	3.336681326370217
21	3.4106187441815687
22	3.3913274464849823
23	3.379519879578736
24	3.341381049704389
25	3.358607769593718
26	3.406334713720885
27	3.380525564290867
28	3.428462552887284
29	3.30494396508044
30	3.3523581636371977
31	3.302501105479235
32	3.3028293770387145
33	3.2919373026730643
34	3.3141470839509792
35	3.3730702687458645
36	3.312829649423366
37	3.329315208455336
38	3.324309773388546
39	3.357688902601563
40	3.352461476403841
41	3.3203025238968626
42	3.408720002301304
43	3.430372272924875
44	3.4749876550732584
45	3.486219923549082
46	3.501128490863243
47	3.4999150084159627
48	3.4831855099528752
49	3.5125627444967438
50	3.4147603608481765
51	3.467584035603914
52	3.386616032762558
53	3.4504406249705344
54	3.4619160718296222
55	3.4712387269813534
56	3.485420668456289
57	3.4460649634773506
58	3.473316936207344
59	3.526133166848508
60	3.504688656764413
61	3.501139388063356
62	3.492042704492702
63	3.4913661901374167
64	3.459646809297159
65	3.5041121981863914
66	3.532399208221909
67	3.4683455367089064
68	3.4517626868341265
69	3.443396548789997
70	3.395600914138776
71	3.3990593762391
72	3.412012128862601
73	3.331050790680933
74	3.3180183045264293
75	3.315290439896097
76	3.4084910480012187
77	3.385403074368934
78	3.4540033237963153
79	3.4455571015540163
80	3.453647346132941
81	3.397838568927291
82	3.373605816904639
83	3.335497110505861
84	3.4440098180934626
85	3.499721242299095
86	3.5040954704830107
87	3.497259991068779
88	3.506066360233663
89	3.5220288836307216
90	3.467923607231853
91	3.5086639218328335
92	3.546709180934897
93	3.5278690159071044
94	3.4327498891225394
95	3.4518644989718754
96	3.508246588987886
97	3.5155188996061764
98	3.410268526387232
99	3.5041102706527822
100	3.4530849439566778
101	3.4769214221228384
