Frame	packing_factor
1	0.7985149049948312
2	0.797819866599342
3	0.7968767186670044
4	0.7979469132640704
5	0.7974755663522072
6	0.7967670764694726
7	0.7973894825214893
8	0.7976735561076161
9	0.797568743095675
10	0.7966604901665837
11	0.7969135231267183
12	0.7974685921513935
13	0.7959611969926925
14	0.7971883840084444
15	0.7965417367471714
16	0.7961781858870524
17	0.7964729493141568
18	0.7956802126281619
19	0.7965841295515964
20	0.7956427278375414
21	0.7951669895271448
22	0.7963931151615905
23	0.7955411277885759
24	0.7974840119956734
25	0.7974424543527823
26	0.7965100394178918
27	0.7974436649235247
28	0.7974426938365063
29	0.7980057801279012
30	0.7967264128148465
31	0.7976569727097204
32	0.7973215205735444
33	0.7960031523056993
34	0.7972660039513051
35	0.7990578715268069
36	0.7984035743335528
37	0.7988513408275744
38	0.7990288236811129
39	0.7973252471723131
40	0.7983261184929756
41	0.7982481647068005
42	0.7991083533359585
43	0.7987189095585842
44	0.7986780326421619
45	0.7966840735982661
46	0.7972926894512574
47	0.7982921825202511
48	0.7981472875340223
49	0.7990065735000427
50	0.7991143029051604
51	0.79968191938602
52	0.799384043838224
53	0.7976934201973923
54	0.7971140090376525
55	0.797920174266142
56	0.7978478642310445
57	0.7977412551364166
58	0.7955778630661832
59	0.7972446348045857
60	0.7967191080569217
61	0.7970377723487669
62	0.7990108448150681
63	0.7980174703320118
64	0.7984145403957101
65	0.7986830460069582
66	0.7985684489041291
67	0.7981082692639901
68	0.798397708786022
69	0.7969584584880143
70	0.7974421893431798
71	0.797086419721234
72	0.799316544782505
73	0.7989960413123951
74	0.7985522871047077
75	0.7964271972024755
76	0.7979722468772041
77	0.798156587581186
78	0.7981932631679766
79	0.7976697005427844
80	0.7978204638169338
81	0.7984440873296295
82	0.797790146242016
83	0.79846153361296
84	0.7973098650210625
85	0.797771563006081
86	0.7974906844706091
87	0.7978985783575253
88	0.7984512940962889
89	0.7999135682607662
90	0.7987192436749391
91	0.7992851006392735
92	0.799131869189385
93	0.797774782414285
94	0.7971414622662825
95	0.7970035795127195
96	0.7977734325794278
97	0.7966578170158954
98	0.7965862499922276
99	0.8009411288425918
100	0.7993891150694833
101	0.7992086287604698
