Frame	Rad[GL1-COM]
1	10.515551206759225
2	10.480101849830586
3	10.455749220439781
4	10.482135372371857
5	10.49414517212205
6	10.490001856069975
7	10.488240676772978
8	10.499258067883149
9	10.502048786523982
10	10.476079879141064
11	10.481882790672307
12	10.477853309037279
13	10.46855572071311
14	10.464969723137155
15	10.462304470773624
16	10.473284065019717
17	10.477791088702874
18	10.454393872543875
19	10.464593135935694
20	10.429027209723479
21	10.449640970367012
22	10.476158041107393
23	10.462948179874669
24	10.494441984433703
25	10.485377632134039
26	10.495637262408332
27	10.48744316332699
28	10.488167418848546
29	10.493854995125487
30	10.485659695873519
31	10.48568927673242
32	10.47836777643751
33	10.479668194649767
34	10.487147582501306
35	10.539555313950737
36	10.515671251463756
37	10.539317377887102
38	10.545073841006488
39	10.555145912287005
40	10.539178326550559
41	10.5268242055211
42	10.52020842765918
43	10.500463253248526
44	10.516421322595756
45	10.505424333393488
46	10.522818999103317
47	10.51983211304938
48	10.544160271036477
49	10.536837575292626
50	10.524463422014454
51	10.531027143825716
52	10.515317417803484
53	10.502961676731738
54	10.490276642506444
55	10.489639341655321
56	10.488851030285028
57	10.477181291893933
58	10.469371647057361
59	10.479210576867606
60	10.47101308378349
61	10.489163979503605
62	10.502917283106896
63	10.482197723863859
64	10.519528661304918
65	10.51653570689493
66	10.536996106326386
67	10.522254646030513
68	10.531524120277497
69	10.520802926839847
70	10.520284247003184
71	10.49407136749331
72	10.527746954556255
73	10.530157177838918
74	10.512225207096167
75	10.482678767349434
76	10.498025881181874
77	10.511129061611275
78	10.49396293398142
79	10.489371472881949
80	10.506906155847204
81	10.495624620862912
82	10.518945066595329
83	10.488897469237001
84	10.482167894955634
85	10.49405011575563
86	10.511549788950955
87	10.513712160424175
88	10.517422569504884
89	10.531018092087061
90	10.515561433890122
91	10.52996179961577
92	10.503772992204455
93	10.492908291019292
94	10.467759398792099
95	10.50550290125342
96	10.516855014255643
97	10.504138491080006
98	10.507797270995193
99	10.558209536645354
100	10.557840565258406
101	10.537208514942682
