Mean Radius	Outer_Ro	Outer_No	Inside_Ro	Inside_No	Expelled
   9.395	   10.708	      114	   7.408	      36	      11
   9.372	   10.577	      110	   7.452	      38	      13
   9.353	   10.516	      111	   7.493	      37	      13
   9.376	   10.470	      109	   7.529	      38	      14
   9.383	   10.542	      111	   7.440	      37	      13
   9.381	   10.811	      114	   7.439	      37	      10
   9.374	   10.705	      114	   7.337	      36	      11
   9.380	   10.656	      113	   7.364	      36	      12
   9.385	   10.594	      113	   7.427	      36	      12
   9.364	   10.412	      111	   7.372	      36	      14
   9.370	   10.520	      112	   7.413	      36	      13
   9.372	   10.525	      111	   7.383	      37	      13
   9.367	   10.518	      112	   7.413	      36	      13
   9.358	   10.508	      111	   7.401	      37	      13
   9.360	   10.502	      112	   7.311	      36	      13
   9.365	   10.411	      111	   7.392	      36	      14
   9.370	   10.588	      113	   7.375	      36	      12
   9.352	   10.512	      112	   7.343	      36	      13
   9.365	   10.446	      110	   7.454	      37	      14
   9.337	   10.425	      111	   7.321	      36	      14
   9.346	   10.440	      111	   7.358	      36	      14
   9.365	   10.527	      112	   7.382	      36	      13
   9.357	   10.594	      113	   7.410	      36	      12
   9.383	   10.702	      112	   7.498	      38	      11
   9.374	   10.721	      114	   7.354	      36	      11
   9.384	   10.741	      113	   7.396	      37	      11
   9.375	   10.704	      114	   7.441	      36	      11
   9.377	   10.614	      112	   7.449	      37	      12
   9.382	   10.570	      111	   7.425	      37	      13
   9.373	   10.571	      113	   7.393	      36	      12
   9.373	   10.491	      112	   7.418	      36	      13
   9.367	   10.673	      113	   7.463	      37	      11
   9.371	   10.685	      114	   7.323	      36	      11
   9.373	   10.722	      114	   7.288	      36	      11
   9.414	   10.749	      114	   7.443	      37	      10
   9.392	   10.765	      115	   7.387	      36	      10
   9.405	   10.757	      115	   7.387	      36	      10
   9.411	   10.714	      115	   7.367	      36	      10
   9.424	   10.828	      116	   7.382	      36	       9
   9.411	   10.804	      116	   7.423	      36	       9
   9.401	   10.826	      114	   7.416	      37	      10
   9.399	   10.551	      112	   7.373	      36	      13
   9.385	   10.717	      113	   7.477	      37	      11
   9.397	   10.748	      115	   7.443	      36	      10
   9.385	   10.840	      115	   7.451	      37	       9
   9.406	   10.861	      115	   7.442	      37	       9
   9.405	   10.824	      115	   7.406	      37	       9
   9.422	   10.734	      115	   7.300	      36	      10
   9.419	   10.829	      114	   7.471	      38	       9
   9.409	   10.688	      115	   7.391	      36	      10
   9.413	   10.710	      114	   7.472	      37	      10
   9.398	   10.688	      113	   7.445	      37	      11
   9.392	   10.533	      112	   7.364	      36	      13
   9.385	   10.639	      113	   7.351	      36	      12
   9.383	   10.520	      112	   7.366	      36	      13
   9.380	   10.490	      112	   7.342	      36	      13
   9.373	   10.647	      113	   7.453	      36	      12
   9.368	   10.530	      112	   7.401	      36	      13
   9.376	   10.545	      111	   7.414	      37	      13
   9.370	   10.349	      110	   7.399	      36	      15
   9.383	   10.556	      112	   7.399	      36	      13
   9.395	   10.652	      112	   7.440	      37	      12
   9.380	   10.596	      113	   7.377	      36	      12
   9.395	   10.590	      113	   7.344	      36	      12
   9.396	   10.657	      113	   7.365	      36	      12
   9.418	   10.739	      114	   7.420	      37	      10
   9.403	   10.700	      113	   7.448	      37	      11
   9.413	   10.728	      113	   7.417	      37	      11
   9.402	   10.592	      112	   7.429	      37	      12
   9.400	   10.609	      113	   7.415	      36	      12
   9.380	   10.488	      111	   7.344	      36	      14
   9.405	   10.663	      114	   7.343	      36	      11
   9.405	   10.632	      113	   7.428	      36	      12
   9.397	   10.533	      111	   7.436	      37	      13
   9.375	   10.362	      110	   7.354	      36	      15
   9.385	   10.546	      112	   7.369	      36	      13
   9.389	   10.582	      113	   7.397	      36	      12
   9.384	   10.603	      113	   7.396	      36	      12
   9.380	   10.696	      114	   7.421	      36	      11
   9.395	   10.617	      112	   7.442	      37	      12
   9.388	   10.620	      113	   7.361	      36	      12
   9.395	   10.643	      113	   7.383	      36	      12
   9.383	   10.638	      113	   7.404	      36	      12
   9.376	   10.732	      115	   7.327	      36	      10
   9.383	   10.725	      113	   7.422	      37	      11
   9.394	   10.620	      113	   7.397	      36	      12
   9.394	   10.647	      114	   7.298	      36	      11
   9.400	   10.646	      114	   7.337	      36	      11
   9.407	   10.724	      114	   7.463	      37	      10
   9.394	   10.753	      116	   7.375	      36	       9
   9.407	   10.787	      116	   7.337	      36	       9
   9.392	   10.722	      114	   7.368	      37	      10
   9.383	   10.697	      112	   7.431	      38	      11
   9.361	   10.643	      114	   7.336	      36	      11
   9.388	   10.653	      114	   7.343	      36	      11
   9.398	   10.706	      114	   7.355	      36	      11
   9.387	   10.754	      115	   7.346	      36	      10
   9.390	   10.640	      114	   7.362	      36	      11
   9.424	   10.601	      112	   7.449	      37	      12
   9.431	   10.754	      115	   7.312	      36	      10
   9.410	   10.548	      112	   7.354	      36	      13
