Frame	Outer_hydrophobic_vol
1	1695.3920124839535
2	1672.4858924947655
3	1664.9253748697613
4	1672.4405753477147
5	1678.8599356082543
6	1684.4504896638011
7	1684.7019548895612
8	1688.2176707298095
9	1686.1414829210983
10	1677.2241620625161
11	1683.4383033740337
12	1674.4304628731556
13	1683.3591650783303
14	1677.7766044271473
15	1673.7221214990452
16	1684.4689069188337
17	1675.4389829109434
18	1681.7823285139204
19	1668.3925097878255
20	1670.1632029843297
21	1669.7045781833874
22	1680.584588050442
23	1685.2223831607878
24	1688.4384030132653
25	1682.629278720199
26	1694.3391499974734
27	1676.7726418614704
28	1679.3719238441224
29	1682.4971019914067
30	1680.4501636023917
31	1675.347932775066
32	1678.0209465930193
33	1680.7751550480625
34	1681.933683832592
35	1696.452263539658
36	1686.9468056271055
37	1696.7706224698925
38	1700.6479973198623
39	1714.6661087479556
40	1694.928181439969
41	1697.0440965178097
42	1686.6522867220442
43	1692.3470604887011
44	1695.7610170180628
45	1692.2201933928425
46	1700.251274056698
47	1690.6002821719487
48	1696.9690510679907
49	1692.1519620593406
50	1695.161229542045
51	1696.765728691339
52	1689.8324005201264
53	1684.8477369445056
54	1685.4892972715706
55	1677.4908693637033
56	1682.5759330212124
57	1682.274673314865
58	1687.0786794396938
59	1679.797402659126
60	1673.466435532764
61	1676.3617380704497
62	1682.209035783615
63	1675.600803242202
64	1697.4610557017677
65	1693.4120005868374
66	1694.3093184646705
67	1693.224482940252
68	1693.532447363171
69	1701.6430028760078
70	1700.7525931267903
71	1688.5656181973272
72	1695.9196849651587
73	1694.0202136817963
74	1682.638597492451
75	1686.9281341786204
76	1682.9800136738354
77	1691.3395555111185
78	1682.169126143364
79	1684.0074214556685
80	1691.4980803741857
81	1667.609824902448
82	1701.7530190102075
83	1674.6669492273154
84	1681.6036650472317
85	1685.779442117837
86	1685.2040265690573
87	1689.9831256793063
88	1689.3791288579605
89	1690.5937084795362
90	1691.23475541001
91	1694.8781851643441
92	1682.6909879194914
93	1680.0968409251834
94	1671.8960522440304
95	1694.674353275382
96	1690.432154783299
97	1683.4586531077362
98	1696.4861339951613
99	1700.4972347992052
100	1705.2446620177016
101	1697.2916033312003
