Frame	packing_factor
1	0.7957267541474353
2	0.7968319385642706
3	0.7961803478556303
4	0.7952425590058319
5	0.7958711264774044
6	0.7957299973725482
7	0.7964504821216285
8	0.7950581715119787
9	0.795964443464849
10	0.795150140580236
11	0.7947233733259961
12	0.7957236498136433
13	0.7973491016650397
14	0.7959358932634644
15	0.7956820821194865
16	0.7963029513914994
17	0.7947350168249538
18	0.7948839863463355
19	0.794596278347895
20	0.7949437271714894
21	0.7955466503183687
22	0.7944412572194526
23	0.7968761738053498
24	0.7962805304074252
25	0.7956010482156805
26	0.7956137897420953
27	0.7963725742747938
28	0.7964608319588145
29	0.7960824566400551
30	0.7966065301992448
31	0.795855933887393
32	0.7963662348834455
33	0.7961351445886354
34	0.7976806515930137
35	0.7969829981815723
36	0.7959363132249507
37	0.7974065338788809
38	0.7965198360689867
39	0.7963595489501065
40	0.7959054937753741
41	0.7971939932633413
42	0.797093653679546
43	0.7979367219008353
44	0.7969645341222492
45	0.7977474908621787
46	0.7979371257311255
47	0.7970576342020774
48	0.7979356659386971
49	0.7972401317202948
50	0.7975632879078205
51	0.7956591830622246
52	0.7964258160139953
53	0.7968164600329396
54	0.7970893851920262
55	0.7978473102877187
56	0.7981153819623285
57	0.7976328302335269
58	0.7976655361654498
59	0.7968964234224559
60	0.7966573641142798
61	0.7971966120366488
62	0.7983668040526369
63	0.7977861442574549
64	0.798329868623663
65	0.7974112915025254
66	0.7976519703089312
67	0.7982746768723087
68	0.7968480269185048
69	0.7976944860194429
70	0.7971649444080243
71	0.7985925887696658
72	0.7987664164482845
73	0.7974449830358059
74	0.7967843505753673
75	0.797265130051027
76	0.7987222377973883
77	0.7974028015083944
78	0.7971300874323434
79	0.7966786557356482
80	0.7981968097870722
81	0.7981144428794054
82	0.7983362068984738
83	0.7973251725013674
84	0.7989344240198368
85	0.797206494769127
86	0.7981965939073034
87	0.7974355741846613
88	0.7984827317421853
89	0.7975038553225071
90	0.798200786061362
91	0.7982942088780698
92	0.798341969582479
93	0.797680360663378
94	0.7988569073289147
95	0.7985325657344781
96	0.798888164258121
97	0.7999494822212025
98	0.7993876618712829
99	0.8005821885455234
100	0.7990113508791824
101	0.7989566736806669
