Frame	AND
1	3.9695424211238453
2	4.048728996461311
3	4.113796945616912
4	4.0904131173605895
5	4.089024935105649
6	4.086809031169244
7	3.98709007344575
8	3.9795570747752227
9	3.9394367408924373
10	3.9409035928634144
11	4.0126886607853045
12	3.987892929112079
13	3.9552137593923824
14	3.874050068425173
15	3.9672146618124855
16	3.9683748169660884
17	3.972644994718026
18	3.948657958789049
19	3.9156119077739455
20	3.942676547334874
21	3.9184404292093475
22	3.9038560456993006
23	3.8435853971167138
24	3.937229342833587
25	3.8377164395362393
26	3.9901615078311665
27	4.017671937888418
28	3.9617907368289664
29	3.922514010077207
30	3.926815163219363
31	3.942515060247495
32	4.05474748054314
33	4.041206394505445
34	4.026671926633462
35	4.061843042625624
36	4.001571866645109
37	4.07674479313288
38	4.0352890953230505
39	3.9982309085615584
40	3.961552381330381
41	3.9903059618384353
42	3.9230262184502034
43	4.028770539162525
44	4.015168446125927
45	3.9997269981988977
46	4.069353750161056
47	4.0207326610791
48	4.055783092596639
49	4.030319005125367
50	3.9984664428308005
51	4.033403888545819
52	4.011265562758322
53	3.966855731900367
54	3.934086180486652
55	3.9715802679628363
56	4.037397564530567
57	4.015628231682577
58	4.164469941612186
59	4.142745367868454
60	4.058711259574137
61	3.83331990345547
62	3.9046527751473445
63	4.1164135302300515
64	4.0352182263460135
65	4.045559447524126
66	4.097495324789186
67	4.1121172219207
68	4.047842888619882
69	4.083303904091527
70	4.134550634767129
71	4.083058697070828
72	4.1424066981808565
73	4.093216669615261
74	4.153093176031243
75	4.083664253258157
76	4.113523770530899
77	4.016712737280736
78	4.106090325099092
79	4.122100196856759
80	4.07214697072929
81	4.047062251514022
82	4.142686500584756
83	4.225937384630155
84	4.084446264835279
85	4.061145092478273
86	3.9626989578973517
87	3.9045195537570927
88	3.916030749593026
89	3.9011487092167565
90	3.9735221567000267
91	3.7279604167076164
92	3.765768296132954
93	3.9334690632321823
94	3.797324295931787
95	4.004550740066907
96	3.920888082406972
97	4.150794571940368
98	4.061805834493654
99	4.125852833721006
100	4.138231595807936
101	4.220465154459166
