Frame	LC
1	1.3986675867571259
2	1.389619222991785
3	1.3946135488226112
4	1.3926920105571419
5	1.3898283032683096
6	1.3916479767356336
7	1.394988925131018
8	1.3899370921219705
9	1.3925825043112774
10	1.390465296913906
11	1.3954246438683315
12	1.3963523125432111
13	1.3922435244859372
14	1.395450709201787
15	1.4000203609502264
16	1.386535455506049
17	1.3878817517773052
18	1.3979913268814976
19	1.4002319308348898
20	1.3958160179703634
21	1.3963146268397382
22	1.3918085310719692
23	1.3991685568399963
24	1.4034045996492233
25	1.3819826858668665
26	1.3921125375768484
27	1.3926940171568045
28	1.390401552369751
29	1.407719235935481
30	1.4386009044761259
31	1.4385240080319726
32	1.3850422039574546
33	1.397993691908058
34	1.3999621737301973
35	1.3946641432225075
36	1.39396019460679
37	1.3941669937783858
38	1.3979607210871132
39	1.3989160800859142
40	1.4039749108935076
41	1.393277448629468
42	1.3880670291072394
43	1.3999474363852578
44	1.3994114320547149
45	1.3902992329366133
46	1.3889768510224878
47	1.3933795573989598
48	1.3900600133430867
49	1.3970439141856676
50	1.398814011753735
51	1.3976652652059063
52	1.3963298629133098
53	1.4041957576487454
54	1.398697759883495
55	1.3928382966112327
56	1.3973404333891555
57	1.3926924482896061
58	1.396219891778663
59	1.4003866766596136
60	1.390524951913206
61	1.3898138438781626
62	1.4023411233124399
63	1.39805835855681
64	1.3900107082126663
65	1.3922502869770794
66	1.3911875825614848
67	1.3943810349743473
68	1.393915079768988
69	1.400011470317036
70	1.39966141411747
71	1.3914979910417626
72	1.394386333795924
73	1.3968029272962001
74	1.3875379867300635
75	1.3923717091373822
76	1.398698165398358
77	1.3940488034433143
78	1.4022053162602925
79	1.3940714119328848
80	1.3927965113119454
81	1.3968193267059006
82	1.3961732875130113
83	1.3903903350385987
84	1.381003709775737
85	1.3922089071862753
86	1.3939211161790943
87	1.393742184766715
88	1.3892357323402673
89	1.3920100071958392
90	1.4020669403968369
91	1.3983489596081675
92	1.3919405495254338
93	1.3897688322485364
94	1.3999319498482556
95	1.4051082834959945
96	1.3950718901861183
97	1.3888918858796178
98	1.3882636931756698
99	1.3935664327877313
100	1.3936989749942756
101	1.3992346422902064
