Frame	AND
1	3.7581804433562285
2	3.7655093104381394
3	3.61337078656108
4	3.698724724606272
5	3.570496651630451
6	3.6143701686564134
7	3.6031998363393174
8	3.680009514738562
9	3.5992719209207005
10	3.617925068299376
11	3.688384173705494
12	3.765766109530769
13	3.7677529954124753
14	3.66204313869579
15	3.678772426343737
16	3.7245360523844027
17	3.73463232019005
18	3.625017203885605
19	3.6663915685535255
20	3.6845750106775172
21	3.5471530915071767
22	3.660717438983057
23	3.5968718661884633
24	3.633199934097614
25	3.7557158848951504
26	3.629890472267279
27	3.5994038572468527
28	3.6826020604184464
29	3.560899587052316
30	3.6064075256947548
31	3.6367776940438747
32	3.6331483262161117
33	3.617509662725588
34	3.6790112842376934
35	3.5963384557858453
36	3.6762978260381116
37	3.6349293069119253
38	3.5734743744285864
39	3.532654363898973
40	3.503971049214653
41	3.524111605195377
42	3.5197533589541043
43	3.516281762355535
44	3.5067665918350452
45	3.5557449890455577
46	3.526048839213417
47	3.456359220539591
48	3.520199082133762
49	3.6460083268376176
50	3.6294992110890734
51	3.5250797262193267
52	3.4595921355312087
53	3.5061095623366554
54	3.4710989021480088
55	3.510558718331246
56	3.5034076023218046
57	3.537070216709524
58	3.4534030904497093
59	3.4314699040744596
60	3.457820858372994
61	3.390221249225892
62	3.4143977140816664
63	3.4213636824074207
64	3.3972059694242
65	3.4077847457246833
66	3.378696318055315
67	3.4495142557121157
68	3.4153750471937157
69	3.44315316611191
70	3.4653250774587763
71	3.5161429191732085
72	3.4278993498753936
73	3.4426631989986243
74	3.4741004733056653
75	3.4793076466709074
76	3.477504103725521
77	3.516783245315747
78	3.4682508543736987
79	3.507330127985325
80	3.4746178200472992
81	3.5289723262137747
82	3.4750510429234995
83	3.564576839716208
84	3.5731456173210216
85	3.4824290673849534
86	3.4843874572461697
87	3.475285903639814
88	3.4987110330609235
89	3.472201141065896
90	3.5043375097026375
91	3.3977938214921664
92	3.4211792144901247
93	3.4712640034233218
94	3.554659120204711
95	3.413676205651352
96	3.4226695061885173
97	3.432863365663999
98	3.4738493505511614
99	3.479440475564944
100	3.453372653606088
101	3.5514708457483075
