Frame	Rad[NC3-COM]
1	10.968785298948173
2	10.954623066870916
3	10.952858739128827
4	10.949772624246362
5	10.963937900489087
6	10.941893919848502
7	10.922478720997317
8	10.930765642356892
9	10.926427571504504
10	10.911392389721604
11	10.935330847690125
12	10.9042782678886
13	10.89115909104361
14	10.89289989318233
15	10.892397628025426
16	10.889528619142068
17	10.883646243875969
18	10.88561485050985
19	10.897798769872233
20	10.905404292622066
21	10.905055871480776
22	10.912693129854757
23	10.906674440890223
24	10.930001385301786
25	10.903836145020227
26	10.945757408944353
27	10.93125391614873
28	10.933652956324169
29	10.935153068135065
30	10.91569849795232
31	10.922995886306463
32	10.93610021287535
33	10.936543466125817
34	10.943629090260695
35	10.941138062634183
36	10.954233787970292
37	10.930799824140918
38	10.954812875433888
39	10.91900409426826
40	10.916247916675774
41	10.90354935312776
42	10.905788343905268
43	10.910429962868472
44	10.886806589692094
45	10.893185901540738
46	10.881290955158043
47	10.892449299608847
48	10.877100898599357
49	10.898708491222846
50	10.880514280045201
51	10.889299960827612
52	10.882809792282833
53	10.88980059145173
54	10.878138019007638
55	10.886844489904533
56	10.881081811667288
57	10.885714842697942
58	10.87891703316732
59	10.876988281399745
60	10.871570013497132
61	10.87014511870602
62	10.87696093832633
63	10.87577118882836
64	10.867875602924704
65	10.876565643710519
66	10.879026739809035
67	10.876143757271207
68	10.862204072896116
69	10.871825242029699
70	10.871292929065781
71	10.864560676894985
72	10.871926632915526
73	10.86985304639726
74	10.880702393489589
75	10.87201976545838
76	10.868816204392637
77	10.866429046032268
78	10.867108862622134
79	10.860228831569325
80	10.861909456991398
81	10.867628800427644
82	10.874429529492994
83	10.856029452628537
84	10.87964619052666
85	10.86359447544187
86	10.858268924256077
87	10.871218979750324
88	10.873253661102694
89	10.880814945563106
90	10.873356776883677
91	10.877391340585437
92	10.87095537684905
93	10.884336916125463
94	10.89001739180216
95	10.88553940772879
96	10.873458595760223
97	10.890954592492523
98	10.897133717148277
99	10.907798939471427
100	10.888399996489339
101	10.89561705550067
