Frame	Rad[GL1-COM]
1	10.487579025943594
2	10.480600234083127
3	10.467802300570249
4	10.460441493524739
5	10.474300032169513
6	10.456494479879169
7	10.438618363998742
8	10.452558314097207
9	10.442676259646044
10	10.422304336171374
11	10.449563082023573
12	10.413063123126939
13	10.397819896801343
14	10.405641942255624
15	10.405076875616901
16	10.405188223608015
17	10.398462929371572
18	10.394193532923131
19	10.402508061504966
20	10.417815212568504
21	10.415698400815716
22	10.422822037649999
23	10.41777247308983
24	10.443271308376323
25	10.416962576065618
26	10.465071617865853
27	10.44271200666025
28	10.44915204190109
29	10.458302372508262
30	10.43807606084252
31	10.43961816946746
32	10.441850916590823
33	10.445883798596197
34	10.4534024018386
35	10.45153346517655
36	10.472106274422126
37	10.450906359406455
38	10.469766937711414
39	10.429299497532384
40	10.427415209107274
41	10.414748084560072
42	10.416656352495494
43	10.424362093841854
44	10.403371603474156
45	10.4043871518928
46	10.39276833094735
47	10.405744504399928
48	10.391032854990954
49	10.407097704787544
50	10.395654030854143
51	10.399344795734365
52	10.394489022145745
53	10.40320619532881
54	10.392055968548414
55	10.38477408484252
56	10.390091481270726
57	10.393391803072126
58	10.393216467664484
59	10.391329735680982
60	10.383347595347717
61	10.384692783648761
62	10.384121098525947
63	10.38298036738622
64	10.381265732326783
65	10.381226607922777
66	10.38457270142038
67	10.384963306927274
68	10.373673920205606
69	10.379104140390254
70	10.380887579166739
71	10.377489481803037
72	10.386569376213071
73	10.37675970235047
74	10.3842529061312
75	10.38824199665151
76	10.374415035864631
77	10.379221074138723
78	10.379484567191362
79	10.37709791727003
80	10.376776686302708
81	10.379002467621158
82	10.38191534789263
83	10.37386472418221
84	10.387604989662648
85	10.377705145242508
86	10.369901022033643
87	10.384775395719611
88	10.383765732434936
89	10.389473182863282
90	10.378944297172502
91	10.392675540882179
92	10.382402959114094
93	10.390609354490593
94	10.396630647808161
95	10.398114565538656
96	10.383977120616814
97	10.404424422664993
98	10.414625822081222
99	10.420963430701898
100	10.400237738858827
101	10.408017880853263
