Frame	packing_factor
1	0.7976841194813795
2	0.7993300627896592
3	0.7971039088364458
4	0.796506824107911
5	0.7969303967244558
6	0.7970937136428279
7	0.7967412378373359
8	0.7982109537027082
9	0.7970195395243724
10	0.7960544824059095
11	0.7966189754294563
12	0.7951127040499241
13	0.7948624556256593
14	0.7956319138205333
15	0.7952479545647121
16	0.7967629071478647
17	0.7964143122252694
18	0.7946195774908444
19	0.7940232189259405
20	0.7957678568726755
21	0.7954329431066769
22	0.7958421936543115
23	0.795308190954644
24	0.7957339047474579
25	0.7969616426852311
26	0.7978922791411748
27	0.7963128505301768
28	0.7971964736146193
29	0.7970917189096443
30	0.7941678487538792
31	0.7933644357100851
32	0.7960757244809288
33	0.795638120647662
34	0.795675941642474
35	0.7961551086391384
36	0.7976568116682418
37	0.7975990413181022
38	0.7968734404541388
39	0.7954134902290707
40	0.7951045160629637
41	0.7957397267992709
42	0.7961406219626598
43	0.7957749842973689
44	0.795834392189104
45	0.7957962094708302
46	0.7957383518433429
47	0.795879947306106
48	0.7959803873425202
49	0.7948949264481767
50	0.7955382263599583
51	0.7949504675832683
52	0.7952103889184279
53	0.794987769617531
54	0.7953055789890829
55	0.7933108689738527
56	0.7946621231618115
57	0.7948969565551338
58	0.7955798733434107
59	0.7952197075580165
60	0.7954928527534997
61	0.7959789400408107
62	0.7938870529094075
63	0.7942161474912595
64	0.7957334510598201
65	0.7942770452784461
66	0.7945503609127962
67	0.7947803423361975
68	0.7950060348686018
69	0.7940016428383673
70	0.7943995312144632
71	0.7954803919463073
72	0.7956599086576159
73	0.7941621991403222
74	0.794544873337274
75	0.7960817485067828
76	0.7937780886832486
77	0.7952866913365412
78	0.7945778867917218
79	0.7958446677260131
80	0.7956477915754798
81	0.7948536158251115
82	0.7943883637001494
83	0.7962244847162724
84	0.7957705939595647
85	0.7956003583771948
86	0.794962698008968
87	0.7955208984957752
88	0.7954181744792733
89	0.795025789127489
90	0.7935876101803041
91	0.7955441745495623
92	0.7953146792932556
93	0.7948763280348272
94	0.7942208830756708
95	0.794703950764751
96	0.7949560792209608
97	0.7962408829088546
98	0.79705754594105
99	0.7961124104568524
100	0.7955448223751944
101	0.7953217111199882
