Frame	Outer_hydrophobic_vol
1	1685.9790256644028
2	1674.1966826994444
3	1674.9946777208036
4	1670.4921016800552
5	1672.2619852063651
6	1668.0667135179958
7	1665.405941662369
8	1664.9593454142737
9	1664.31652429876
10	1655.2093602692612
11	1669.59266960042
12	1658.0865335871413
13	1648.7128926554203
14	1654.639394158067
15	1659.10367684942
16	1645.386340970529
17	1644.485299560688
18	1653.32908486093
19	1658.4423805614476
20	1659.158023136588
21	1658.946155344383
22	1656.7614467458836
23	1662.5695847137808
24	1675.6404354327046
25	1644.7060660448208
26	1671.4749953618955
27	1664.4434267022198
28	1664.2778076390357
29	1685.2475905989888
30	1709.800077791411
31	1710.263480804315
32	1656.2732574905172
33	1670.9774949160326
34	1675.5789585171715
35	1669.4828323995232
36	1675.7919546089279
37	1668.7563902801362
38	1679.1283250982397
39	1666.2505727614027
40	1670.7827669620617
41	1655.5186400458742
42	1650.8362288166345
43	1665.617914635991
44	1657.901693587671
45	1648.9580961171673
46	1643.6743705687672
47	1652.5618808182248
48	1644.1895033472274
49	1656.7595988691291
50	1654.662835798626
51	1654.7515751632588
52	1651.7403884285416
53	1662.7141696884075
54	1653.3190779786598
55	1644.893491046872
56	1651.2716696899722
57	1647.667598577072
58	1651.1958087185237
59	1654.786866277968
60	1642.0608316678306
61	1641.7935086166356
62	1654.3110334606322
63	1649.5814966479045
64	1640.834270254528
65	1643.0944838347093
66	1643.1486324354291
67	1646.5241396857823
68	1642.2236297403324
69	1650.2417102295826
70	1650.4942088138819
71	1641.0659766450776
72	1647.0745573045951
73	1646.195207023734
74	1639.3316145400806
75	1645.5950168599245
76	1647.31722900896
77	1644.2393189836775
78	1652.592427956083
79	1643.5424430608534
80	1642.1413155834157
81	1646.9735368257784
82	1647.3079877650773
83	1638.7169048754067
84	1633.811376068547
85	1641.8599476834574
86	1640.951610133336
87	1645.8117758646013
88	1640.892515443882
89	1645.644648005237
90	1652.2681986096986
91	1653.175689372646
92	1643.1785258295695
93	1643.7498410095695
94	1656.1322469922145
95	1661.8993358589842
96	1646.8906825053928
97	1647.534233595177
98	1650.3491853585633
99	1657.9291160170512
100	1651.0164754336308
101	1659.3067816692223
