Frame	Rad[P3-COM]
1	11.795590283937106
2	11.815786624360953
3	11.873252575429731
4	11.821343731472822
5	11.811043120603255
6	11.831809552506225
7	11.880896337325774
8	11.847298244421143
9	11.822437391559479
10	11.84944548813443
11	11.821637927973837
12	11.785318360834525
13	11.839969004076298
14	11.772536369850313
15	11.825073318264401
16	11.826955529719053
17	11.847153337634078
18	11.822750581225595
19	11.834450034442346
20	11.88302855874077
21	11.841065905054188
22	11.81070092355461
23	11.878346628604621
24	11.912185721628706
25	11.880372631010996
26	11.987195041978335
27	11.887258545077264
28	11.829131198728891
29	11.856267813064752
30	11.846103912306614
31	11.847023144195648
32	12.009840235975606
33	11.92165217791344
34	11.926156675501804
35	12.00897271178058
36	12.013163581133732
37	11.939038398839163
38	11.892785355496747
39	11.79138353249565
40	11.852845813081553
41	11.808740580640217
42	11.841377757178064
43	11.921362901601007
44	11.78561910453358
45	11.825253087672175
46	11.837626419123755
47	11.858963755870638
48	11.935942481709915
49	11.828488187847094
50	11.806696772490803
51	11.784870588035952
52	11.810915881264016
53	11.873762503073273
54	11.812729031062966
55	11.824262455528533
56	11.843765104776178
57	11.837327682985087
58	11.90226858598366
59	11.94183447848586
60	11.914786852069502
61	11.790898800856061
62	11.757120548494253
63	11.896138640682064
64	12.014746172912213
65	12.005350909370975
66	12.033052725536276
67	11.969174627781705
68	12.044823474638358
69	12.02154641745324
70	12.018789481065397
71	11.993718944282348
72	11.973222427656356
73	12.000480064077328
74	11.990505738794322
75	11.937268155724945
76	12.023429754478471
77	12.003128543546865
78	12.007881436853827
79	11.955357663940292
80	12.04745702772511
81	12.05061147445309
82	12.123136092470231
83	12.173497091147041
84	12.013919502739453
85	12.024532164221435
86	12.042773840245225
87	12.0248584779902
88	11.983795612055324
89	12.025358515237624
90	12.291141838582442
91	12.027036517958846
92	12.06166086338251
93	12.120476929049497
94	12.060819654220246
95	12.226071406628833
96	12.230704126331524
97	12.196620610346336
98	12.117881933596749
99	12.32821366296027
100	12.1401031094515
101	12.296584478105531
