Frame	ROG of Dendrons [ALL BEADS]
1	1.3003860409645391
2	1.3145273862463
3	1.2915236612211205
4	1.306852551790207
5	1.2907192877060487
6	1.3062168461925678
7	1.2893630698161238
8	1.2955608997475734
9	1.2916154178593737
10	1.2694067806810174
11	1.291044753521687
12	1.3004432116524163
13	1.2926220630348357
14	1.281191057801251
15	1.2911697808464464
16	1.2974473956900408
17	1.2865725297198087
18	1.3063163074405968
19	1.2949498746352222
20	1.2919205261881155
21	1.3030381705081207
22	1.2933682165519704
23	1.2913065352474415
24	1.289930995767866
25	1.2792056659099464
26	1.28458575452402
27	1.2829383567303039
28	1.2880313041887603
29	1.303958654516587
30	1.2955755957239459
31	1.3046085641352756
32	1.2969501925721987
33	1.3095216396143483
34	1.2959975730160604
35	1.2998871312411193
36	1.2852234797608943
37	1.2953233129358943
38	1.3037961758101142
39	1.291700835178439
40	1.3001206306294122
41	1.2940210854814296
42	1.3007230371019793
43	1.3012676790583997
44	1.3068965980693605
45	1.3140489938502486
46	1.300164545755867
47	1.303177660188357
48	1.305505315950739
49	1.281180165322106
50	1.2998536598477175
51	1.312447328529875
52	1.3093850686059123
53	1.29728778314953
54	1.292329851099376
55	1.2895410949270905
56	1.2901330423101767
57	1.3049373031856806
58	1.2924900789438345
59	1.2947601824882629
60	1.2970075160944006
61	1.2948080686741568
62	1.2960330356809402
63	1.3024734128914635
64	1.2909345158282708
65	1.2947169400665408
66	1.2940513375116585
67	1.296739448059593
68	1.2876193426859452
69	1.301282131469606
70	1.3010816435584691
71	1.3024551828811965
72	1.3221872221301953
73	1.3281840279666317
74	1.2870722435286612
75	1.2893993852962864
76	1.2810751767578106
77	1.2887305058760774
78	1.3090455714196139
79	1.3017914456176978
80	1.2917745868881916
81	1.308916020991309
82	1.3039316395948801
83	1.2955354061980084
84	1.2968056956713068
85	1.2865899126488205
86	1.3006829591969553
87	1.2924292620343318
88	1.2875147957763005
89	1.2780434822259572
90	1.2741277226450907
91	1.291584869896561
92	1.2806487899564216
93	1.2952965246814694
94	1.3015197302887318
95	1.2905868343338955
96	1.298621867838992
97	1.288224804605497
98	1.2967327977559702
99	1.2838214342641425
100	1.3079038866891977
101	1.2926837286610011
