Frame	DPPC (polar heads)-DEN (All head beads)
1	0.5210374639769453
2	0.5483036227717079
3	0.5023068050749712
4	0.5309069901790873
5	0.5196531791907515
6	0.5243196294151709
7	0.4901677270098323
8	0.506362058993638
9	0.5280508964719491
10	0.5121527777777778
11	0.5361271676300579
12	0.5412817551963048
13	0.5236720554272517
14	0.5407514450867053
15	0.5185185185185185
16	0.5324074074074074
17	0.5052083333333334
18	0.5321180555555556
19	0.53125
20	0.49045691150954307
21	0.5057736720554272
22	0.5112912565141865
23	0.5141782407407407
24	0.4780727062896711
25	0.4982658959537572
26	0.48876080691642654
27	0.5092325447201385
28	0.5092165898617511
29	0.5008635578583766
30	0.5043302540415704
31	0.515877598152425
32	0.5311059907834101
33	0.523342939481268
34	0.5025906735751295
35	0.5259365994236311
36	0.5177956371986223
37	0.5209890741805635
38	0.5457422324510932
39	0.5261945883707542
40	0.5193083573487032
41	0.5325273459988485
42	0.527889591719379
43	0.5376436781609195
44	0.5598044853364003
45	0.5413318025258324
46	0.5333333333333333
47	0.5238231917336394
48	0.5289398280802292
49	0.5301550832854681
50	0.5425776754890679
51	0.5475778546712803
52	0.5461361014994233
53	0.5127094165222414
54	0.5357348703170028
55	0.5345423143350605
56	0.5100459242250287
57	0.5269804822043628
58	0.5389461626575028
59	0.5074712643678161
60	0.5137535816618911
61	0.5318599311136625
62	0.5400916380297823
63	0.5400916380297823
64	0.5068649885583524
65	0.5168860904407556
66	0.5145881006864989
67	0.49227688787185353
68	0.520355504587156
69	0.5131578947368421
70	0.5160274756725816
71	0.5143020594965675
72	0.53
73	0.5334668192219679
74	0.5171821305841925
75	0.5297653119633657
76	0.5005727376861397
77	0.5148826559816829
78	0.5177650429799427
79	0.5146215596330275
80	0.503434459072696
81	0.5082904516866781
82	0.5154373927958834
83	0.5128792215226102
84	0.5194730813287515
85	0.5094718714121699
86	0.5025787965616045
87	0.5103033772180882
88	0.528269560251285
89	0.5074413279908414
90	0.4988577955454026
91	0.5185608223872074
92	0.48654836863194045
93	0.5308571428571428
94	0.508280982295831
95	0.4945838084378563
96	0.5099771949828963
97	0.4897435897435897
98	0.5133598635588402
99	0.51875
100	0.5210346787947697
101	0.5167899829254411
