Frame	ROG of Dendrons [TA]
1	1.6069593214579565
2	1.6329400382056691
3	1.5940073652571634
4	1.6239141982405771
5	1.600585572936767
6	1.6160322976335564
7	1.5948177805654724
8	1.607653049319491
9	1.5856001774706492
10	1.5614758401200266
11	1.586655841466891
12	1.610555646685813
13	1.602744867818146
14	1.5939382377507216
15	1.5861289828192286
16	1.6116316383161438
17	1.5756325079765263
18	1.6116788093174594
19	1.6046752590742224
20	1.597929985907557
21	1.616937388268527
22	1.6073876489605647
23	1.5957929765718093
24	1.5870220621852777
25	1.5744438854829814
26	1.5784434124530193
27	1.5790960616563952
28	1.590049326049944
29	1.6177143333709263
30	1.5930221348210793
31	1.620756476907996
32	1.6094700443736232
33	1.624923074798551
34	1.6007352374237112
35	1.6056747271291945
36	1.5942346451335407
37	1.6027495676719017
38	1.6191978380461576
39	1.593299956369242
40	1.6070484545425299
41	1.6023767601983707
42	1.6127773849440636
43	1.619328190090192
44	1.6217003010489677
45	1.6336493172774647
46	1.6070066449704394
47	1.611102864547251
48	1.6201312732896933
49	1.5818970691535519
50	1.607210110911868
51	1.6187553318353343
52	1.6291628247749834
53	1.602808864969281
54	1.595304819222697
55	1.5884112826699543
56	1.5944603904128276
57	1.618869341784862
58	1.59737073835546
59	1.6070624137255747
60	1.6044539287255979
61	1.6015487553677474
62	1.6009209255381234
63	1.6152259888237206
64	1.5894567295998663
65	1.5972310874418922
66	1.602719594105696
67	1.6039125766328421
68	1.5912016255995711
69	1.6008493306449876
70	1.6056430881457247
71	1.6121519012139178
72	1.6429269802240112
73	1.646386453565928
74	1.589726344202923
75	1.5885313780303072
76	1.5839373918311366
77	1.5806814644085936
78	1.624758312007343
79	1.6219018293085445
80	1.6018667937417082
81	1.620775232248966
82	1.6234517025846016
83	1.6102688944234396
84	1.6124270241602803
85	1.5793614023489324
86	1.6051214030123262
87	1.602287642334937
88	1.5823842631339171
89	1.5820973748198526
90	1.5703178881352657
91	1.5978836412836817
92	1.5824665520686794
93	1.5991492367336542
94	1.6069917876217734
95	1.5981609667090515
96	1.6164550913221771
97	1.5965667978397535
98	1.6023771568488052
99	1.5826741408328664
100	1.6219189325038728
101	1.5915779342671117
