Frame	DPPC (polar heads)-TA
1	0.36023054755043227
2	0.3734905117883841
3	0.3370818915801615
4	0.38128249566724437
5	0.3624277456647399
6	0.35379270411117547
7	0.34268363215731634
8	0.3568536726431463
9	0.38114517061885483
10	0.3498263888888889
11	0.3838150289017341
12	0.3778868360277136
13	0.3796189376443418
14	0.38439306358381503
15	0.37037037037037035
16	0.3802083333333333
17	0.3263888888888889
18	0.37471064814814814
19	0.3660300925925926
20	0.33718912666281087
21	0.3394919168591224
22	0.3590040532715692
23	0.3587962962962963
24	0.3015002885170225
25	0.33497109826589594
26	0.3331412103746398
27	0.33727639930755915
28	0.36376728110599077
29	0.35204375359815776
30	0.3568129330254042
31	0.35825635103926096
32	0.3873847926267281
33	0.37809798270893374
34	0.34110535405872194
35	0.3622478386167147
36	0.3722732491389208
37	0.35652673950546293
38	0.404487917146145
39	0.3704663212435233
40	0.3659942363112392
41	0.37305699481865284
42	0.36486486486486486
43	0.3816091954022989
44	0.39907993099482464
45	0.39035591274397247
46	0.3568965517241379
47	0.351894374282434
48	0.3687679083094556
49	0.38024124066628373
50	0.3941311852704258
51	0.3685121107266436
52	0.37773933102652824
53	0.3694396302715193
54	0.3755043227665706
55	0.35521013241220495
56	0.3467278989667049
57	0.3622273249138921
58	0.3642611683848797
59	0.357183908045977
60	0.35816618911174786
61	0.37370838117106775
62	0.37371134020618557
63	0.40148911798396336
64	0.35526315789473684
65	0.3566113337149399
66	0.3695652173913043
67	0.32294050343249425
68	0.36410550458715596
69	0.3403890160183066
70	0.35002862049227246
71	0.3423913043478261
72	0.36514285714285716
73	0.37013729977116705
74	0.35738831615120276
75	0.3649112764739553
76	0.34077892325315007
77	0.34516313680595306
78	0.3656160458452722
79	0.35865825688073394
80	0.35088723526044646
81	0.36106346483704976
82	0.3699256718124643
83	0.3732112192329708
84	0.3699885452462772
85	0.3510332950631458
86	0.34555873925501435
87	0.34716657126502576
88	0.3540833809251856
89	0.3697767601602748
90	0.3512278697886922
91	0.34665905197030267
92	0.3305666857469948
93	0.362
94	0.34580239862935463
95	0.33409350057012543
96	0.3543329532497149
97	0.3378917378917379
98	0.3496304718590108
99	0.3553977272727273
100	0.3504832291074474
101	0.35401252134319866
