Frame	ROG of Dendrons [P3]
1	1.1752602673682024
2	1.1881363697270233
3	1.1665999847418373
4	1.1820544031818792
5	1.164861758428043
6	1.181609369270927
7	1.1646989358740507
8	1.168825143592306
9	1.1711713522515916
10	1.1442288747667175
11	1.1680085445494897
12	1.1763847453146652
13	1.168404950430465
14	1.1527874017282684
15	1.1715258792488488
16	1.1715942847885346
17	1.16271226638803
18	1.184108865462289
19	1.1686986672255677
20	1.1655401728142274
21	1.1773620860792837
22	1.1692891563377734
23	1.16590141377456
24	1.1670058128424634
25	1.153386340461878
26	1.1619284522010023
27	1.1588333704511249
28	1.1631379123497096
29	1.1773264556461935
30	1.1731427739077882
31	1.1793757865414154
32	1.173143861157705
33	1.1855495698836245
34	1.17100158048944
35	1.1734894671628877
36	1.156731466168141
37	1.170296581268992
38	1.1781649842242705
39	1.1670631019009943
40	1.1723860709344558
41	1.1665845469917604
42	1.1736283443661133
43	1.1732957159995403
44	1.1819091495584417
45	1.187556208830162
46	1.1756780829310554
47	1.1788764106520544
48	1.1801558428170356
49	1.1574062821282416
50	1.1775171256366335
51	1.1856972465130002
52	1.180560435707059
53	1.1710987680572305
54	1.1682405343354543
55	1.1652192043177818
56	1.1649121756911154
57	1.1777460168758316
58	1.168403982953681
59	1.1698065963439301
60	1.1711831179496117
61	1.167851713934477
62	1.170415904803641
63	1.1788392212656251
64	1.1661469027529119
65	1.1711448050664583
66	1.1698953833916346
67	1.1718772294606647
68	1.1627284333535985
69	1.1753122586809757
70	1.1785852742811405
71	1.1773311879735837
72	1.1948359588029434
73	1.2029122285420952
74	1.1595003085506839
75	1.162200792555216
76	1.1557362739566808
77	1.1651957175991388
78	1.181218857246372
79	1.1726913822601523
80	1.1659055156998295
81	1.1808083872164024
82	1.1759151590729382
83	1.171209653683371
84	1.1700326863898873
85	1.165281495955811
86	1.1776265326402833
87	1.164238093383958
88	1.1638087570445623
89	1.151484782527016
90	1.1502794402691592
91	1.166642701087903
92	1.155726620127094
93	1.1692608152544697
94	1.1774790840444234
95	1.1637445781050877
96	1.1720023047741743
97	1.1628895850072676
98	1.1724046310839078
99	1.1605275912881614
100	1.1812950473805388
101	1.1689055006130682
