Frame	Rad[Qd-COM]
1	12.159344719328109
2	12.15766155577325
3	12.21520262486433
4	12.13126922722418
5	12.15776803065429
6	12.182344606846728
7	12.209158561567367
8	12.1911059138919
9	12.151457047472451
10	12.212682022552666
11	12.146110082268672
12	12.111676211380956
13	12.165344938356313
14	12.11431377087327
15	12.143708049013453
16	12.154441584839336
17	12.238367882080379
18	12.158322409352387
19	12.185818091967743
20	12.215571507126494
21	12.183017258130288
22	12.139255587592668
23	12.21528175339456
24	12.266972663019677
25	12.248460373445663
26	12.331129921919837
27	12.238898089776635
28	12.165848242973746
29	12.195110559958342
30	12.185038608418603
31	12.162849149239177
32	12.329606234893545
33	12.243223053244652
34	12.26133048400205
35	12.37023336138591
36	12.339559383839845
37	12.286200638207905
38	12.188999393031734
39	12.132060221240323
40	12.202019601819412
41	12.161884612367261
42	12.193346842684507
43	12.258338785147709
44	12.119427919143233
45	12.154099877433119
46	12.18235456966889
47	12.205623313025965
48	12.269183600571264
49	12.161047673828532
50	12.142333610221108
51	12.13238023744709
52	12.159407913223758
53	12.203004318763348
54	12.163584060004725
55	12.17627657886051
56	12.173526277868653
57	12.180578682893188
58	12.239284580400392
59	12.274998781806476
60	12.253991653004562
61	12.145294274959543
62	12.109754858582981
63	12.216650294585355
64	12.364557528740276
65	12.363707161378938
66	12.353362447514987
67	12.31087728870867
68	12.402578662428304
69	12.401996995106334
70	12.36415102912783
71	12.34013430239354
72	12.324567665044846
73	12.350070445172012
74	12.345594330991988
75	12.301259438176066
76	12.375994247084591
77	12.361652813997427
78	12.347497391473697
79	12.285330679001897
80	12.387377975405037
81	12.400915289356393
82	12.456407097962565
83	12.469264587370652
84	12.350705849703989
85	12.34594010395991
86	12.387494227329894
87	12.381480194042327
88	12.346104676064199
89	12.354950719688762
90	12.622714015851937
91	12.362777054596373
92	12.397034155012808
93	12.470292439652063
94	12.406048763456495
95	12.551979662501514
96	12.557447207845398
97	12.52085255118451
98	12.449589376223102
99	12.637313166201837
100	12.479216006515042
101	12.622765600488618
