Frame	Rad[PO4-COM]
1	10.843880949545818
2	10.866759753762867
3	10.845151493524122
4	10.83171430063735
5	10.825305920958273
6	10.824045972337847
7	10.815084481881385
8	10.818426307827917
9	10.815043759773495
10	10.812042481018276
11	10.83152848056054
12	10.836068719446853
13	10.840131353167706
14	10.826231773389871
15	10.816505196337577
16	10.822601574155621
17	10.813864406137318
18	10.818918679223131
19	10.811049518228266
20	10.822355329605054
21	10.844213109839027
22	10.82016137726792
23	10.82617550462857
24	10.840278181895798
25	10.829351226643777
26	10.861072487525213
27	10.837555844470499
28	10.851482406920233
29	10.85711028537354
30	10.834098932055312
31	10.829119725962068
32	10.858809559522607
33	10.846368692122166
34	10.847758856761812
35	10.855200698048924
36	10.88829680279131
37	10.874127825309465
38	10.865598747021028
39	10.854770532478643
40	10.850377051093295
41	10.863997615313897
42	10.869464102744411
43	10.86900728206775
44	10.875353527946086
45	10.895592999515383
46	10.877092908497836
47	10.886857862502355
48	10.894088319774491
49	10.876006994810885
50	10.86871862912665
51	10.846781267840738
52	10.838326648754148
53	10.829297998101515
54	10.852591570515514
55	10.86404940558598
56	10.871323709156156
57	10.888658625935468
58	10.908708617025596
59	10.87476637211763
60	10.888339958568483
61	10.881355362518478
62	10.902748930581394
63	10.896327580044066
64	10.896282468035887
65	10.893277471756743
66	10.893045387662594
67	10.912654045277408
68	10.892631822575693
69	10.902292339372243
70	10.894245878279518
71	10.898597257115176
72	10.900532699988231
73	10.899647195254532
74	10.88776169458136
75	10.894329515528796
76	10.89564657550986
77	10.894182506731015
78	10.886878343313235
79	10.882241277022526
80	10.898618777382843
81	10.902610402053647
82	10.919181603332854
83	10.908379742147437
84	10.898575280634317
85	10.878472111104758
86	10.898981367017404
87	10.893146290724884
88	10.920926419163932
89	10.898309754144481
90	10.9249484539898
91	10.91878283874362
92	10.900924936210563
93	10.916051891151742
94	10.909830685650759
95	10.92916286203064
96	10.920707374834116
97	10.925408692982646
98	10.948697817465934
99	10.954253238112605
100	10.949770550483471
101	10.955071757904767
