Fraction of interaction surface(A)       Tot surface area(B)                      A*B                                     
   0.521                                 1477.966                                  770.076                                
   0.548                                 1484.604                                  814.014                                
   0.502                                 1478.880                                  742.851                                
   0.531                                 1475.783                                  783.503                                
   0.520                                 1474.035                                  765.987                                
   0.524                                 1473.943                                  772.817                                
   0.490                                 1471.446                                  721.255                                
   0.506                                 1472.563                                  745.650                                
   0.528                                 1472.043                                  777.313                                
   0.512                                 1471.088                                  753.422                                
   0.536                                 1476.690                                  791.694                                
   0.541                                 1476.470                                  799.186                                
   0.524                                 1480.608                                  775.353                                
   0.541                                 1474.999                                  797.608                                
   0.519                                 1473.258                                  763.912                                
   0.532                                 1474.395                                  784.979                                
   0.505                                 1472.373                                  743.855                                
   0.532                                 1473.739                                  784.203                                
   0.531                                 1471.608                                  781.792                                
   0.490                                 1474.013                                  722.940                                
   0.506                                 1479.785                                  748.436                                
   0.511                                 1473.660                                  753.469                                
   0.514                                 1475.433                                  758.636                                
   0.478                                 1479.550                                  707.332                                
   0.498                                 1477.429                                  736.153                                
   0.489                                 1485.853                                  726.227                                
   0.509                                 1479.578                                  753.449                                
   0.509                                 1482.759                                  755.045                                
   0.501                                 1483.161                                  742.861                                
   0.504                                 1477.598                                  745.197                                
   0.516                                 1476.559                                  761.724                                
   0.531                                 1484.615                                  788.488                                
   0.523                                 1481.106                                  775.126                                
   0.503                                 1480.059                                  743.864                                
   0.526                                 1481.930                                  779.401                                
   0.518                                 1491.470                                  772.277                                
   0.521                                 1487.907                                  775.184                                
   0.546                                 1485.605                                  810.757                                
   0.526                                 1481.619                                  779.620                                
   0.519                                 1479.530                                  768.332                                
   0.533                                 1483.322                                  789.909                                
   0.528                                 1484.492                                  783.648                                
   0.538                                 1484.452                                  798.106                                
   0.560                                 1486.295                                  832.035                                
   0.541                                 1491.691                                  807.500                                
   0.533                                 1486.644                                  792.877                                
   0.524                                 1489.446                                  780.206                                
   0.529                                 1491.664                                  789.000                                
   0.530                                 1487.754                                  788.741                                
   0.543                                 1485.126                                  805.796                                
   0.548                                 1478.866                                  809.795                                
   0.546                                 1476.478                                  806.358                                
   0.513                                 1473.790                                  755.626                                
   0.536                                 1480.535                                  793.174                                
   0.535                                 1483.268                                  792.870                                
   0.510                                 1485.486                                  757.666                                
   0.527                                 1490.878                                  785.664                                
   0.539                                 1495.941                                  806.232                                
   0.507                                 1486.389                                  754.300                                
   0.514                                 1489.626                                  765.301                                
   0.532                                 1487.834                                  791.319                                
   0.540                                 1493.461                                  806.606                                
   0.540                                 1492.973                                  806.342                                
   0.507                                 1492.705                                  756.600                                
   0.517                                 1491.729                                  771.054                                
   0.515                                 1491.114                                  767.309                                
   0.492                                 1496.463                                  736.674                                
   0.520                                 1491.090                                  775.897                                
   0.513                                 1493.387                                  766.344                                
   0.516                                 1491.303                                  769.553                                
   0.514                                 1492.413                                  767.551                                
   0.530                                 1492.777                                  791.172                                
   0.533                                 1492.883                                  796.404                                
   0.517                                 1489.458                                  770.321                                
   0.530                                 1491.137                                  789.953                                
   0.501                                 1491.563                                  746.636                                
   0.515                                 1491.078                                  767.730                                
   0.518                                 1489.132                                  771.021                                
   0.515                                 1487.839                                  765.674                                
   0.503                                 1492.135                                  751.192                                
   0.508                                 1493.339                                  759.050                                
   0.515                                 1497.950                                  772.099                                
   0.513                                 1495.074                                  766.792                                
   0.519                                 1492.346                                  775.233                                
   0.509                                 1486.722                                  757.443                                
   0.503                                 1492.465                                  750.081                                
   0.510                                 1490.840                                  760.781                                
   0.528                                 1498.567                                  791.647                                
   0.507                                 1492.102                                  757.154                                
   0.499                                 1499.741                                  748.157                                
   0.519                                 1497.862                                  776.733                                
   0.487                                 1493.795                                  726.803                                
   0.531                                 1498.138                                  795.297                                
   0.508                                 1495.560                                  760.165                                
   0.495                                 1500.647                                  742.196                                
   0.510                                 1498.676                                  764.291                                
   0.490                                 1499.650                                  734.444                                
   0.513                                 1506.273                                  773.260                                
   0.519                                 1507.444                                  781.987                                
   0.521                                 1506.195                                  784.780                                
   0.517                                 1507.540                                  779.082                                
