Fraction of interaction surface(A)       Tot surface area(B)                      A*B                                     
   0.602                                 1489.450                                  897.015                                
   0.596                                 1487.440                                  886.641                                
   0.618                                 1482.734                                  916.885                                
   0.623                                 1481.343                                  922.560                                
   0.610                                 1485.888                                  905.726                                
   0.593                                 1480.763                                  878.598                                
   0.615                                 1474.481                                  907.473                                
   0.567                                 1481.154                                  839.350                                
   0.624                                 1477.327                                  922.343                                
   0.637                                 1473.333                                  937.855                                
   0.614                                 1485.716                                  912.615                                
   0.607                                 1469.976                                  892.485                                
   0.622                                 1465.956                                  911.966                                
   0.610                                 1467.795                                  894.710                                
   0.616                                 1465.885                                  903.222                                
   0.593                                 1467.637                                  870.312                                
   0.628                                 1465.888                                  921.303                                
   0.638                                 1463.737                                  934.393                                
   0.606                                 1465.613                                  888.685                                
   0.623                                 1468.239                                  914.712                                
   0.621                                 1470.067                                  913.131                                
   0.642                                 1469.390                                  944.048                                
   0.651                                 1468.206                                  956.335                                
   0.644                                 1474.508                                  949.580                                
   0.631                                 1469.324                                  927.467                                
   0.624                                 1481.967                                  924.590                                
   0.606                                 1476.826                                  894.650                                
   0.624                                 1476.708                                  921.525                                
   0.610                                 1480.965                                  904.011                                
   0.638                                 1474.587                                  940.519                                
   0.645                                 1474.311                                  950.761                                
   0.630                                 1474.487                                  928.203                                
   0.618                                 1474.560                                  910.707                                
   0.599                                 1477.295                                  884.198                                
   0.608                                 1477.116                                  897.693                                
   0.631                                 1481.818                                  934.894                                
   0.616                                 1475.897                                  908.815                                
   0.638                                 1483.619                                  945.896                                
   0.604                                 1470.914                                  888.750                                
   0.636                                 1471.890                                  936.499                                
   0.663                                 1467.514                                  973.130                                
   0.622                                 1469.500                                  914.520                                
   0.623                                 1470.377                                  915.830                                
   0.647                                 1464.750                                  948.009                                
   0.643                                 1464.535                                  941.363                                
   0.621                                 1461.994                                  908.221                                
   0.642                                 1465.465                                  940.347                                
   0.652                                 1460.584                                  952.799                                
   0.648                                 1466.174                                  949.928                                
   0.641                                 1462.485                                  937.690                                
   0.643                                 1462.799                                  939.937                                
   0.628                                 1461.876                                  918.225                                
   0.623                                 1463.601                                  912.471                                
   0.632                                 1461.289                                  924.241                                
   0.634                                 1460.004                                  926.258                                
   0.615                                 1462.580                                  899.248                                
   0.621                                 1462.014                                  908.444                                
   0.611                                 1462.703                                  893.681                                
   0.629                                 1460.464                                  919.070                                
   0.614                                 1460.480                                  896.223                                
   0.612                                 1460.171                                  893.434                                
   0.647                                 1459.918                                  943.965                                
   0.617                                 1459.809                                  900.577                                
   0.617                                 1460.700                                  901.126                                
   0.593                                 1461.560                                  867.395                                
   0.610                                 1460.448                                  891.436                                
   0.637                                 1460.336                                  930.802                                
   0.622                                 1458.026                                  906.493                                
   0.640                                 1460.529                                  934.392                                
   0.645                                 1460.343                                  942.199                                
   0.610                                 1459.674                                  890.531                                
   0.610                                 1460.885                                  890.836                                
   0.596                                 1460.148                                  870.023                                
   0.597                                 1462.415                                  872.676                                
   0.593                                 1461.721                                  867.381                                
   0.623                                 1457.837                                  907.579                                
   0.606                                 1459.332                                  884.628                                
   0.603                                 1460.713                                  881.120                                
   0.623                                 1459.184                                  908.950                                
   0.624                                 1458.125                                  909.489                                
   0.622                                 1459.623                                  907.825                                
   0.609                                 1460.542                                  889.950                                
   0.594                                 1457.275                                  866.149                                
   0.603                                 1460.849                                  880.678                                
   0.608                                 1457.202                                  886.371                                
   0.632                                 1456.137                                  920.780                                
   0.604                                 1458.939                                  880.812                                
   0.609                                 1459.648                                  889.027                                
   0.614                                 1462.739                                  898.280                                
   0.625                                 1458.242                                  911.726                                
   0.647                                 1462.350                                  945.410                                
   0.634                                 1458.337                                  925.084                                
   0.634                                 1461.975                                  927.392                                
   0.634                                 1462.831                                  927.617                                
   0.631                                 1464.039                                  923.377                                
   0.636                                 1459.670                                  928.527                                
   0.616                                 1464.208                                  901.585                                
   0.644                                 1467.827                                  944.718                                
   0.629                                 1469.411                                  924.027                                
   0.645                                 1463.679                                  944.715                                
   0.631                                 1465.353                                  924.733                                
