Frame	Rad[N0-COM]
1	11.864833489311314
2	11.778471330886518
3	11.804432663459671
4	11.805766726320641
5	11.747154013574004
6	11.737588878238602
7	11.78456892161223
8	11.79558744655051
9	11.80731415377343
10	11.730797226853623
11	11.788712014608679
12	11.869999573236647
13	11.885187881398787
14	11.892420613412673
15	11.766723398717668
16	11.823249332586167
17	11.875969834042946
18	11.781980980209092
19	11.894140041793026
20	12.027667485068022
21	11.908787387894996
22	11.94034932213484
23	11.888170853613989
24	12.086642245839935
25	12.074304455689816
26	11.952333213811883
27	11.887472720494104
28	12.044924565272007
29	11.84358406033192
30	11.756719507315541
31	11.758605568397629
32	11.703317391159304
33	11.731745923430886
34	11.848758756820832
35	11.900575219135758
36	11.99801360339989
37	11.889722788879126
38	11.786065509900533
39	11.740428887376437
40	11.756703463275285
41	11.803605601196297
42	11.773793642004689
43	11.738677867746762
44	11.770276651249112
45	11.862683905865905
46	11.819571979045604
47	11.72090999018359
48	11.6995258751671
49	11.778148401815377
50	11.796213729925917
51	11.728780808585467
52	11.755946347722695
53	11.736623450913413
54	11.755988930740637
55	11.743926486267341
56	11.694862184430981
57	11.733625396713036
58	11.75204318494256
59	11.698736400088261
60	11.756864666329458
61	11.731680584672745
62	11.789210056867338
63	11.761740390397131
64	11.729188545133804
65	11.73040798478972
66	11.734851785827678
67	11.701727019467661
68	11.725314072446492
69	11.73401479304324
70	11.699584567269634
71	11.761639909629405
72	11.756924308670136
73	11.751877809465034
74	11.723342916964134
75	11.7332200866902
76	11.742921049539225
77	11.753835087928582
78	11.715691692379425
79	11.68788442799732
80	11.724073032545936
81	11.721460490689482
82	11.733869299294307
83	11.793798231574929
84	11.744939010022335
85	11.742661358457067
86	11.729508257301765
87	11.738613076802967
88	11.732664618920126
89	11.738195927643764
90	11.716208538300485
91	11.686249692727081
92	11.714575421249274
93	11.705890475179798
94	11.76761884648708
95	11.738967512126015
96	11.73739091328655
97	11.761496751798596
98	11.812452374489672
99	11.840105962581092
100	11.828673158588266
101	11.80666323428604
