Frame	ROG of Dendrons [TA]
1	1.5863875322696799
2	1.5766229872607447
3	1.5865489440107656
4	1.599886977435152
5	1.5931568037832122
6	1.5875310300767356
7	1.5920159894929409
8	1.568102175267483
9	1.5956204016922035
10	1.6181662767203162
11	1.6044454281556677
12	1.607468083219072
13	1.6056141280535516
14	1.5976575341627306
15	1.6077551328023183
16	1.6037522046360018
17	1.5817868705187406
18	1.5797399725490529
19	1.5954312744318817
20	1.626236722164433
21	1.5892883800475262
22	1.5762515766610241
23	1.6123540139337809
24	1.6068050512744743
25	1.592960202539152
26	1.5909538968806054
27	1.6010500763178417
28	1.9218338371001433
29	1.5977384831508477
30	1.6008175171870433
31	1.592676005493073
32	1.5862905601909072
33	1.5722943072343618
34	1.7366226201680655
35	1.6011960495376998
36	1.777801169748032
37	1.5888742602671095
38	1.6214158090716222
39	1.6040967016361045
40	1.597085316655782
41	1.587463496359256
42	1.5793172324433133
43	1.5958867810891972
44	1.6176901948679114
45	1.5861478613238784
46	1.6078089467390393
47	1.6064556128894978
48	1.6152974385702836
49	1.6336472205552395
50	1.6455462970724297
51	1.6379826817892065
52	1.6167435767467824
53	1.603783999465774
54	1.6074150264671374
55	1.624540591838501
56	1.6151637487082786
57	1.6186335464368755
58	1.6020752073233002
59	1.6343389573134839
60	1.6010634738834155
61	1.6252025525270357
62	1.6123005494455391
63	1.5894355999767398
64	1.6097485060518673
65	1.5707309965887943
66	1.568410088250347
67	1.6170889188372866
68	1.5926684065961016
69	1.605775762104185
70	1.5792810375343036
71	1.6268044864473856
72	1.575911083497611
73	1.5806601210577478
74	1.6223408024765118
75	1.6262000693275083
76	1.5903989208933005
77	1.6226771222177825
78	1.621941630315404
79	1.5932652850165676
80	1.6218958840162012
81	1.6155159416423874
82	1.5983665000579503
83	1.588130972793959
84	1.6213359244349137
85	1.5947186622405318
86	1.5939492834194677
87	1.587966439795134
88	1.6077676060316048
89	1.6314912930766279
90	1.5898840045298808
91	1.606036516549707
92	1.6069153090726318
93	1.6140842205649872
94	1.6182024743925705
95	1.587781780216142
96	1.5793535401366374
97	1.5909977692736819
98	1.600538785785799
99	1.5905330477580701
100	1.6158701690087776
101	1.5928545691562912
