Frame	ROG of Dendrons [P3]
1	1.1649672743338968
2	1.147779442993391
3	1.1609073476058251
4	1.1660292683128537
5	1.1689165070842495
6	1.1647024677606292
7	1.1664110116117845
8	1.145967632090621
9	1.1656870291447587
10	1.1778572362668362
11	1.170052352054235
12	1.1711405204319771
13	1.1735755041083304
14	1.1742984070758244
15	1.1804819611294186
16	1.1642606162672542
17	1.1571336391645497
18	1.1662988011744537
19	1.1694990678341244
20	1.1766084655939397
21	1.1554211515191697
22	1.1497408331173282
23	1.174224908838854
24	1.1689451389514398
25	1.158024411531574
26	1.1646064034173196
27	1.1619865297220928
28	1.4466124955562647
29	1.175783193372069
30	1.1672189766341774
31	1.1560040144091832
32	1.1509773477915775
33	1.1494042613180577
34	1.1627994235361236
35	1.1685145543484374
36	1.2711915813288592
37	1.1564148728900792
38	1.186601696565629
39	1.171677614632298
40	1.1535854596022155
41	1.1601706731754278
42	1.1538148032330198
43	1.169505339233214
44	1.1731216093902683
45	1.1643334665148461
46	1.1734180061691502
47	1.182450874701856
48	1.1808600312400257
49	1.1886897364138078
50	1.2021101012352633
51	1.1893099287193312
52	1.1755854095121858
53	1.1762134204937036
54	1.171974266325404
55	1.180449559123517
56	1.180024264596478
57	1.1775102068817072
58	1.1711592244785178
59	1.1898901618411644
60	1.169484913434303
61	1.183860327876992
62	1.1806244446877767
63	1.1663676091951471
64	1.1752514545348731
65	1.1473810241118303
66	1.1588093969424822
67	1.1837125401194697
68	1.167899244042068
69	1.1756510362817265
70	1.1459670090405178
71	1.1851689968287586
72	1.1626029971666145
73	1.1581696603624547
74	1.1725025680296306
75	1.1823535279803277
76	1.1671856524867719
77	1.1803511897159338
78	1.1902360096161697
79	1.165424781221465
80	1.1818317316699893
81	1.1730543243067966
82	1.169390665062087
83	1.162907437064561
84	1.188143546430728
85	1.1717181518263435
86	1.170756789106417
87	1.1648485976752143
88	1.1746625757686007
89	1.1927171824527583
90	1.160984985354848
91	1.179987094837435
92	1.172027863718104
93	1.1806940511439552
94	1.1799062465046632
95	1.1617930264864267
96	1.1559441741196212
97	1.1717360080713601
98	1.1614723235664157
99	1.1648303771460147
100	1.182040846441083
101	1.1613977982166004
