Frame	DIST P3 from grafting point [nm]
1	0.48404132055021853
2	1.2480516816221998
3	1.1349171775949105
4	2.005218691315239
5	1.8563908532418476
6	1.9552871911818999
7	1.718721327033561
8	2.7271061585497565
9	2.1403431967794333
10	1.8260739305953606
11	2.1647584160824964
12	2.520639006283924
13	2.754920870006978
14	2.470210314932721
15	1.7962168577318303
16	0.5193553696651269
17	1.3593873620127561
18	1.2207661528728584
19	1.8424076639006908
20	2.15122430257749
21	1.6185675765935756
22	1.9694291050961972
23	2.065748532614751
24	2.3058382423752084
25	2.6068406165318194
26	2.554802732110643
27	1.2997284331736365
28	1.5547427439933583
29	2.498673247945799
30	2.6313156405114158
31	0.5096116168220706
32	1.3028530231764466
33	1.1800008474573258
34	2.0613602305274057
35	1.9281542988049518
36	1.6618778535139125
37	1.77470138333186
38	2.314197052975395
39	2.405505352311652
40	2.461498324191997
41	2.7089084517569075
42	1.5891727407679799
43	1.6516491758239749
44	2.5074373372030703
45	2.04493667383614
46	0.5010249494785671
47	1.4265773725949815
48	1.0998231676046837
49	2.189554520901457
50	2.2270083071241564
51	1.8132225456352578
52	1.9187219704793086
53	2.613248170381069
54	2.985774941284089
55	2.8041613719613214
56	2.764531063308931
57	2.110505389711194
58	2.328950622061361
59	2.415667609585392
60	2.7262971224721633
61	0.47390505378186976
62	1.1637443877415692
63	1.18383824908642
64	1.488649387868075
65	1.8181757340807294
66	1.9793294319036399
67	1.9608044267595877
68	2.20384709088448
69	1.909189618660232
70	2.4320020559201816
71	2.165181054785022
72	2.6287818471679967
73	2.3681604675359242
74	2.6807888764317096
75	2.500004399996127
76	0.4762383856851509
77	1.2265467785616655
78	1.2616762659256104
79	2.049029282367628
80	1.793374751690232
81	1.6421513328557762
82	1.929317755062653
83	2.0530304430280624
84	2.359865038513854
85	2.328213478184509
86	2.345894498906548
87	2.012956035287406
88	2.1929525758666064
89	2.5848359715850444
90	2.1912815884773904
91	0.502762369315764
92	1.2293648766741285
93	1.2806767742096357
94	2.0886859505440256
95	1.7758048879311032
96	2.008253221085427
97	1.5257830776358743
98	2.606158475611181
99	2.9001684433839334
100	1.5962574980246782
101	1.525600537493349
102	2.6727399798708413
103	2.04168288428933
104	2.0145533003621403
105	2.278240110260547
106	0.45465701358276805
107	1.318637554447772
108	1.225729578659178
109	1.8509594809179353
110	2.0848618659278157
111	1.8537513317594714
112	1.979590614243261
113	1.7641034550161723
114	2.362082344034601
115	2.526894536778299
116	2.727975073199901
117	1.556804740486104
118	2.0315735280811325
119	2.3682499868046047
120	2.5435121387561725
121	0.5269886146777776
122	1.2600055555433114
123	1.3658367398777949
124	2.0734536406681516
125	1.533897649779802
126	1.9553385896053945
127	1.4855224670128686
128	2.8822692448832767
129	2.352989800232886
130	1.8073782116646238
131	1.2635022754233576
132	1.947963295342088
133	2.5970263764544264
134	1.144049387045856
135	1.678638138492035
136	0.49075248343742184
137	1.2609480560276811
138	1.3702266235918747
139	2.064541111239975
