Frame	ROG of Dendrons [N0]
1	1.005290307148474
2	0.9856116670726933
3	0.9987231912761368
4	0.9997340986642212
5	1.007420002884642
6	1.0039614919965327
7	1.0042240572886951
8	0.9792918590215374
9	1.003090455733356
10	1.0113367302784197
11	1.0087225081811755
12	1.0046667737686763
13	1.0110261033912775
14	1.0112274094698508
15	1.0159034380397478
16	1.0031334331743897
17	0.9927632997260206
18	1.003741652449252
19	1.0037056339706794
20	1.0047768184944315
21	0.9828636853932458
22	0.986514039397905
23	1.0025349270756443
24	1.0011882060228865
25	0.9930154049320338
26	1.003016512983932
27	0.9946573780295045
28	1.3091024987139976
29	1.0115350455188405
30	1.002305007589733
31	0.9891863988104449
32	0.9875550222466226
33	0.9929582053200916
34	1.0006263251558143
35	1.0060975235675869
36	1.006245193513815
37	0.9941875045685824
38	1.0207052613582608
39	1.0060571394714892
40	0.9883081415733926
41	0.9915226028324586
42	0.9905486113467131
43	1.0048131042063186
44	1.0033162316068294
45	0.9992016708300526
46	1.0052264839553202
47	1.0184230634769353
48	1.0198298041872753
49	1.0210895317248174
50	1.0395976868803127
51	1.0205849271692473
52	1.0071414554220062
53	1.0099609306541202
54	1.0080415578654798
55	1.0159527201986573
56	1.0169951818609817
57	1.0109453138856819
58	1.010626062919298
59	1.0206935203648348
60	1.008403408802349
61	1.0196343122010902
62	1.0119851623142049
63	1.0051814982205296
64	1.008589197974277
65	0.9863664182081822
66	1.0019233291325718
67	1.018178924847414
68	1.003153015577563
69	1.0127726737455538
70	0.9805664974793198
71	1.0203823721292635
72	1.002211684612548
73	0.993371685734784
74	1.0045157950211154
75	1.0154183128045884
76	1.002811386236085
77	1.017009103418459
78	1.030042371285373
79	1.003927066304167
80	1.0152530260670096
81	1.00419106038546
82	1.0063349907546169
83	0.999947042833064
84	1.0243796827861704
85	1.009991764999078
86	1.0110099961089563
87	1.0001741997632312
88	1.0087001706708822
89	1.0250849563622146
90	0.9977833726985066
91	1.016174312431241
92	1.0071751440909449
93	1.0166658108483697
94	1.0149495167702944
95	1.0007741528039478
96	0.9947548155546769
97	1.0070393535058992
98	0.9915417661596136
99	0.9983241942194362
100	1.0183886889103355
101	0.9957906179083307
