Fraction of interaction surface(A)       Tot surface area(B)                      A*B                                     
   0.400                                 1489.450                                  595.956                                
   0.431                                 1487.440                                  641.381                                
   0.436                                 1482.734                                  647.059                                
   0.449                                 1481.343                                  664.593                                
   0.447                                 1485.888                                  663.549                                
   0.417                                 1480.763                                  617.571                                
   0.423                                 1474.481                                  623.752                                
   0.382                                 1481.154                                  566.506                                
   0.424                                 1477.327                                  626.001                                
   0.439                                 1473.333                                  647.054                                
   0.430                                 1485.716                                  639.193                                
   0.414                                 1469.976                                  609.255                                
   0.414                                 1465.956                                  606.813                                
   0.403                                 1467.795                                  590.953                                
   0.410                                 1465.885                                  600.551                                
   0.408                                 1467.637                                  598.203                                
   0.437                                 1465.888                                  640.508                                
   0.423                                 1463.737                                  618.872                                
   0.418                                 1465.613                                  612.631                                
   0.436                                 1468.239                                  640.560                                
   0.422                                 1470.067                                  620.511                                
   0.457                                 1469.390                                  671.149                                
   0.454                                 1468.206                                  667.129                                
   0.454                                 1474.508                                  669.240                                
   0.447                                 1469.324                                  657.192                                
   0.447                                 1481.967                                  663.169                                
   0.422                                 1476.826                                  623.200                                
   0.436                                 1476.708                                  643.279                                
   0.434                                 1480.965                                  642.716                                
   0.451                                 1474.587                                  665.618                                
   0.469                                 1474.311                                  691.819                                
   0.454                                 1474.487                                  669.666                                
   0.445                                 1474.560                                  655.796                                
   0.414                                 1477.295                                  611.836                                
   0.424                                 1477.116                                  626.074                                
   0.449                                 1481.818                                  666.030                                
   0.436                                 1475.897                                  643.362                                
   0.466                                 1483.619                                  691.675                                
   0.419                                 1470.914                                  616.666                                
   0.464                                 1471.890                                  682.319                                
   0.478                                 1467.514                                  700.740                                
   0.442                                 1469.500                                  649.000                                
   0.442                                 1470.377                                  650.309                                
   0.460                                 1464.750                                  673.802                                
   0.458                                 1464.535                                  670.233                                
   0.436                                 1461.994                                  637.835                                
   0.454                                 1465.465                                  664.975                                
   0.468                                 1460.584                                  683.539                                
   0.459                                 1466.174                                  673.554                                
   0.461                                 1462.485                                  673.558                                
   0.480                                 1462.799                                  701.485                                
   0.452                                 1461.876                                  660.705                                
   0.424                                 1463.601                                  620.619                                
   0.448                                 1461.289                                  654.418                                
   0.458                                 1460.004                                  669.349                                
   0.452                                 1462.580                                  660.548                                
   0.450                                 1462.014                                  657.255                                
   0.453                                 1462.703                                  661.906                                
   0.447                                 1460.464                                  652.271                                
   0.440                                 1460.480                                  642.698                                
   0.453                                 1460.171                                  660.760                                
   0.453                                 1459.918                                  660.646                                
   0.450                                 1459.809                                  656.264                                
   0.430                                 1460.700                                  627.624                                
   0.414                                 1461.560                                  605.442                                
   0.447                                 1460.448                                  653.084                                
   0.464                                 1460.336                                  677.735                                
   0.450                                 1458.026                                  655.678                                
   0.484                                 1460.529                                  706.428                                
   0.458                                 1460.343                                  668.168                                
   0.435                                 1459.674                                  634.980                                
   0.422                                 1460.885                                  616.433                                
   0.427                                 1460.148                                  623.921                                
   0.426                                 1462.415                                  623.154                                
   0.432                                 1461.721                                  630.862                                
   0.447                                 1457.837                                  652.350                                
   0.446                                 1459.332                                  651.534                                
   0.434                                 1460.713                                  633.903                                
   0.448                                 1459.184                                  654.027                                
   0.445                                 1458.125                                  648.152                                
   0.439                                 1459.623                                  640.588                                
   0.428                                 1460.542                                  624.397                                
   0.398                                 1457.275                                  579.883                                
   0.422                                 1460.849                                  616.214                                
   0.418                                 1457.202                                  608.540                                
   0.445                                 1456.137                                  647.700                                
   0.418                                 1458.939                                  610.125                                
   0.442                                 1459.648                                  644.598                                
   0.443                                 1462.739                                  648.131                                
   0.445                                 1458.242                                  648.204                                
   0.468                                 1462.350                                  684.338                                
   0.465                                 1458.337                                  678.136                                
   0.465                                 1461.975                                  679.827                                
   0.461                                 1462.831                                  674.552                                
   0.455                                 1464.039                                  666.064                                
   0.451                                 1459.670                                  657.977                                
   0.414                                 1464.208                                  606.836                                
   0.460                                 1467.827                                  675.790                                
   0.442                                 1469.411                                  649.598                                
   0.457                                 1463.679                                  669.408                                
   0.442                                 1465.353                                  647.703                                
