Mean Radius	Outer_Ro	Outer_No	Inside_Ro	Inside_No	Expelled
   9.378	   10.890	     1692	   7.002	    1077	     109
   9.370	   10.882	     1686	   7.009	    1080	     112
   9.359	   10.865	     1698	   6.963	    1068	     112
   9.358	   10.860	     1694	   6.980	    1070	     114
   9.354	   10.877	     1675	   7.013	    1089	     114
   9.349	   10.858	     1682	   6.999	    1080	     116
   9.339	   10.835	     1689	   6.974	    1069	     120
   9.347	   10.859	     1672	   7.021	    1087	     119
   9.340	   10.845	     1685	   6.977	    1074	     119
   9.331	   10.831	     1677	   7.000	    1079	     122
   9.341	   10.876	     1641	   7.082	    1115	     122
   9.316	   10.818	     1666	   7.012	    1086	     126
   9.318	   10.804	     1679	   6.991	    1072	     127
   9.322	   10.810	     1684	   6.980	    1070	     124
   9.315	   10.803	     1683	   6.975	    1070	     125
   9.320	   10.810	     1672	   7.013	    1080	     126
   9.318	   10.803	     1681	   6.987	    1071	     126
   9.308	   10.795	     1684	   6.962	    1068	     126
   9.313	   10.802	     1683	   6.969	    1069	     126
   9.328	   10.812	     1687	   6.984	    1068	     123
   9.330	   10.819	     1688	   6.978	    1069	     121
   9.325	   10.816	     1688	   6.969	    1068	     122
   9.318	   10.812	     1688	   6.956	    1068	     122
   9.333	   10.835	     1691	   6.959	    1070	     117
   9.326	   10.816	     1688	   6.972	    1068	     122
   9.358	   10.862	     1695	   6.971	    1068	     115
   9.344	   10.844	     1692	   6.967	    1068	     118
   9.348	   10.843	     1693	   6.979	    1068	     117
   9.359	   10.859	     1689	   7.000	    1073	     116
   9.338	   10.835	     1687	   6.978	    1070	     121
   9.336	   10.834	     1691	   6.964	    1068	     119
   9.337	   10.835	     1691	   6.965	    1068	     119
   9.337	   10.835	     1692	   6.964	    1068	     118
   9.341	   10.845	     1695	   6.957	    1069	     114
   9.344	   10.845	     1694	   6.966	    1069	     115
   9.358	   10.862	     1692	   6.989	    1074	     112
   9.340	   10.840	     1693	   6.964	    1069	     116
   9.349	   10.868	     1672	   7.021	    1091	     115
   9.325	   10.822	     1684	   6.979	    1074	     120
   9.326	   10.825	     1688	   6.962	    1071	     119
   9.317	   10.809	     1689	   6.957	    1068	     121
   9.327	   10.817	     1688	   6.972	    1068	     122
   9.326	   10.820	     1689	   6.965	    1068	     121
   9.311	   10.799	     1688	   6.960	    1068	     122
   9.316	   10.798	     1688	   6.973	    1068	     122
   9.305	   10.789	     1687	   6.960	    1068	     123
   9.316	   10.802	     1687	   6.969	    1068	     123
   9.300	   10.784	     1687	   6.956	    1068	     123
   9.314	   10.804	     1687	   6.960	    1068	     123
   9.304	   10.791	     1686	   6.958	    1068	     124
   9.304	   10.792	     1687	   6.954	    1068	     123
   9.300	   10.788	     1686	   6.949	    1068	     124
   9.307	   10.795	     1685	   6.963	    1069	     124
   9.303	   10.786	     1687	   6.961	    1068	     123
   9.304	   10.782	     1685	   6.972	    1068	     125
   9.310	   10.791	     1685	   6.973	    1068	     125
   9.307	   10.789	     1685	   6.972	    1069	     124
   9.314	   10.792	     1685	   6.982	    1068	     125
   9.304	   10.783	     1686	   6.970	    1068	     124
   9.306	   10.783	     1685	   6.976	    1068	     125
   9.300	   10.782	     1685	   6.962	    1068	     125
   9.304	   10.781	     1685	   6.972	    1068	     125
   9.297	   10.781	     1685	   6.957	    1068	     125
   9.302	   10.784	     1685	   6.964	    1068	     125
   9.304	   10.787	     1685	   6.965	    1068	     125
   9.300	   10.783	     1685	   6.960	    1068	     125
   9.303	   10.783	     1685	   6.969	    1068	     125
   9.301	   10.774	     1680	   6.994	    1073	     125
   9.308	   10.784	     1685	   6.981	    1068	     125
   9.302	   10.783	     1684	   6.968	    1069	     125
   9.307	   10.780	     1685	   6.981	    1068	     125
   9.307	   10.785	     1685	   6.976	    1068	     125
   9.306	   10.782	     1685	   6.976	    1068	     125
   9.306	   10.790	     1685	   6.964	    1068	     125
   9.312	   10.788	     1681	   6.998	    1072	     125
   9.301	   10.774	     1685	   6.977	    1068	     125
   9.302	   10.779	     1681	   6.987	    1072	     125
   9.303	   10.784	     1681	   6.980	    1072	     125
   9.298	   10.779	     1680	   6.979	    1073	     125
   9.300	   10.775	     1685	   6.973	    1068	     125
   9.301	   10.780	     1685	   6.966	    1068	     125
   9.306	   10.784	     1683	   6.983	    1070	     125
   9.299	   10.771	     1685	   6.976	    1068	     125
   9.310	   10.785	     1682	   6.994	    1071	     125
   9.300	   10.771	     1681	   6.992	    1072	     125
   9.291	   10.767	     1685	   6.963	    1068	     125
   9.299	   10.778	     1687	   6.964	    1068	     123
   9.301	   10.780	     1687	   6.964	    1068	     123
   9.313	   10.792	     1687	   6.978	    1068	     123
   9.298	   10.775	     1685	   6.968	    1068	     125
   9.307	   10.790	     1686	   6.966	    1068	     124
   9.297	   10.775	     1686	   6.963	    1068	     124
   9.309	   10.789	     1686	   6.973	    1068	     124
   9.313	   10.792	     1685	   6.985	    1070	     123
   9.311	   10.796	     1687	   6.965	    1068	     123
   9.301	   10.780	     1686	   6.965	    1068	     124
   9.309	   10.797	     1689	   6.955	    1068	     121
   9.321	   10.810	     1692	   6.961	    1068	     118
   9.322	   10.816	     1692	   6.954	    1068	     118
   9.310	   10.795	     1688	   6.962	    1068	     122
   9.315	   10.801	     1690	   6.963	    1068	     120
