Mean Radius	Outer_Ro	Outer_No	Inside_Ro	Inside_No	Expelled
   9.378	   10.580	      101	   7.765	      41	      19
   9.370	   10.570	       97	   7.849	      45	      19
   9.359	   10.499	      105	   7.564	      37	      19
   9.358	   10.561	      102	   7.696	      40	      19
   9.354	   10.453	      101	   7.663	      40	      20
   9.349	   10.479	      100	   7.727	      41	      20
   9.339	   10.434	      105	   7.545	      36	      20
   9.347	   10.485	       99	   7.736	      42	      20
   9.340	   10.475	      108	   7.443	      34	      19
   9.331	   10.424	      103	   7.644	      38	      20
   9.341	   10.542	      102	   7.680	      40	      19
   9.316	   10.619	      102	   7.672	      41	      18
   9.318	   10.589	      106	   7.592	      37	      18
   9.322	   10.597	      106	   7.568	      37	      18
   9.315	   10.392	      107	   7.493	      34	      20
   9.320	   10.545	      102	   7.670	      40	      19
   9.318	   10.557	      106	   7.565	      37	      18
   9.308	   10.414	      109	   7.311	      33	      19
   9.313	   10.600	      105	   7.587	      38	      18
   9.328	   10.732	      109	   7.506	      36	      16
   9.330	   10.597	      107	   7.491	      36	      18
   9.325	   10.632	      110	   7.421	      34	      17
   9.318	   10.578	      111	   7.379	      33	      17
   9.333	   10.757	      112	   7.440	      34	      15
   9.326	   10.805	      110	   7.584	      36	      15
   9.358	   10.703	      109	   7.507	      36	      16
   9.344	   10.641	      105	   7.656	      39	      17
   9.348	   10.752	      110	   7.479	      36	      15
   9.359	   10.549	      107	   7.511	      36	      18
   9.338	   10.419	      107	   7.493	      35	      19
   9.336	   10.420	      107	   7.499	      35	      19
   9.337	   10.309	      108	   7.405	      33	      20
   9.337	   10.375	      104	   7.630	      37	      20
   9.341	   10.484	      106	   7.548	      36	      19
   9.344	   10.586	      108	   7.478	      35	      18
   9.358	   10.696	      109	   7.472	      35	      17
   9.340	   10.568	      108	   7.504	      35	      18
   9.349	   10.506	      106	   7.564	      36	      19
   9.325	   10.398	      103	   7.656	      38	      20
   9.326	   10.411	      106	   7.533	      35	      20
   9.317	   10.454	      110	   7.362	      32	      19
   9.327	   10.391	      107	   7.492	      34	      20
   9.326	   10.340	      109	   7.381	      32	      20
   9.311	   10.379	      109	   7.334	      32	      20
   9.316	   10.453	      110	   7.379	      32	      19
   9.305	   10.450	      107	   7.498	      35	      19
   9.316	   10.341	      109	   7.331	      32	      20
   9.300	   10.321	      108	   7.411	      33	      20
   9.314	   10.435	      109	   7.398	      33	      19
   9.304	   10.475	      106	   7.473	      36	      19
   9.304	   10.349	      108	   7.398	      33	      20
   9.300	   10.360	      108	   7.399	      33	      20
   9.307	   10.351	      107	   7.426	      34	      20
   9.303	   10.382	      108	   7.413	      33	      20
   9.304	   10.385	      107	   7.472	      34	      20
   9.310	   10.362	      105	   7.529	      36	      20
   9.307	   10.380	      106	   7.472	      35	      20
   9.314	   10.423	      106	   7.527	      35	      20
   9.304	   10.323	      107	   7.409	      34	      20
   9.306	   10.411	      107	   7.514	      34	      20
   9.300	   10.382	      106	   7.580	      35	      20
   9.304	   10.399	      109	   7.430	      32	      20
   9.297	   10.410	      108	   7.467	      33	      20
   9.302	   10.372	      107	   7.480	      34	      20
   9.304	   10.399	      105	   7.631	      36	      20
   9.300	   10.355	      107	   7.467	      34	      20
   9.303	   10.366	      107	   7.443	      34	      20
   9.301	   10.380	      106	   7.425	      35	      20
   9.308	   10.382	      109	   7.297	      32	      20
   9.302	   10.346	      108	   7.383	      33	      20
   9.307	   10.409	      105	   7.527	      36	      20
   9.307	   10.367	      107	   7.448	      34	      20
   9.306	   10.364	      106	   7.454	      35	      20
   9.306	   10.422	      104	   7.514	      37	      20
   9.312	   10.403	      103	   7.625	      38	      20
   9.301	   10.414	      106	   7.482	      35	      20
   9.302	   10.433	      104	   7.585	      37	      20
   9.303	   10.395	      103	   7.708	      38	      20
   9.298	   10.365	      103	   7.631	      38	      20
   9.300	   10.343	      107	   7.406	      34	      20
   9.301	   10.360	      105	   7.555	      36	      20
   9.306	   10.360	      105	   7.556	      36	      20
   9.299	   10.400	      104	   7.568	      37	      20
   9.310	   10.378	      104	   7.610	      37	      20
   9.300	   10.393	      105	   7.581	      36	      20
   9.291	   10.351	      108	   7.402	      33	      20
   9.299	   10.358	      106	   7.517	      35	      20
   9.301	   10.363	      106	   7.458	      35	      20
   9.313	   10.375	      104	   7.590	      37	      20
   9.298	   10.331	      106	   7.527	      35	      20
   9.307	   10.303	      108	   7.369	      33	      20
   9.297	   10.334	      107	   7.478	      34	      20
   9.309	   10.315	      108	   7.412	      33	      20
   9.313	   10.403	      105	   7.545	      37	      19
   9.311	   10.327	      106	   7.520	      35	      20
   9.301	   10.339	      107	   7.509	      34	      20
   9.309	   10.339	      106	   7.499	      35	      20
   9.321	   10.409	      110	   7.347	      32	      19
   9.322	   10.415	      108	   7.473	      34	      19
   9.310	   10.427	      108	   7.463	      34	      19
   9.315	   10.414	      107	   7.531	      35	      19
