Frame	ROG of Dendrons [ALL BEADS]
1	1.2891246844208846
2	1.2717481828622812
3	1.2866751674821733
4	1.2903949644811081
5	1.2923220900430343
6	1.289754779530618
7	1.2923746712451532
8	1.2716624989917868
9	1.292078941382057
10	1.3050873541995847
11	1.295687084053082
12	1.298460099107415
13	1.2994465647103728
14	1.297093257906596
15	1.3055905907278018
16	1.2920189628988676
17	1.2816430775525676
18	1.2906219839104456
19	1.2931136944660553
20	1.3059200925019425
21	1.2838917320255596
22	1.276902726975801
23	1.3011720502707644
24	1.295816173465919
25	1.2838207903230012
26	1.2904302158883687
27	1.2894995023661149
28	1.5883765444742781
29	1.2980504214262694
30	1.2935851783706775
31	1.2833130121319567
32	1.2783298586998502
33	1.2751535695157965
34	1.3609376883524749
35	1.2955286298324753
36	1.4156261311526146
37	1.2828932877857158
38	1.3096191126593302
39	1.2971999474747486
40	1.2825169173959692
41	1.2848990428922045
42	1.2787277874693832
43	1.295364977791413
44	1.3017300834938366
45	1.2878003065306445
46	1.3007670826171693
47	1.3054843078387401
48	1.3059027785541704
49	1.3156047178476553
50	1.3261611091813872
51	1.3152346223114832
52	1.3016437011280397
53	1.3020588507105086
54	1.2988029866306423
55	1.3074149210998476
56	1.305143122244951
57	1.3050997199095467
58	1.2966467425461472
59	1.3165267976354305
60	1.2951416235689046
61	1.3105458687372333
62	1.3048576515329688
63	1.291077454578742
64	1.301985548620336
65	1.2708025289357108
66	1.2805014295518007
67	1.3089646857879256
68	1.2918992779376026
69	1.2985237807022736
70	1.2750466872738724
71	1.310880106944561
72	1.2862169820754301
73	1.2832738235744359
74	1.300620779768238
75	1.3090048415984419
76	1.2892898749232748
77	1.306133632698974
78	1.315551449269395
79	1.2911102919362427
80	1.3070628753914186
81	1.300132508516838
82	1.2950426731663032
83	1.2889163844747709
84	1.3142852819491149
85	1.2958860616255519
86	1.294519520813117
87	1.2882781243057875
88	1.2985207216389476
89	1.3186614589859322
90	1.2871727728941922
91	1.30261122989117
92	1.298167553686258
93	1.3047209724477307
94	1.3041511737154732
95	1.28755715264067
96	1.2811914993394975
97	1.2959936547635404
98	1.289120621721425
99	1.2903528746546071
100	1.306744422243871
101	1.2875988807830114
