Frame	DPPC (polar heads)-TA
1	0.40011820330969267
2	0.43119810201660735
3	0.4363957597173145
4	0.448642266824085
5	0.44656716417910447
6	0.4170630202140309
7	0.42303137951450565
8	0.3824760765550239
9	0.42373887240356084
10	0.43917710196779963
11	0.4302254722730043
12	0.4144657863145258
13	0.41393686718284695
14	0.4026128266033254
15	0.4096850861556744
16	0.4075956937799043
17	0.4369422962522308
18	0.42280285035629456
19	0.4180035650623886
20	0.43627741553052757
21	0.42209715639810425
22	0.45675355450236965
23	0.4543838862559242
24	0.4538734476641041
25	0.4472748815165877
26	0.4474926253687316
27	0.4219858156028369
28	0.4356172474896633
29	0.4339846062759029
30	0.45139300533491405
31	0.4692489651094027
32	0.4541691306918983
33	0.4447399527186761
34	0.41415929203539825
35	0.42384887839433294
36	0.449468085106383
37	0.43591258121677495
38	0.46620813397129185
39	0.4192399049881235
40	0.46356635071090047
41	0.4775014801657786
42	0.4416469194312796
43	0.4422735346358792
44	0.4600118483412322
45	0.45764218009478674
46	0.43627741553052757
47	0.45376407824540604
48	0.46799051570835803
49	0.4593953764078245
50	0.46055753262158955
51	0.47954949614700654
52	0.45195729537366547
53	0.4240356083086053
54	0.44783639596917607
55	0.45845697329376855
56	0.4516320474777448
57	0.4495548961424332
58	0.45252225519287836
59	0.44661921708185054
60	0.4400593471810089
61	0.45252225519287836
62	0.45252225519287836
63	0.4495548961424332
64	0.42967359050445103
65	0.4142433234421365
66	0.4471810089020771
67	0.46409495548961427
68	0.44970238095238096
69	0.4836795252225519
70	0.457541567695962
71	0.4350148367952522
72	0.42195845697329376
73	0.42729970326409494
74	0.4261127596439169
75	0.4315883402736466
76	0.44747774480712166
77	0.44646044021415826
78	0.43396787626412847
79	0.44821428571428573
80	0.44451038575667656
81	0.43887240356083085
82	0.4275103980986334
83	0.3979228486646884
84	0.4218192627824019
85	0.4176085663295657
86	0.4448071216617211
87	0.4181979845880261
88	0.44161232957913454
89	0.44309425014819204
90	0.44451038575667656
91	0.4679715302491103
92	0.465005931198102
93	0.465005931198102
94	0.4611275964391691
95	0.45494961470065204
96	0.45077105575326215
97	0.4144464179988159
98	0.4604018912529551
99	0.44208037825059104
100	0.45734597156398105
101	0.4420118343195266
