Frame	DIST TA from graftin pt [nm]
1	3.1518968891764207
2	2.309947618453718
3	2.0052166965193536
4	2.5433540846685103
5	2.690581163986697
6	3.189756887287809
7	2.933728855910173
8	1.7002026349820791
9	2.394942588038385
10	2.6516387385916658
11	2.8302611186955873
12	2.5695845967782414
13	1.5052654250995077
14	1.4724476221584246
15	2.943247526118047
16	2.7748803577812153
17	2.7575733897758727
18	2.602615223193781
19	2.478674040691922
20	3.013852352057084
21	1.6018046073101444
22	1.7007236695007268
23	2.9527419460562445
24	2.069535938320477
25	2.8327917325493606
26	3.235902347105055
27	2.798637525654225
28	2.906852249427205
29	2.2236481286390624
30	2.7770217860146493
31	2.581071482931073
32	3.1952854332594454
33	2.3128240313521418
34	2.3224934876119656
35	2.5127303874470863
36	2.4100817413523523
37	2.9921378644708145
38	2.7287803136199877
39	3.087053773422158
40	2.7791691204386946
41	2.065605480240596
42	2.4981437108381064
43	2.7347193640298846
44	2.5366586289841995
45	2.248134782436319
46	2.5234139573205185
47	2.902107682357768
48	2.0590067994059646
49	2.976018985154498
50	3.1984505623817276
51	1.5268012313330117
52	1.4859609685318131
53	2.967606948367657
54	1.9728755662737574
55	1.995659540101969
56	2.630711120590783
57	1.509074550842335
58	2.641834400563364
59	2.911621884792049
60	3.2061263231507287
61	1.3988709733209874
62	2.1434955096757267
63	2.4562672900154836
64	2.991450985725824
65	3.2319170781441824
66	2.6839683306626405
67	2.111726781570002
68	0.8626030373236564
69	2.2544502655858287
70	2.918397505481393
71	0.9090946045379407
72	1.7753619349304557
73	2.51509085322976
74	2.0840695765736807
75	2.378492379638827
76	2.464780111896394
77	3.286591699618312
78	2.9708067927753223
79	1.407827404194134
80	2.0907058616649064
81	1.8259589261535976
82	1.1733925174467394
83	2.197877612607216
84	2.6023041713066517
85	2.1422021379879173
86	2.817382118208319
87	3.181862504886091
88	3.0335980287440845
89	2.000095247731967
90	2.2158786067833223
91	3.0558928318905463
92	1.6619497585667309
93	1.8453612112537747
94	1.7234500282862912
95	0.4659420564834246
96	1.939553299087192
97	2.111355251964955
98	2.542313513318136
99	1.359334028118179
100	1.9983805943813624
101	1.9644503047926647
102	2.957670367028756
103	3.040327285013902
104	2.8210935822832965
105	2.6933870869223386
