Fraction of interaction surface(A)       Tot surface area(B)                      A*B                                     
   0.550                                 1494.277                                  821.425                                
   0.537                                 1496.795                                  804.388                                
   0.551                                 1499.738                                  826.866                                
   0.536                                 1502.720                                  806.098                                
   0.531                                 1510.809                                  801.733                                
   0.530                                 1511.125                                  800.159                                
   0.515                                 1514.616                                  779.997                                
   0.518                                 1513.329                                  784.483                                
   0.518                                 1508.523                                  780.817                                
   0.521                                 1505.031                                  784.192                                
   0.529                                 1502.440                                  795.384                                
   0.510                                 1506.496                                  768.244                                
   0.532                                 1504.897                                  800.495                                
   0.531                                 1497.376                                  795.321                                
   0.519                                 1499.025                                  777.336                                
   0.519                                 1500.080                                  777.835                                
   0.515                                 1499.562                                  772.489                                
   0.513                                 1498.664                                  769.468                                
   0.523                                 1498.790                                  783.673                                
   0.521                                 1495.816                                  780.016                                
   0.540                                 1499.651                                  809.846                                
   0.539                                 1500.728                                  809.502                                
   0.550                                 1504.008                                  826.604                                
   0.549                                 1510.533                                  829.935                                
   0.565                                 1500.651                                  848.455                                
   0.534                                 1504.808                                  803.851                                
   0.541                                 1498.890                                  811.507                                
   0.517                                 1495.625                                  773.939                                
   0.533                                 1494.823                                  797.125                                
   0.547                                 1488.089                                  814.092                                
   0.556                                 1498.388                                  833.628                                
   0.566                                 1498.682                                  848.424                                
   0.562                                 1492.917                                  838.588                                
   0.582                                 1487.817                                  866.540                                
   0.553                                 1488.203                                  822.405                                
   0.538                                 1487.903                                  800.389                                
   0.553                                 1484.554                                  821.669                                
   0.553                                 1483.342                                  819.809                                
   0.556                                 1478.747                                  821.716                                
   0.536                                 1487.549                                  797.696                                
   0.547                                 1484.405                                  811.424                                
   0.548                                 1488.287                                  815.605                                
   0.533                                 1483.626                                  790.155                                
   0.547                                 1485.453                                  812.036                                
   0.538                                 1490.886                                  802.324                                
   0.535                                 1500.646                                  802.661                                
   0.527                                 1493.957                                  786.812                                
   0.558                                 1492.186                                  832.658                                
   0.552                                 1487.673                                  821.257                                
   0.542                                 1480.832                                  802.758                                
   0.524                                 1482.655                                  777.239                                
   0.544                                 1486.018                                  808.028                                
   0.515                                 1493.546                                  769.468                                
   0.550                                 1483.574                                  816.564                                
   0.551                                 1479.165                                  814.693                                
   0.520                                 1475.211                                  766.598                                
   0.537                                 1478.614                                  793.944                                
   0.551                                 1472.522                                  810.867                                
   0.544                                 1473.374                                  801.952                                
   0.545                                 1476.314                                  803.866                                
   0.559                                 1475.248                                  824.177                                
   0.546                                 1479.275                                  807.498                                
   0.567                                 1478.525                                  838.229                                
   0.553                                 1479.334                                  817.437                                
   0.546                                 1478.944                                  807.783                                
   0.539                                 1485.302                                  800.337                                
   0.537                                 1484.752                                  797.509                                
   0.549                                 1488.854                                  817.502                                
   0.563                                 1497.209                                  842.448                                
   0.548                                 1490.642                                  816.304                                
   0.546                                 1491.100                                  814.028                                
   0.554                                 1491.732                                  826.836                                
   0.559                                 1490.057                                  832.377                                
   0.527                                 1483.398                                  781.028                                
   0.542                                 1477.566                                  800.632                                
   0.538                                 1483.011                                  797.952                                
   0.537                                 1485.293                                  797.673                                
   0.556                                 1493.288                                  830.507                                
   0.556                                 1497.844                                  833.277                                
   0.542                                 1502.192                                  814.545                                
   0.526                                 1500.346                                  789.543                                
   0.543                                 1509.341                                  820.275                                
   0.549                                 1512.405                                  830.879                                
   0.526                                 1508.000                                  793.369                                
   0.528                                 1507.823                                  795.915                                
   0.515                                 1514.476                                  779.989                                
   0.531                                 1512.045                                  803.114                                
   0.542                                 1510.029                                  818.396                                
   0.534                                 1516.719                                  810.631                                
   0.527                                 1515.503                                  798.016                                
   0.524                                 1511.269                                  791.556                                
   0.530                                 1510.797                                  800.439                                
   0.538                                 1506.482                                  810.952                                
   0.535                                 1517.460                                  812.343                                
   0.546                                 1512.930                                  826.794                                
   0.529                                 1512.960                                  800.651                                
   0.541                                 1518.778                                  821.170                                
   0.541                                 1520.575                                  823.000                                
   0.529                                 1519.876                                  803.681                                
   0.530                                 1516.144                                  803.144                                
   0.538                                 1510.789                                  812.809                                
