Frame	TA-PO4
1	0.4
2	0.3902777777777778
3	0.40555555555555556
4	0.3806179775280899
5	0.38333333333333336
6	0.37362637362637363
7	0.35027472527472525
8	0.3942307692307692
9	0.3902777777777778
10	0.34305555555555556
11	0.38202247191011235
12	0.3527777777777778
13	0.38333333333333336
14	0.3625
15	0.375
16	0.37774725274725274
17	0.35138888888888886
18	0.3111111111111111
19	0.35138888888888886
20	0.35555555555555557
21	0.3680555555555556
22	0.3819444444444444
23	0.3763888888888889
24	0.39697802197802196
25	0.4002808988764045
26	0.36797752808988765
27	0.3972222222222222
28	0.3651685393258427
29	0.35694444444444445
30	0.3638888888888889
31	0.3819444444444444
32	0.398876404494382
33	0.3958333333333333
34	0.38055555555555554
35	0.3625
36	0.3472222222222222
37	0.3680555555555556
38	0.40168539325842695
39	0.38202247191011235
40	0.3806818181818182
41	0.38764044943820225
42	0.40168539325842695
43	0.36657303370786515
44	0.3806818181818182
45	0.3625
46	0.3792134831460674
47	0.35674157303370785
48	0.37780898876404495
49	0.4044943820224719
50	0.3862359550561798
51	0.3595505617977528
52	0.3664772727272727
53	0.35919540229885055
54	0.3821022727272727
55	0.3991477272727273
56	0.37073863636363635
57	0.39098837209302323
58	0.4109195402298851
59	0.3994252873563218
60	0.3806818181818182
61	0.4005681818181818
62	0.3991477272727273
63	0.39488636363636365
64	0.41569767441860467
65	0.4005681818181818
66	0.38636363636363635
67	0.3879310344827586
68	0.4034090909090909
69	0.4034090909090909
70	0.3849431818181818
71	0.39798850574712646
72	0.3850574712643678
73	0.39488636363636365
74	0.36363636363636365
75	0.3849431818181818
76	0.359375
77	0.3963068181818182
78	0.37357954545454547
79	0.4119318181818182
80	0.3994252873563218
81	0.3611111111111111
82	0.3791208791208791
83	0.3972222222222222
84	0.375
85	0.37780898876404495
86	0.3625
87	0.3680555555555556
88	0.4002808988764045
89	0.385989010989011
90	0.3861111111111111
91	0.3541666666666667
92	0.37777777777777777
93	0.3901098901098901
94	0.3804945054945055
95	0.37083333333333335
96	0.3707865168539326
97	0.3626373626373626
98	0.3708791208791209
99	0.36944444444444446
100	0.38202247191011235
101	0.38472222222222224
