Frame	ROG of Dendrons [ALL BEADS]
1	1.275146456427402
2	1.2838772271093895
3	1.296801024810051
4	1.2921567899873716
5	1.293566985742696
6	1.2841457469679383
7	1.628545215558812
8	1.2799123396432424
9	1.2921343129682246
10	1.2929917332051812
11	1.30664270910968
12	1.2984162080013832
13	1.281205809755507
14	1.2926031544014782
15	1.290048138063422
16	1.2810811356285097
17	1.2926955715308124
18	1.2811097716584778
19	1.2925794151770116
20	1.2962419050804352
21	1.312978857153928
22	1.2870719954469303
23	1.2967733639021282
24	1.4891059403193228
25	1.2944090969806996
26	1.3041317617289259
27	1.2945147571512963
28	1.2949112149303206
29	1.2816756131880385
30	1.279778686302804
31	1.2735211142114253
32	1.3074784612378318
33	1.3071979824213293
34	1.3084381622120447
35	1.3184530263867429
36	1.3042196080881152
37	1.2880561184591182
38	1.2815321976730314
39	1.2845429157835864
40	1.2805973217929731
41	1.2964619916945195
42	1.2898961606641397
43	1.305536552253369
44	1.2972146782412588
45	1.2934754733180083
46	1.2951645784840107
47	1.294912098946258
48	1.2920631289316176
49	1.2870390159213438
50	1.2927544164130054
51	1.2922763668983035
52	1.2961484845649922
53	1.3042388535408433
54	1.2890348349288294
55	1.2927534198062773
56	1.2723829312074357
57	1.2998785329522982
58	1.2993157873119785
59	1.2868489226882918
60	1.2722443703083197
61	1.284461073392391
62	1.294320667214082
63	1.3191449565122115
64	1.3033416074231536
65	1.3051662004389324
66	1.2982744894226137
67	1.2922444716171246
68	1.302348018832639
69	1.2975619952543498
70	1.273475394807927
71	1.2896179492856403
72	1.2998643307897575
73	1.303414690019776
74	1.3065579298386234
75	1.3028451002197812
76	1.2897244301615738
77	1.29183854676643
78	1.3005730428253643
79	1.2796914350210515
80	1.2866349668541142
81	1.3580049481666754
82	1.3137295719819417
83	1.3797891230025863
84	1.4773116479895714
85	1.280715499757907
86	1.2850413143528185
87	1.2875760167850407
88	1.3063833312127573
89	1.5385183589862963
90	1.2945897332317704
91	1.3117392607333076
92	1.2768855634308163
93	1.2675544025492074
94	1.549706901482171
95	1.4724553467201043
96	1.2829124983725833
97	1.3056731137217807
98	1.2937957527515835
99	1.3138433922252564
100	1.3052987284758846
101	1.3067468581138137
