Mean Radius	Outer_Ro	Outer_No	Inside_Ro	Inside_No	Expelled
   9.421	   10.907	     1750	   6.995	    1072	      89
   9.430	   10.917	     1751	   7.002	    1072	      88
   9.436	   10.927	     1753	   6.998	    1072	      86
   9.444	   10.938	     1757	   6.995	    1072	      82
   9.466	   10.968	     1761	   7.000	    1072	      78
   9.466	   10.969	     1762	   6.996	    1072	      77
   9.477	   10.981	     1769	   6.994	    1072	      70
   9.471	   10.977	     1768	   6.988	    1072	      71
   9.462	   10.959	     1761	   7.004	    1072	      78
   9.446	   10.947	     1758	   6.985	    1072	      81
   9.439	   10.937	     1752	   6.992	    1072	      87
   9.455	   10.952	     1758	   7.000	    1072	      81
   9.449	   10.946	     1754	   7.000	    1072	      85
   9.430	   10.919	     1750	   7.000	    1072	      89
   9.432	   10.925	     1751	   6.993	    1072	      88
   9.434	   10.929	     1754	   6.990	    1072	      85
   9.433	   10.927	     1750	   6.995	    1072	      89
   9.431	   10.923	     1749	   6.997	    1072	      90
   9.431	   10.924	     1749	   6.995	    1072	      90
   9.427	   10.913	     1747	   7.006	    1072	      92
   9.431	   10.927	     1749	   6.989	    1072	      90
   9.441	   10.931	     1751	   7.006	    1072	      88
   9.448	   10.943	     1754	   7.001	    1072	      85
   9.465	   10.967	     1760	   7.001	    1072	      79
   9.434	   10.931	     1751	   6.989	    1072	      88
   9.445	   10.946	     1755	   6.989	    1072	      84
   9.433	   10.924	     1751	   6.997	    1072	      88
   9.421	   10.912	     1746	   6.992	    1072	      93
   9.419	   10.909	     1744	   6.993	    1072	      95
   9.402	   10.885	     1742	   6.991	    1072	      97
   9.429	   10.922	     1748	   6.994	    1072	      91
   9.432	   10.923	     1747	   7.001	    1072	      92
   9.414	   10.902	     1742	   6.996	    1072	      97
   9.398	   10.884	     1741	   6.985	    1072	      98
   9.403	   10.885	     1739	   6.998	    1072	     100
   9.401	   10.884	     1740	   6.993	    1072	      99
   9.390	   10.872	     1739	   6.987	    1072	     100
   9.388	   10.867	     1737	   6.990	    1072	     102
   9.376	   10.851	     1733	   6.993	    1072	     106
   9.402	   10.883	     1738	   7.001	    1072	     101
   9.392	   10.871	     1737	   6.994	    1072	     102
   9.402	   10.886	     1739	   6.996	    1072	     100
   9.392	   10.868	     1734	   7.003	    1072	     105
   9.397	   10.875	     1736	   7.002	    1072	     103
   9.411	   10.895	     1743	   6.998	    1072	      96
   9.438	   10.931	     1749	   7.002	    1072	      90
   9.416	   10.906	     1744	   6.991	    1072	      95
   9.413	   10.900	     1741	   6.998	    1072	      98
   9.403	   10.883	     1739	   7.002	    1072	     100
   9.380	   10.858	     1734	   6.989	    1072	     105
   9.386	   10.865	     1734	   6.994	    1072	     105
   9.395	   10.877	     1737	   6.992	    1072	     102
   9.416	   10.905	     1744	   6.995	    1072	      95
   9.387	   10.868	     1736	   6.988	    1072	     103
   9.376	   10.852	     1733	   6.990	    1072	     106
   9.369	   10.838	     1730	   6.998	    1072	     109
   9.376	   10.850	     1732	   6.995	    1072	     107
   9.362	   10.828	     1727	   7.002	    1072	     112
   9.364	   10.831	     1727	   7.001	    1072	     112
   9.371	   10.842	     1730	   6.997	    1072	     109
   9.368	   10.838	     1730	   6.997	    1072	     109
   9.378	   10.852	     1733	   6.994	    1072	     106
   9.374	   10.850	     1733	   6.987	    1072	     106
   9.385	   10.853	     1731	   7.016	    1072	     108
   9.376	   10.851	     1732	   6.993	    1072	     107
   9.392	   10.875	     1738	   6.989	    1072	     101
   9.394	   10.873	     1737	   6.999	    1072	     102
   9.406	   10.888	     1742	   6.999	    1072	      97
   9.426	   10.918	     1747	   6.994	    1072	      92
   9.411	   10.894	     1743	   6.999	    1072	      96
   9.409	   10.896	     1742	   6.994	    1072	      97
   9.414	   10.898	     1741	   7.003	    1072	      98
   9.405	   10.892	     1740	   6.992	    1072	      99
   9.389	   10.868	     1735	   6.997	    1072	     104
   9.371	   10.846	     1732	   6.986	    1072	     107
   9.392	   10.866	     1734	   7.008	    1072	     105
   9.395	   10.875	     1741	   6.992	    1072	      98
   9.416	   10.904	     1745	   6.995	    1072	      94
   9.429	   10.920	     1749	   6.996	    1072	      90
   9.445	   10.936	     1752	   7.009	    1072	      87
   9.440	   10.930	     1753	   7.003	    1072	      86
   9.461	   10.962	     1760	   6.997	    1072	      79
   9.474	   10.973	     1762	   7.009	    1072	      77
   9.455	   10.957	     1762	   6.985	    1072	      77
   9.459	   10.957	     1759	   7.001	    1072	      80
   9.476	   10.981	     1764	   7.001	    1072	      75
   9.470	   10.972	     1766	   6.996	    1072	      73
   9.466	   10.965	     1763	   7.002	    1072	      76
   9.482	   10.989	     1770	   6.993	    1072	      69
   9.480	   10.985	     1769	   6.998	    1072	      70
   9.467	   10.969	     1767	   6.992	    1072	      72
   9.466	   10.968	     1761	   7.000	    1072	      78
   9.458	   10.952	     1762	   7.003	    1072	      77
   9.485	   10.992	     1769	   6.998	    1072	      70
   9.474	   10.975	     1764	   7.004	    1072	      75
   9.474	   10.975	     1764	   7.004	    1072	      75
   9.485	   10.996	     1770	   6.989	    1072	      69
   9.493	   11.003	     1770	   6.999	    1072	      69
   9.485	   11.000	     1772	   6.981	    1072	      67
   9.479	   10.987	     1766	   6.994	    1072	      73
   9.463	   10.967	     1763	   6.989	    1072	      76
