Frame	DIST P3 from grafting point [nm]
1	0.49940464555308167
2	1.1623192332573695
3	1.3047106959015837
4	1.1245487984076112
5	1.0866250503278518
6	1.9391572911963555
7	1.793854509150614
8	1.6122028408361024
9	1.6904620670100805
10	1.8477719015073253
11	1.4197133513494913
12	1.9541210300285896
13	2.6511661585045903
14	1.8804448941673355
15	1.805458390547951
16	0.4693154589399362
17	1.2690689500574837
18	1.169570006455365
19	2.1395651427334488
20	1.9401030900444445
21	1.6151037118402038
22	1.8472444342858374
23	2.507212595692677
24	2.3775586217799125
25	2.5793493365575775
26	2.0572372250180644
27	2.1387536089975394
28	1.6873888111517157
29	2.5153707480210565
30	1.6823391453568453
31	0.48624787917275386
32	1.2426829845137481
33	1.3166191552609272
34	1.96490126978431
35	1.2830471542386896
36	2.0180532698618237
37	2.2500413329536855
38	2.48110459271672
39	2.824095961542382
40	1.8214222464876169
41	1.9656668079814528
42	2.664789297486765
43	2.389159057074268
44	3.045395540812391
45	3.037014487947005
46	0.5015466080036841
47	1.3671974985348672
48	1.0749148803510002
49	2.2375310053717703
50	1.9860878631118026
51	1.7135066384464333
52	1.9238006653497142
53	3.0090797596607533
54	2.947620735440707
55	2.156226796976609
56	2.247745092309179
57	1.9799921717016968
58	1.9949328309494552
59	2.6181155436687673
60	2.1372865975343602
61	0.48419107798471556
62	1.3828119901129015
63	1.1110954054445543
64	2.019286260043383
65	1.915594163699606
66	1.8533742201724952
67	1.3022273227052188
68	2.60657495576091
69	2.4347585095857043
70	2.06034123387365
71	2.642489167432859
72	2.472408744524257
73	2.3353460129068675
74	1.5035973530170919
75	1.2348388558836307
76	0.47875881192934583
77	1.3798974599585272
78	0.9970356061846504
79	1.9794345152088255
80	2.238048033443428
81	1.6256407967321687
82	1.7922915499438146
83	2.61448962514675
84	2.493358778836288
85	2.7584946982004492
86	2.4626684713943936
87	2.127976033699627
88	2.1761863431241366
89	1.905414915444925
90	2.5337786012199235
91	0.5003698632012142
92	1.2774646766153697
93	1.2193170219430252
94	2.0668785644057586
95	1.966302367389108
96	1.9396669817265042
97	2.0030818755108357
98	2.479416463605906
99	2.511531206256456
100	2.102770315559932
101	2.604352126729413
102	1.71493585885887
103	2.3794320750969153
104	2.610206313684802
105	2.7623035676768057
106	0.5075322649842031
107	1.2737173940870863
108	1.3367445530092863
109	2.0248246837689403
110	1.6137044339035558
111	2.227545285734946
112	1.9760632580967596
113	2.857140353570332
114	2.5031885666085953
115	1.277759758327049
116	2.0101111909543716
117	2.7937247538009156
118	2.54282441391457
119	2.3230690906643288
120	2.3156713929225776
121	0.4627029284541015
122	1.0356258977063113
123	1.3814662500401538
124	1.627374265496418
125	1.794106741529056
126	1.8640584754776346
127	2.054539364431843
128	2.2746256834916814
129	2.365253897576326
130	2.54440503851097
131	2.2721685676903465
132	2.601821669523106
133	1.859401516617647
134	2.166231982037012
135	2.7106886578875122
136	0.5350037383046965
137	1.3665284482951672
138	1.1064140273875802
139	1.9197124784717123
140	1.7470835698386005
141	1.7202947421880979
142	1.7473891953425857
143	2.4325825782488892
144	2.133857774079614
145	1.8039747780941942
146	2.392155095306323
147	2.5130451647354057
148	2.0514801973209478
149	2.563931746361437
150	2.6424666506883323
151	0.4985428767919613
152	1.2598436410920224
153	1.3841289679795012
154	1.9548161038829255
155	2.0107682611380158
156	2.11410382904909
157	2.069047606992168
158	2.7741991637227508
159	2.430265829081255
160	2.6910811953562486
161	2.2132702049230275
162	2.8781836286102385
163	2.5937983730429015
