Fraction of interaction surface(A)       Tot surface area(B)                      A*B                                     
   0.401                                 1494.277                                  599.418                                
   0.378                                 1496.795                                  566.320                                
   0.394                                 1499.738                                  590.741                                
   0.378                                 1502.720                                  568.331                                
   0.368                                 1510.809                                  556.366                                
   0.364                                 1511.125                                  549.305                                
   0.352                                 1514.616                                  533.412                                
   0.367                                 1513.329                                  555.943                                
   0.375                                 1508.523                                  565.375                                
   0.335                                 1505.031                                  504.245                                
   0.380                                 1502.440                                  570.704                                
   0.351                                 1506.496                                  528.302                                
   0.362                                 1504.897                                  544.388                                
   0.359                                 1497.376                                  538.200                                
   0.364                                 1499.025                                  545.334                                
   0.359                                 1500.080                                  537.942                                
   0.337                                 1499.562                                  505.567                                
   0.338                                 1498.664                                  506.838                                
   0.359                                 1498.790                                  537.731                                
   0.356                                 1495.816                                  532.141                                
   0.386                                 1499.651                                  578.339                                
   0.381                                 1500.728                                  572.094                                
   0.380                                 1504.008                                  571.077                                
   0.388                                 1510.533                                  585.331                                
   0.404                                 1500.651                                  606.774                                
   0.358                                 1504.808                                  538.901                                
   0.384                                 1498.890                                  576.101                                
   0.351                                 1495.625                                  524.668                                
   0.355                                 1494.823                                  530.559                                
   0.369                                 1488.089                                  548.423                                
   0.402                                 1498.388                                  603.041                                
   0.394                                 1498.682                                  590.637                                
   0.400                                 1492.917                                  596.481                                
   0.404                                 1487.817                                  600.767                                
   0.373                                 1488.203                                  555.830                                
   0.370                                 1487.903                                  549.840                                
   0.378                                 1484.554                                  560.869                                
   0.379                                 1483.342                                  561.911                                
   0.380                                 1478.747                                  561.463                                
   0.373                                 1487.549                                  555.049                                
   0.408                                 1484.405                                  605.897                                
   0.387                                 1488.287                                  575.973                                
   0.375                                 1483.626                                  556.146                                
   0.381                                 1485.453                                  566.457                                
   0.376                                 1490.886                                  561.114                                
   0.372                                 1500.646                                  558.560                                
   0.354                                 1493.957                                  529.395                                
   0.385                                 1492.186                                  573.819                                
   0.393                                 1487.673                                  584.290                                
   0.382                                 1480.832                                  566.200                                
   0.363                                 1482.655                                  537.826                                
   0.380                                 1486.018                                  564.635                                
   0.349                                 1493.546                                  521.114                                
   0.379                                 1483.574                                  562.323                                
   0.390                                 1479.165                                  576.985                                
   0.360                                 1475.211                                  530.820                                
   0.374                                 1478.614                                  553.626                                
   0.384                                 1472.522                                  565.305                                
   0.393                                 1473.374                                  578.429                                
   0.379                                 1476.314                                  559.805                                
   0.402                                 1475.248                                  593.084                                
   0.398                                 1479.275                                  588.125                                
   0.394                                 1478.525                                  581.855                                
   0.399                                 1479.334                                  590.110                                
   0.380                                 1478.944                                  561.862                                
   0.367                                 1485.302                                  545.665                                
   0.374                                 1484.752                                  554.752                                
   0.380                                 1488.854                                  565.371                                
   0.392                                 1497.209                                  587.057                                
   0.368                                 1490.642                                  549.049                                
   0.388                                 1491.100                                  578.636                                
   0.383                                 1491.732                                  571.074                                
   0.382                                 1490.057                                  568.619                                
   0.342                                 1483.398                                  507.861                                
   0.381                                 1477.566                                  562.618                                
   0.371                                 1483.011                                  550.784                                
   0.370                                 1485.293                                  549.413                                
   0.390                                 1493.288                                  581.911                                
   0.397                                 1497.844                                  594.770                                
   0.380                                 1502.192                                  570.610                                
   0.373                                 1500.346                                  560.169                                
   0.383                                 1509.341                                  578.438                                
   0.392                                 1512.405                                  592.259                                
   0.373                                 1508.000                                  562.719                                
   0.380                                 1507.823                                  573.470                                
   0.358                                 1514.476                                  542.601                                
   0.367                                 1512.045                                  554.816                                
   0.374                                 1510.029                                  564.869                                
   0.374                                 1516.719                                  566.842                                
   0.362                                 1515.503                                  549.145                                
   0.349                                 1511.269                                  526.849                                
   0.357                                 1510.797                                  538.774                                
   0.358                                 1506.482                                  539.495                                
   0.365                                 1517.460                                  554.143                                
   0.380                                 1512.930                                  574.210                                
   0.366                                 1512.960                                  554.495                                
   0.376                                 1518.778                                  570.614                                
   0.381                                 1520.575                                  579.880                                
   0.358                                 1519.876                                  543.793                                
   0.379                                 1516.144                                  574.349                                
   0.382                                 1510.789                                  577.579                                
