Frame	DIST N0 from grafting point [nm]
1	0.9132420270662105
2	1.1195240059954048
3	1.7188237256914964
4	1.49554137355006
5	1.389124544452371
6	2.1670599899402876
7	1.6626523990299356
8	0.8431192086532047
9	1.683992280267342
10	1.55481992526466
11	2.5190375146075126
12	2.1238884151480306
13	1.7700692076865248
14	2.0363892064141393
15	0.9233596265811052
16	1.492649992463067
17	1.810794853096288
18	2.380795455304801
19	1.525818141195075
20	2.457244188109925
21	2.6974449021249716
22	0.9136963390536263
23	1.821251767329275
24	1.4711169226135634
25	2.706708148286403
26	2.185877169467672
27	1.8287050062817674
28	2.159693033743455
29	0.9517215979476351
30	1.8171942658945417
31	1.3978648003294176
32	2.389474837699699
33	2.2370473843886263
34	2.274940438780764
35	1.2066917584868158
36	0.9172965714533077
37	1.8027418007024734
38	1.388736476081764
39	2.3777422063798244
40	2.674325522444861
41	2.063131115561974
42	2.1067686156766223
43	0.904822634553316
44	1.7170684319502252
45	1.6225822013075344
46	2.2938003400470612
47	2.187814434544213
48	2.094273621091571
49	2.4511919549476366
50	0.9728422277018995
51	1.5709758113987595
52	1.7502559812781622
53	2.472460313129412
54	1.5110052944976733
55	2.589416536596612
56	2.2035546283221565
57	0.9481023151538043
58	1.3660838188046893
59	1.7254950014416162
60	2.082280960869594
61	2.28758059967294
62	2.2045065207433616
63	2.273006159252545
64	0.9539313392482737
65	1.7431701007073297
66	1.4467159361809776
67	2.228393143051739
68	2.019655911287862
69	2.0963408596886137
70	2.212795516987505
71	0.9606695581728445
72	1.7445452129423318
73	1.8121804545905522
74	2.329981544991294
75	2.361959144439212
76	2.5203033547571216
77	2.050254130589671
78	0.8554186109735986
79	1.6431338959439685
80	1.7463373099146666
81	2.3095066572755294
82	2.339560215083166
83	1.993035373494409
84	2.4766503588516455
85	0.9416517402946798
86	1.4551048072218018
87	1.2647821946880815
88	1.8430466624586574
89	2.088452776578871
90	2.062222344947315
91	1.24402170399073
92	0.8933985672699506
93	1.5236292199875903
94	1.7206946271782226
95	1.8695379108218158
96	2.400230405606929
97	2.3409888936088517
98	2.5658078649813216
